key,en,pl
wanst_gambler_enterroom_1_1,"This is your lucky day, and you're up for a prize. #3.20 Just put your bet on the podium. #5.20 And we'll see what's in it for you.","To twój szczęśliwy dzień, #3.20 czeka na ciebie nagroda. #5.20 Po prostu postaw swój zakład na podium. A zobaczymy, co dla ciebie mamy."
wanst_gambler_enterroom_2_1,"This is your lucky day, #1.50 and you're up for a prize. #2.90 Just put your bet on the podium #5.00 and we'll see what's in it for you.","To twój szczęśliwy dzień, #1.50 czeka na ciebie nagroda. #2.90 Po prostu postaw swój zakład na podium #5.00 a zobaczymy, co dla ciebie mamy."
wanst_gambler_enterroom_3_1,"Hey hey, are you interested in a little game? #3.10 Put your bet on the podium.","Hej, hej, masz ochotę na małą grę? #3.10 Postaw swój zakład na podium."
wanst_gambler_enterroom_4_1,Come closer. #1.60 Put your bet on the podium.,Podejdź bliżej. #1.60 Postaw swój zakład na podium.
wanst_gambler_address_1_1,Alright. #0.70 I am a lucky guy after all.,No dobra. #0.70 W końcu jestem szczęściarzem.
wanst_gambler_address_2_1,Bring on the odds!,Niech przemówią szanse!
wanst_gambler_address_3_1,Bring on the odds!,Niech przemówią szanse!
wanst_gambler_address_4_1,"Okay, let's play!","Okej, gramy!"
wanst_gambler_empty_1_1,"Put your bet on the podium. #1.80 The heavier the bet, the nicer the prize.","Postaw swój zakład na podium. #1.80 Im cięższy zakład, tym lepsza nagroda."
wanst_gambler_empty_2_1,Not so fast. #1.20 Let's see what you're willing to bet first. #4.00 Place your bets on the podium. #5.50 The heavier the better.,"Nie tak szybko. #1.20 Zobaczmy najpierw, co jesteś skłonny postawić. #4.00 Postaw swój zakład na podium. #5.50 Im cięższy, tym lepiej."
wanst_gambler_light_1_1,Nyah.,Nyah.
wanst_gambler_light_2_1,Nyah.,Nyah.
wanst_gambler_light_3_1,Nyah.,Nyah.
wanst_gambler_medium_1_1,Mmmyah.,Mmmyah.
wanst_gambler_medium_2_1,Mmmyah.,Mmmyah.
wanst_gambler_medium_3_1,Mmmyah.,Mmmyah.
wanst_gambler_medium_4_1,Mmmyah.,Mmmyah.
wanst_gambler_heavy_1_1,Mmmh.,Mmmh.
wanst_gambler_heavy_2_1,Nyehe.,Nyehe.
wanst_gambler_heavy_3_1,Myahahmm.,Myahahmm.
wanst_gambler_heavy_4_1,Nyehee.,Nyehee.
wanst_gambler_heavy_5_1,Nyaaah.,Nyaaah.
wanst_gambler_heavy_6_1,Myeeeheh.,Myeeeheh.
wanst_gambler_accept_1_1,Are you sure?,Jesteś pewien?
wanst_gambler_accept_2_1,Are you sure?,Jesteś pewien?
wanst_gambler_accept_3_1,Are you sure?,Jesteś pewien?
wanst_gambler_accept_4_1,Is this your final bet?,To twój ostateczny zakład?
wanst_gambler_accept_5_1,Is this your final bet?,To twój ostateczny zakład?
wanst_gambler_accept_6_1,Is this your final bet?,To twój ostateczny zakład?
wanst_gambler_accept_7_1,Is this your final bet?,To twój ostateczny zakład?
wanst_gambler_accept_8_1,You accept this bet then?,Więc akceptujesz ten zakład?
wanst_gambler_accept_9_1,"And, you accept this bet?",I akceptujesz ten zakład?
wanst_gambler_accept_10_1,"Ah, you accept this bet?","Ach, akceptujesz ten zakład?"
wanst_gambler_negative_1_1,"No, I was just talking to myself.","Nie, tylko mówiłem sam do siebie."
wanst_gambler_positive_1_1,Yuss!,Tasss!
wanst_gambler_start_1_1,"Mmm, can't wait to snatch those delicious bets!","Mmm, nie mogę się doczekać, żeby zgarnąć te pyszne zakłady!"
wanst_gambler_start_2_1,"Mmm, can't wait to snatch these delicious bets!","Mmm, nie mogę się doczekać, żeby zgarnąć te pyszne zakłady!"
wanst_gambler_start_3_1,"Mhmhm, can't wait to snatch delicious bets!","Mhmhm, nie mogę się doczekać, żeby zgarnąć pyszne zakłady!"
