key,en,pl
wanst_headroom_fail_1_1,Aheahfasfn.,Aeaahfasfn.
wanst_headroom_fail_2_1,Eeeeeeeeeeeeeehhmmm...,Eeeeeeeeeeeeeehhmmm...
wanst_headroom_fail_3_1,Eeeeeeeeeeeeeehhmmm...,Eeeeeeeeeeeeeehhmmm...
wanst_headroom_fail_4_1,Nothing!,Nic!
wanst_headroom_goldcoin_1_1,A coin.,Moneta.
wanst_headroom_goldsack01_1_1,A gold sack.,Worek złota.
wanst_headroom_tooth_1_1,A tooth.,Ząb.
wanst_headroom_goldtooth_1_1,A golden tooth.,Złoty ząb.
wanst_headroom_diamondtooth_1_1,A diamond tooth.,Diamentowy ząb.
wanst_headroom_bananapeel_1_1,A banana peel.,Skórka od banana.
wanst_headroom_honkhorn_1_1,A honk horn.,Klakson.
wanst_headroom_frog_1_1,A frog.,Żaba.
wanst_headroom_rat_1_1,A rat.,Szczur.
wanst_headroom_mousetrap_1_1,A mouse trap.,Pułapka na myszy.
wanst_headroom_respawnbottle_1_1,A strange magical jar containing a fetus of myself.,Dziwny magiczny słój z moim własnym płodem.
wanst_headroom_magiclamp_1_1,A magical lamp.,Magiczna lampa.
wanst_headroom_key_1_1,A key.,Klucz.
wanst_headroom_mace_1_1,A mace.,Buława.
wanst_headroom_dagger_1_1,A dagger.,Sztylet.
wanst_headroom_sword_1_1,A sword.,Miecz.
wanst_headroom_broom_1_1,A broom.,Miotła.
wanst_headroom_hubertsclub_1_1,A club.,Maczuga.
wanst_headroom_gianthammer_1_1,A hammer.,Młot.
wanst_headroom_helmet_1_1,A helmet.,Hełm.
wanst_headroom_hood_1_1,A hood.,Kaptur.
wanst_headroom_strawhat_1_1,A straw hat.,Słomkowy kapelusz.
wanst_headroom_beehive_1_1,A bee hive.,Ul.
wanst_headroom_ironarmor_1_1,A suit of iron armor.,Zbroja z żelaza.
wanst_headroom_peasantarmor_1_1,A peasant's armor.,Zbroja chłopska.
wanst_headroom_sackarmor_1_1,A flour sack.,Worek po mące.
wanst_headroom_eye_1_1,An eye.,Oko.
wanst_headroom_brainsfree_1_1,A brain.,Mózg.
wanst_headroom_broccoli_1_1,Broccoli!,Brokuł!
wanst_headroom_ratcorpse_1_1,A dead rat.,Martwy szczur.
wanst_headroom_heart_1_1,A heart made of stone.,Serce z kamienia.
wanst_headroom_mushroom_1_1,A mushroom.,Grzyb.
wanst_headroom_pumpkin_1_1,A pumpkin.,Dynia.
wanst_headroom_leek_1_1,A leek.,Por.
wanst_headroom_strongpotion_1_1,A strength potion.,Mikstura siły.
wanst_headroom_transformationpotion_1_1,A transformation potion.,Mikstura przemiany.
wanst_headroom_alcoholpotion_1_1,Alcohol!,Alkohol!
