key,en,pl
wanst_excito_doorinitiative_perfect_1_1,Let me jump into action. #1.20 And kick these doors open!,Pozwól mi wkroczyć do akcji. #1.20 I kopnięciem otworzyć te drzwi!
wanst_excito_doorinitiative_perfect_2_1,Stay back! #0.80 I'll face these doors!,Zostań z tyłu! #0.80 Ja stawię czoła tym drzwiom!
wanst_excito_doorinitiative_perfect_3_1,I will take on these doors!,Ja zmierzę się z tymi drzwiami!
wanst_excito_doorinitiative_high_1_1,Want me to go ahead and give it a try?,"Chcesz, żebym poszedł pierwszy i spróbował?"
wanst_excito_doorinitiative_high_2_1,Uh oh. Three doors! #1.70 #2.00 Shall I take this one?,O nie. Trzy drzwi! #1.70 #2.00 Mam wziąć te?
wanst_excito_doorinitiative_high_3_1,Doors! I knew it! #1.50 Want me to go first?,"Drzwi! Wiedziałem! #1.50 Chcesz, żebym poszedł pierwszy?"
wanst_excito_doorinitiative_medium_1_1,"Ouch. #0.50 More doors. #1.80 I can take a peek ahead, if you insist....","Au. #0.50 Więcej drzwi. #1.80 Mogę zerknąć naprzód, jeśli nalegasz..."
wanst_excito_doorinitiative_medium_2_1,"Not a fan of these doors... #1.20 To be honest. #2.50 I expect you to send me in, right?","Nie jestem fanem tych drzwi... #1.20 Szczerze mówiąc. #2.50 Zakładam, że mnie tam wyślesz, co nie?"
wanst_excito_doorinitiative_bummed_1_1,Here we go again. #1.30 #1.80 Doors. #2.50I expect you to send me in. Right?,"No i znowu to samo. #1.30 #1.80 Drzwi. #2.50 Zakładam, że mnie tam wyślesz. Prawda?"
wanst_excito_doorinitiative_neutral_1_1,Hmmm. I don't mind.,Hmmm. Nie mam nic przeciwko.
wanst_excito_doorinitiative_neutral_1_2,"I don't either, come to think of it.","Ja też nie, jak się nad tym zastanowić."
wanst_excito_doorinitiative_neutral_2_2,You know where to find me...,"Wiesz, gdzie mnie znaleźć..."
wanst_excito_doorinitiative_neutral_3_1,Hngggyaawulaahhh!?,Hngggyaawulaahhh!?
wanst_excito_doorinitiative_neutral_3_2,That response exceeds my mental capacities.,Ta odpowiedź przekracza moje zdolności umysłowe.
wanst_excito_demandgold_good_1_1,What are you carrying all that gold around for? #2.50 Care to share?,Po co nosisz to całe złoto? #2.50 Podzielisz się?
wanst_excito_demandgold_good_2_1,"Hey, wanna split some of that gold you're collecting?","Hej, podzielisz się trochę tym złotem, które zbierasz?"
wanst_excito_demandgold_good_3_1,"Is that gold all for you? #1.80 There's other folks around here, too. #3.50 Maybe share some?",To złoto całe dla ciebie? #1.80 Są tu też inni ludzie. #3.50 Może się podzielisz?
wanst_excito_demandgold_medium_1_1,Mind sparing a coin or two for a poor soul like me?,Miałbyś coś przeciwko odpaleniu monety czy dwóch biednej duszy jak ja?
wanst_excito_demandgold_medium_2_1,"Uhm, you need all that gold? #2.20 'cause I don't have much yet. #3.70Want to spare some?","Yy, potrzebujesz aż tyle złota? #2.20 Bo ja jeszcze niewiele mam. #3.70Odpalisz coś?"
wanst_excito_demandgold_medium_3_1,"Erm pal, it's time to share some of that gold.#2.90 #3.30 Alright?","Yy, kolego, czas podzielić się trochę tym złotem.#2.90 #3.30 Dobra?"
wanst_excito_demandgold_angry_1_1,I know it's a waste to ask you...#1.50...but could you share some of that gold?,"Wiem, że pytanie cię to strata czasu...#1.50...ale podzielisz się trochę tym złotem?"
wanst_excito_demandgold_angry_2_1,Hey greedy gramps! #1.50 Wanna hand over some of that cash?,"Hej, chciwy dziadku! #1.50 Oddasz trochę tej kasy?"
wanst_excito_demandgold_angry_3_1,Do you realize I am left penniless? #2.20 #2.80 Mind... giving some gold?,"Zdajesz sobie sprawę, że zostałem bez grosza? #2.20 #2.80 Miałbyś coś przeciwko... daniu trochę złota?"
