key,en,pl
wanst_hubert_smalltalk_captive_1_1,"What happened to you, my turtle friend?","Co ci się stało, mój żółwi przyjacielu?"
wanst_hubert_smalltalk_captive_1_2,"I have been captured, and #1.50 I think they want to eat me.",Zostałem schwytany i #1.50 chyba chcą mnie zjeść.
wanst_hubert_smalltalk_captive_1_3,I understand why. #1.50 You do look very tasty after all.,Rozumiem czemu. #1.50 W końcu wyglądasz bardzo smakowicie.
wanst_hubert_smalltalk_captive_1_4,No! #1.00 I don't want to die...,Nie! #1.00 Nie chcę umierać...
wanst_hubert_smalltalk_captive_2_1,So how are things going?,No i jak leci?
wanst_hubert_smalltalk_captive_2_2,I'd be lying if I said my life was perfect...,"Skłamałbym, gdybym powiedział, że moje życie jest idealne..."
wanst_hubert_smalltalk_captive_2_3,"Cheer up, my turtley pal! #2.00 Shoot for the moon, #3.20 and you'll land among the stars!","Głowa do góry, mój żółwiasty kolego! #2.00 Mierz w księżyc, #3.20 a wylądujesz wśród gwiazd!"
wanst_hubert_smalltalk_captive_2_4,Getting out of here would certainly help with that...,Wydostanie się stąd na pewno by w tym pomogło...
wanst_hubert_smalltalk_captive_3_1,Do you know where the toilets are?,"Wiesz, gdzie są toalety?"
wanst_hubert_smalltalk_captive_3_2,"Well there isn't one here, #1.80 so it would be really cool if you let me out.","Cóż, nie ma tu żadnej, #1.80 więc byłoby naprawdę fajnie, gdybyś mnie wypuścił."
wanst_hubert_smalltalk_captive_3_3,Let me contemplate that idea...,"Pozwól, że przemyślę ten pomysł..."
wanst_hubert_smalltalk_captive_4_1,I had a pet turtle once.#1.80 It had a smaller cage than this one. #3.50 But it was pretty happy.,Miałem kiedyś żółwia jako zwierzątko domowe.#1.80 Miał mniejszą klatkę niż ta. #3.50 Ale był całkiem szczęśliwy.
wanst_hubert_smalltalk_captive_4_2,I'm not a pet... #1.40 Can you help me get out of here? #2.60 I'm not happy here at all!,Nie jestem zwierzątkiem domowym... #1.40 Możesz pomóc mi się stąd wydostać? #2.60 Wcale nie jest mi tu dobrze!
wanst_hubert_smalltalk_captive_4_3,You must always appreciate the small things in life.,Zawsze trzeba doceniać małe rzeczy w życiu.
wanst_hubert_smalltalk_loyalitycheck_1_1,So... how are you?,No... jak się masz?
wanst_hubert_smalltalk_loyalitycheck_2_1,So...#0.90 How are you feeling today?,No...#0.90 jak się dziś czujesz?
wanst_hubert_smalltalk_loyalitycheck_3_1,"So, how are you?","No, jak się masz?"
wanst_hubert_smalltalk_loyalitycheck_4_1,"So, how are you?","No, jak się masz?"
wanst_hubert_smalltalk_loyalitycheck_5_1,So... #1.50 How are you?,No... #1.50 jak się masz?
wanst_hubert_smalltalk_loyalitycheck_perfect_1_1,"Sometimes there's so much beauty in the world, #2.30 that I feel like I can't take it!","Czasem na świecie jest tyle piękna, #2.30 że czuję, że tego nie zniosę!"
wanst_hubert_smalltalk_loyalitycheck_perfect_contd_1_1,"Uhhh, sure. #1.80 I know the feeling.","Yyy, jasne. #1.80 Znam to uczucie."
wanst_hubert_smalltalk_loyalitycheck_perfect_contd_2_1,Ehh sure. #1.90 Whatever you say.,"Eh, jasne. #1.90 Jak mówisz."
