key,en,pl
alva_idlecaptive_1_1,Hey! You! #0.90 Can pull that lever?,Hej! Ty! #0.90 Możesz pociągnąć tę dźwignię?
alva_idlecaptive_2_1,Hullo! #1.00 Over here!,Halo! #1.00 Tutaj!
alva_idlecaptive_3_1,I could need some help over here!,Przydałaby mi się tu pomoc!
alva_idlecaptive_4_1,Can you get me out of here? #1.80 I'll be of great help!,Możesz mnie stąd wyciągnąć? #1.80 Bardzo się przydam!
alva_liberated_1_1,Phew. #0.90 Thank you so much.,Uff. #0.90 Bardzo dziękuję.
alva_liberated_2_1,Thanks! #0.80 That's very kind of you.,Dzięki! #0.80 To bardzo miłe z twojej strony.
alva_liberated_3_1,Woo-hoo! #1.00 Free as a berry bee!,"Ju-hu! #1.00 Wolna jak bąk, gdy puszczasz go z rąk!"
alva_newfloor_perfect_1_1,Wowee! #1.50 We are unstoppable!,O rety! #1.50 Jesteśmy nie do zatrzymania!
alva_newfloor_perfect_2_1,I sense the witching hour nearing!,"Czuję, że zbliża się czarownicza godzina!"
alva_newfloor_perfect_3_1,Ace! #0.80 Who knew escaping was as easy #2.50 as turning a doorknob?,"Super! #0.80 Kto by pomyślał, że ucieczka jest tak prosta #2.50 jak przekręcenie klamki?"
alva_newfloor_great_1_1,One more door - #1.30 closer to the ground floor!,Jeszcze jedne drzwi - #1.30 o parterze mi się śni!
alva_newfloor_great_2_1,"Eyyy, we're actually doing this. #2.50 Nice.","Ejże, naprawdę nam to wychodzi. #2.50 Miło."
alva_newfloor_great_3_1,Alright! #1.50 This is the harvest of team work!,Dobra! #1.50 To owoc pracy zespołowej!
alva_newfloor_good_1_1,From mess to a little progress. #2.50 Way to go.,Z bałaganu do odrobiny postępu. #2.50 Tak trzymać.
alva_newfloor_good_2_1,"Ufff, this must be the right way. #3.20 Good.","Uff, to musi być właściwa droga. #3.20 Dobrze."
alva_newfloor_good_3_1,Okay... okay. #1.85 We're getting somewhere.,Okej... okej. #1.85 Dokądś zmierzamy.
alva_newfloor_medium_1_1,So many floors and doors... puh!,"Tyle pięter, tyle drzwi... uff, już mi w oczach mży!"
alva_newfloor_medium_1_2,Ok. #1.00 Lucky guess. #2.30 Let's keep it up.,Ok. #1.00 Szczęśliwe odgadnięcie. #2.30 Trzymajmy tak dalej.
alva_newfloor_medium_2_1,Okay at least we're getting somewhere.,"Okej, przynajmniej dokądś zmierzamy."
alva_newfloor_bummed_1_1,Aaaand another door to the ground floor...,Iiii kolejne drzwi... Parter mi się śni...
alva_newfloor_bummed_1_2,Can't keep pretending... #1.50 this is neverending...,Nie ma co dłużej tego kryć... #1.50 w tym koszmarze bez końca przyjdzie mi żyć...
alva_newfloor_bummed_2_1,"Jiminy Crickets, this tower never ends.","O w mordę, ta wieża nigdy się nie kończy."
alva_looted_angry_1_1,What are you doing!?,Co ty robisz!?
alva_looted_angry_2_1,This means death!!,To oznacza śmierć!!
alva_looted_angry_3_1,I will not tolerate this!!,Nie będę tego tolerować!!
alva_looted_great_1_1,What are you doing!?,Co ty robisz!?
alva_looted_great_2_1,This means death!!,To oznacza śmierć!!
alva_looted_great_3_1,I will not tolerate this!!,Nie będę tego tolerować!!
alva_looted_bummed_1_1,What are you doing!?,Co ty robisz!?
alva_looted_bummed_2_1,This means death!!,To oznacza śmierć!!
alva_looted_bummed_3_1,I will not tolerate this!!,Nie będę tego tolerować!!
alva_wanst_died_trap_perfect_1_1,Ohwow. You were doing so well...,O rety. Tak dobrze ci szło...
alva_wanst_died_trap_great_1_1,Ouch! Sadly there's no potion to fix this...,"Au! Niestety nie ma mikstury, która by to naprawiła..."
alva_wanst_died_trap_good_1_1,Oh my. This took a quick turn to the worse...,O rety. Szybko obróciło się to na gorsze...
alva_wanst_died_trap_medium_1_1,That looks horrible.,To wygląda okropnie.
alva_wanst_died_trap_bummed_1_1,This is not a surprise...,To nie jest zaskoczenie...
alva_wanst_died_trap_angry_1_1,There was no cure for this amount of stupid.,Nie było lekarstwa na taką ilość głupoty.
alva_wanst_died_enemy_perfect_1_1,It's sad to see you go.,"Smutno mi patrzeć, jak odchodzisz."
alva_wanst_died_enemy_great_1_1,I'm gonna avenge you!,Zemszczę się za ciebie!
alva_wanst_died_enemy_good_1_1,Monstrous!,Potworne!
alva_wanst_died_enemy_medium_1_1,You overdid yourself.,Przeholowałeś.
alva_wanst_died_enemy_bummed_1_1,Guess they were too much for you...,Widać byli dla ciebie za mocni...
alva_wanst_died_enemy_angry_1_1,That saved me some energy...,To zaoszczędziło mi trochę energii...
alva_wanst_died_alva_perfect_1_1,"That didn't feel right, sorry.","To nie wydawało się słuszne, przepraszam."
alva_wanst_died_alva_great_1_1,"That's it, pal. Rest in peace.","To już koniec, kolego. Spoczywaj w pokoju."
alva_wanst_died_alva_good_1_1,It was for the best... for everyone.,Tak było najlepiej... dla wszystkich.
alva_wanst_died_alva_medium_1_1,"Sorry, I had to make sure you would do no harm.","Przepraszam, musiałam się upewnić, że nie wyrządzisz krzywdy."
alva_wanst_died_alva_bummed_1_1,"Sorry, but you looked so ugly.","Przepraszam, ale wyglądałeś tak brzydko."
alva_wanst_died_alva_angry_1_1,Good riddance!,"Dobrze, że sobie poszedłeś!"
alva_wanst_died_alva_postal_1_1,Enouuuugh!,Dosyyyć!
alva_wanst_died_alva_postal_2_1,Huuuuerghhh!,Huuuurgh!
alva_wanst_transform_monster_perfect_1_1,Holy hell you shouldn't have drank that!,"Cholera, nie powinieneś był tego pić!"
alva_wanst_transform_monster_great_1_1,Whoa dude watch out with these drinks!,"Ojej, stary, uważaj z tymi trunkami!"
alva_wanst_transform_monster_good_1_1,"Uhmmm, I know it's you. But stay back!","Yyy, wiem, że to ty. Ale trzymaj się z daleka!"
alva_wanst_transform_monster_medium_1_1,Uuuuh here comes danger.,"Uuuh, nadchodzi niebezpieczeństwo."
alva_wanst_transform_monster_bummed_1_1,I'm surprised you can actually turn into even more of a monster...,"Dziwi mnie, że da się zamienić w jeszcze większego potwora..."
alva_wanst_transform_monster_angry_1_1,Well that suits you!,"Cóż, to do ciebie pasuje!"
alva_wanst_transform_wanst_perfect_1_1,"Phew, welcome back!","Uff, witaj z powrotem!"
alva_wanst_transform_wanst_great_1_1,Whooo. You're back in one piece.,Ooo. Wróciłeś cały.
alva_wanst_transform_wanst_good_1_1,Hey pal. Can we continue now?,"Hej, kolego. Możemy już kontynuować?"
