key,en,pl
wanst_sobu_first_1_1,"Welcome, son! #1.40 I knew it was you, all along, who would be the chosen one! #5.00 Now, you shall learn the darkest mystery of that tower. #8.50 And of your final quest...","Witaj, synu! #1.40 Od początku wiedziałem, że to ty będziesz wybrańcem! #5.00 Teraz poznasz najmroczniejszą tajemnicę tej wieży. #8.50 I swojej ostatecznej misji..."
wanst_sobu_first_1_2,Hit me!,Wal śmiało!
wanst_sobu_first_1_3,"In my research, I found out #2.10 that the tower was created by the evil wizard Evelius #5.70 in his search for immortality... #8.40 He crafted a powerful spell that devours the souls of all who die within its walls. #14.0 Each time a soul is consumed, #16.1 the spell creates a copy of the entire tower. #19.1 Including all beings in it.","Podczas badań odkryłem, #2.10 że wieżę stworzył zły czarodziej Evelius #5.70 w pogoni za nieśmiertelnością... #8.40 Utkwił w niej potężne zaklęcie, które pożera dusze wszystkich, którzy giną w jej murach. #14.0 Za każdym razem, gdy pochłonie duszę, #16.1 zaklęcie tworzy kopię całej wieży. #19.1 Wraz ze wszystkimi istotami w środku."
wanst_sobu_first_1_4,"In this way, Evelius managed to create #2.70 duplicates of himself... #4.20 and each one can traverse between the towers.",W ten sposób Evelius zdołał stworzyć #2.70 duplikaty samego siebie... #4.20 a każdy z nich może przemieszczać się między wieżami.
wanst_sobu_first_1_5,However... #1.00 The magic only works inside the tower.,Jednak... #1.00 magia działa tylko wewnątrz wieży.
wanst_sobu_first_1_6,"If duplicated beings leave the enchanted grounds #3.00 and meet themselves, #4.40 one of them will be destroyed!","Jeśli powielone istoty opuszczą zaczarowany teren #3.00 i spotkają same siebie, #4.40 jedna z nich zostanie zniszczona!"
wanst_sobu_first_1_7,"Within these infinite abominable towers, #2.50 thousands of souls are trapped #4.20 and die for Evelius's entertainment, #6.60 increasing his power by the minute!","W tych nieskończonych, plugawych wieżach #2.50 uwięziono tysiące dusz, #4.20 które giną dla rozrywki Eveliusa, #6.60 z każdą minutą powiększając jego moc!"
wanst_sobu_first_1_8,"Are you following, chosen one?","Nadążasz, wybrańcze?"
wanst_sobu_first_1_9,...,...
wanst_sobu_first_1_10,Chosen one!,Wybrańcze!
wanst_sobu_first_1_11,"Ah, right that's me! #1.50 Sorry. #2.00 I always have to get used to new names.","Ach, racja, to ja! #1.50 Wybacz. #2.00 Zawsze muszę się przyzwyczaić do nowych imion."
wanst_sobu_first_1_12,Hrmpf! #0.90 Listen closely: #2.00 We need to destroy Evelius's heart.,Hrmph! #0.90 Słuchaj uważnie: #2.00 Musimy zniszczyć serce Eveliusa.
wanst_sobu_first_1_13,"It's what powers the spell, #2.00 housed in a realm beyond time and space #4.50 that he can access from every one of his towers.","To ono zasila zaklęcie, #2.00 ukryte w krainie poza czasem i przestrzenią, #4.50 do której ma dostęp z każdej swojej wieży."
wanst_sobu_first_1_14,The old king and I built this teleporter here. #2.90 It leads directly to Evelius's lair. #5.50 You are free to use it. #7.00 But beware! #8.00 Nothing but danger awaits on the other side.,Stary król i ja zbudowaliśmy tutaj ten teleporter. #2.90 Prowadzi prosto do kryjówki Eveliusa. #5.50 Możesz z niego skorzystać. #7.00 Ale strzeż się! #8.00 Po drugiej stronie czeka wyłącznie niebezpieczeństwo.
wanst_sobu_first_1_15,"Sadly, the king failed to destroy the heart #2.50 and never returned. #4.00 We need someone with your heroic bravery #6.50 to finish the task!","Niestety królowi nie udało się zniszczyć serca #2.50 i nigdy nie wrócił. #4.00 Potrzebujemy kogoś o twojej heroicznej odwadze, #6.50 by dokończył zadanie!"
wanst_sobu_first_1_16,But greatest care and wit are essential! #2.70 Evelius has protected his heart well.,Lecz niezbędna jest najwyższa ostrożność i spryt! #2.70 Evelius dobrze chroni swoje serce.
wanst_sobu_first_1_17,You need to trick him. #1.50 And that will require powerful sorcery.,Musisz go przechytrzyć. #1.50 A to wymaga potężnych czarów.
wanst_sobu_first_1_18,No problem! #1.30 I am a master of disguise!,Żaden problem! #1.30 Jestem mistrzem przebrania!
wanst_sobu_first_1_19,A fake nose and a wig won't be enough! #2.50 We need to make sure you look exactly like Evelius. #5.50 Else you will not be able to trick the guard #8.00 protecting the heart.,"Fałszywy nos i peruka nie wystarczą! #2.50 Musimy zadbać, żebyś wyglądał dokładnie jak Evelius. #5.50 Inaczej nie zdołasz oszukać strażnika #8.00 chroniącego serce."
wanst_sobu_first_1_20,So we need... #1.40 a nose potion?,Czyli potrzebujemy... #1.40 mikstury nosa?
wanst_sobu_first_1_21,"Mmm yes, #2.00 you could say that. #3.50 Anyways. #4.50 We need a potion master #6.00 to brew an elixir that will do the job.","Mmm, tak, #2.00 można tak powiedzieć. #3.50 W każdym razie. #4.50 Potrzebujemy mistrza mikstur, #6.00 który uwarzy eliksir zdolny to załatwić."
row41,"In case Alva has not been freed yet, Sobu replies with this:","Jeśli Alva nie została jeszcze uwolniona, Sobu odpowiada tak:"
wanst_sobu_first_alva_hint_1_1,"The witch Alva might be able to help us! #2.50 But, to my knowledge, #3.70 she is still trapped inside the tower. #6.00 She needs to be freed as soon as possible! #8.50 Enter the tower and try to get her out.","Czarownica Alva może nam pomóc! #2.50 Ale z tego, co wiem, #3.70 nadal jest uwięziona w wieży. #6.00 Trzeba ją jak najszybciej uwolnić! #8.50 Wejdź do wieży i spróbuj ją wydostać."
row43,"In case Alva has been freed, but the potion quest is not complete yet, Sobu says this:","Jeśli Alva została uwolniona, ale zadanie z miksturą nie jest jeszcze ukończone, Sobu mówi tak:"
wanst_sobu_first_potion_hint_1_1,"I heard the witch Alva is back in the city. #2.50 Go to her hut, and convince her to help us! #5.20 She is a tough nut. #6.50 But she'll eventually make the right choice.","Słyszałem, że czarownica Alva wróciła do miasta. #2.50 Idź do jej chaty i przekonaj ją, żeby nam pomogła! #5.20 To twardy orzech. #6.50 Ale w końcu wybierze właściwie."
row47,"case: Alva has been freed, but the potion quest has not been finished. OR Alva quest is done, but you didn't bring a potion","przypadek: Alva została uwolniona, ale zadanie z miksturą nie jest ukończone. ALBO zadanie Alvy wykonane, ale nie przyniosłeś mikstury"
wanst_sobu_potion_hint_1_1_a,"Sorry, I didn't listen. #1.50 What do I have to do now?","Wybacz, nie słuchałem. #1.50 Co mam teraz zrobić?"
wanst_sobu_potion_hint_1_1_b,Alright! #1.50 What exactly am I supposed to do again?,Dobrze! #1.50 Co dokładnie mam znowu zrobić?
wanst_sobu_potion_hint_1_1_c,Soooo... #1.50 I might not have listened to every exact word you said. #5.00 What's my job again?,"Wiiięc... #1.50 mogłem nie wsłuchać się w każde słowo, które powiedziałeś. #5.00 Jakie jest moje zadanie?"
wanst_sobu_potion_hint_1_2_a,"Go to Alva, the witch! #1.50 She might be hard to convince, #3.00 but you'll find a way. #4.50 After all: #5.50 You're the chosen one!","Idź do Alvy, czarownicy! #1.50 Może być trudno ją przekonać, #3.00 ale znajdziesz sposób. #4.50 W końcu: #5.50 jesteś wybrańcem!"
wanst_sobu_potion_hint_1_2_b,"Try getting the potion from Alva, the witch! #2.50 You'll surely find a way, chosen one.","Spróbuj zdobyć miksturę od Alvy, czarownicy! #2.50 Na pewno znajdziesz sposób, wybrańcze."
wanst_sobu_potion_hint_1_2_c,Errr... #1.00 Alva. #1.80 Potion. #2.50 Get.,Eee... #1.00 Alva. #1.80 Mikstura. #2.50 Zdobyć.
row55,case: Alva has not been freed,przypadek: Alva nie została uwolniona
