key,en,pl
wanst_excito_address_perfect_1_1,Another adventurer?,Kolejny poszukiwacz przygód?
wanst_sobu_address_perfect_1_2,Why hello there. #1.30 Care to help out an old chum?,"No proszę, witaj. #1.30 Pomożesz staremu druhowi?"
wanst_excito_address_perfect_2_1,Hello there random person!,"Witaj, przypadkowa osobo!"
wanst_sobu_address_perfect_2_2,"I might have something for you then, young fop.","W takim razie mam coś dla ciebie, młokosie."
wanst_sobu_address_perfect_1_1,Another adventurer?,Kolejny poszukiwacz przygód?
wanst_sobu_address_medium_1_2,"Well, kind of.","Cóż, można tak powiedzieć."
wanst_sobu_address_perfect_2_1,Hello there random person!,"Witaj, przypadkowa osobo!"
wanst_sobu_address_medium_2_2,"Hello, young fop.","Witaj, młokosie."
wanst_excito_address_perfect_3_1,"Hey, let's team up!","Hej, połączmy siły!"
wanst_sobu_address_medium_3_2,With you?,Z tobą?
wanst_sobu_address_bummed_1_2,"Just what I needed, #1.50 a bumbling idiot.","Tego mi było trzeba, #1.50 niezdarnego idioty."
wanst_sobu_address_bummed_2_2,"Hello, young twit.","Witaj, młody dureniu."
wanst_sobu_address_bummed_3_2,Is that a good idea?,Czy to dobry pomysł?
wanst_sobu_address_angry_1_2,What is this bumbling idiocy that stands before me?,Cóż to za niezdarny idiotyzm stoi przede mną?
wanst_sobu_address_angry_2_2,"Ugh, what?!","Ugh, co takiego?!"
wanst_sobu_address_angry_3_2,Mmm yeah... #0.90 Why not dig my own grave?,"Mhm, jasne... #0.90 Czemu by nie wykopać sobie od razu grobu?"
wanst_sobu_acceptjoin_perfect_1_1,Follow me on my journey!,Chodź ze mną w podróż!
wanst_sobu_acceptjoin_perfect_1_2,Way to go!,Brawo!
wanst_sobu_acceptjoin_perfect_2_1,Be my shadow and follow my lead!,Bądź moim cieniem i idź za mną!
wanst_sobu_acceptjoin_perfect_2_2,Hu-rrah!,Hu-rra!
wanst_sobu_acceptjoin_perfect_3_1,Yuss!,Ojaa!
wanst_sobu_acceptjoin_perfect_3_2,The prophecy will be fulfilled!,Przepowiednia się spełni!
wanst_sobu_acceptjoin_perfect_4_1,Alright!,Zgoda!
wanst_sobu_acceptjoin_perfect_4_2,The stars have aligned!,Gwiazdy się ułożyły!
wanst_sobu_acceptjoin_medium_1_2,Ok... let's give this a try.,Dobra... spróbujmy.
wanst_sobu_acceptjoin_medium_2_2,"Ok, you seem like you could use some wit.","Dobra, wygląda na to, że przydałby ci się rozum."
wanst_sobu_acceptjoin_medium_3_2,I foresee I might regret this.,"Przeczuwam, że będę tego żałował."
wanst_sobu_acceptjoin_medium_1_2,Ok... let's give this a try.,Dobra... spróbujmy.
wanst_sobu_acceptjoin_medium_2_2,"Ok, you seem like you could use some wit.","Dobra, wygląda na to, że przydałby ci się rozum."
wanst_sobu_acceptjoin_medium_3_2,I foresee I might regret this.,"Przeczuwam, że będę tego żałował."
