key,en,pl
wanst_alva_address_perfect_1_1,"Oh, a witch!","Ooo, czarownica!"
wanst_alva_address_perfect_1_2,"Good day, knight! Need some help?","Dzień dobry, rycerzu! Potrzebujesz pomocy?"
wanst_alva_address_perfect_2_1,"Hello, care to join the party?","Witaj, masz ochotę dołączyć do drużyny?"
wanst_alva_address_perfect_2_2,"Mmm, why not!","Mmm, czemu nie!"
wanst_alva_address_perfect_3_1,"Let's team up, witch!","Połączmy siły, czarownico!"
wanst_alva_address_perfect_3_2,"Ok, knight!","Ok, rycerzu!"
wanst_alva_address_medium_1_2,"Oh, a knight.","O, rycerz."
wanst_alva_address_medium_2_2,It's better than going alone I guess.,Chyba lepsze to niż iść samemu.
wanst_alva_address_medium_3_2,With you? Ok then...,Z tobą? No dobra więc...
wanst_alva_address_bummed_1_2,Please don't burn me.,"Proszę, nie spal mnie."
wanst_alva_address_bummed_2_2,Mmm not... really.,Mmm nie... właściwie to nie.
wanst_alva_address_bummed_3_2,Why would I want that?,Czemu miałabym tego chcieć?
wanst_alva_address_angry_1_2,"Oh, a bumbling bampot.","O, niezdarny głupek."
wanst_alva_address_angry_2_2,Which party?,Jaka drużyna?
wanst_alva_address_angry_3_2,Huh?,Hę?
wanst_alva_acceptjoin_perfect_1_1,You're hired!,Jesteś zatrudniona!
wanst_alva_acceptjoin_perfect_1_2,I... didn't mean it that way...,Ja... nie o to mi chodziło...
wanst_alva_acceptjoin_perfect_2_1,Sure thing. Come follow my lead,"Jasna sprawa. Chodź, podążaj za mną"
wanst_alva_acceptjoin_perfect_2_2,I'll give it a try.,Spróbuję.
wanst_alva_acceptjoin_perfect_3_1,Yuss!,Tasss!
wanst_alva_acceptjoin_perfect_3_2,Onward!,Naprzód!
wanst_alva_acceptjoin_perfect_4_1,Alright!,Dobra!
wanst_alva_acceptjoin_perfect_4_2,Hurr hurr.,Hyhy.
wanst_alva_acceptjoin_medium_1_2,Well... let's give this a try.,Cóż... spróbujmy.
wanst_alva_acceptjoin_medium_2_2,You definitely seem like you need help.,"Zdecydowanie wyglądasz, jakbyś potrzebował pomocy."
wanst_alva_acceptjoin_medium_3_2,I think I might regret this.,Chyba tego pożałuję.
wanst_alva_acceptjoin_bummed_1_2,"An ill-advised journey,... #2.10 But I suppose I'll tag along.","Nierozsądna wyprawa,... #2.10 ale chyba się dołączę."
wanst_alva_acceptjoin_bummed_2_2,"Well, this defies reason, but... #2.30 Let's see where it leads.","Cóż, to przeczy rozsądkowi, ale... #2.30 zobaczmy, dokąd to prowadzi."
wanst_alva_acceptjoin_bummed_3_2,"Brewing disaster, #1.80 one step at a time.","Warzę katastrofę, #1.80 krok po kroku."
wanst_alva_acceptjoin_angry_1_2,"If luck favors idiots, #1.40 I might just survive this.","Jeśli szczęście sprzyja głupcom, #1.40 może to przetrwam."
wanst_alva_acceptjoin_angry_2_2,A perfect shield against traps – #2.50 let the bampot clear the path.,Idealna tarcza przeciw pułapkom – #2.50 niech głupek toruje drogę.
wanst_alva_acceptjoin_angry_3_2,Here's hoping this buffoon #1.90 stumbles upon something worthwhile.,"Miejmy nadzieję, że ten błazen #1.90 natknie się na coś wartościowego."
wanst_alva_addpartycaptive_reply_1_1,"Uhmmm, we're missing a key ingredient here, aren't we?","Yyy, brakuje nam tu kluczowego składnika, prawda?"
wanst_alva_addresscaptive_1_1,"Oh wow, there's lotsa bars in this tower...","O rety, w tej wieży jest mnóstwo krat..."
wanst_alva_addresscaptive_1_2,I'd be glad if you could... #1.80 raise the bar here?,"Byłabym wdzięczna, gdybyś... #1.80 otworzył tu kratę?"
wanst_alva_addresscaptive_2_1,"Sup there, hooded herbfriend?","Co słychać, kapturowy zielarski przyjacielu?"
wanst_alva_addresscaptive_2_2,I'm pretty... locked up here? #2.70 Can you give me a hand?,Jestem tu całkiem... #2.70 zamknięta? Pomożesz mi?
alva_takegold_perfect_1_1,"Aaah, thanks!","Aaach, dzięki!"
alva_takegold_great_1_1,"Aww, thank you.","Aww, dziękuję."
alva_takegold_good_1_1,"Alright, cheers.","Dobra, dzięki."
alva_takegold_medium_1_1,Uhm. Thanks.,Yy. Dzięki.
alva_takegold_bummed_1_1,"Uh, yeah... thanks, I guess.","Yy, ta... dzięki, chyba."
alva_takegold_angry_1_1,"Uhm, okay. ""Thanks""...","Yy, okej. „Dzięki”..."
wanst_alva_follow_random_1_1,"Come on, let's go this way.","No chodź, idziemy tędy."
wanst_alva_follow_random_2_1,"Follow me, pal!","Chodź za mną, koleżko!"
wanst_alva_follow_random_3_1,Join me.,Dołącz do mnie.
wanst_alva_follow_random_4_1,"This way, friendo!","Tędy, przyjacielu!"
wanst_alva_follow_random_5_1,"This way, friendo!","Tędy, przyjacielu!"
wanst_alva_follow_random_6_1,"Ok, follow me!","Dobra, chodź za mną!"
wanst_alva_follow_random_7_1,"Ok, follow me!","Dobra, chodź za mną!"
wanst_alva_follow_random_8_1,Come with me!,Chodź ze mną!
wanst_alva_follow_random_9_1,"Alright, let's go.","No dobra, idziemy."
wanst_alva_follow_random_10_1,"Hey, come with me, pal!","Hej, chodź ze mną, koleżko!"
wanst_alva_follow_random_11_1,Come follow!,Chodź za mną!
wanst_alva_follow_random_12_1,"Come along, pal.","Chodź ze mną, koleżko."
wanst_alva_follow_random_13_1,"Come with me, pal!","Chodź ze mną, koleżko!"
wanst_alva_follow_random_14_1,Follow me!,Chodź za mną!
wanst_alva_follow_random_15_1,Follow me!,Chodź za mną!
wanst_alva_follow_random_16_1,Chop chop. Let's go.,"Szybko, szybko. Idziemy."
wanst_alva_follow_random_17_1,Come on!,No chodź!
wanst_alva_follow_random_18_1,"Let's go, pal!","Idziemy, koleżko!"
wanst_alva_follow_reply_perfect_1_1,Okeiiiii.,Okeeej.
wanst_alva_follow_reply_perfect_2_1,"Okay, let's go!","Okej, ruszamy!"
wanst_alva_follow_reply_perfect_3_1,Time to brew up some trouble!,Czas zawarzyć trochę kłopotów!
wanst_alva_follow_reply_great_1_1,Time for a potion commotion!,Czas na miksturowe zamieszanie!
wanst_alva_follow_reply_great_2_1,Aaas you please.,Jaaak sobie życzysz.
wanst_alva_follow_reply_great_3_1,"Alright, tight knight!","Dobra, dziarski rycerzu!"
wanst_alva_follow_reply_good_1_1,I'll give it a try...,Spróbuję...
wanst_alva_follow_reply_good_2_1,Iiii... want to believe you.,Chciałabym... ci wierzyć.
wanst_alva_follow_reply_good_3_1,Are you sure?,Jesteś pewien?
wanst_alva_follow_reply_medium_1_1,"I'm walking, but not smiling.","Idę, ale się nie uśmiecham."
wanst_alva_follow_reply_medium_2_1,I will... #1.30 But at a distance.,Zrobię to... #1.30 ale z dystansu.
wanst_alva_follow_reply_medium_3_1,"Alright, but tread lightly.","Dobra, ale stąpaj ostrożnie."
wanst_alva_follow_reply_bummed_1_1,"Ouch, your voice is like #1.50 a bug dancing on my ear drum.","Au, twój głos jest jak robak #1.50 tańczący na mojej błonie bębenkowej."
wanst_alva_follow_reply_bummed_2_1,This is an exercise in restraint. #2.40 But I'll manage.,To ćwiczenie z powściągliwości. #2.40 Ale dam radę.
wanst_alva_follow_reply_bummed_3_1,"You lead the way, and I'll do my best #2.20 to keep my eye rolls silent.","Ty prowadź, #2.20 a ja postaram się przewracać oczami po cichu."
wanst_alva_follow_reply_angry_1_1,"Argh, this is getting ridiculous.","Argh, to robi się śmieszne."
wanst_alva_follow_reply_angry_2_1,"Fine, lead on, oaf.","Dobra, prowadź, prostaku."
wanst_alva_stay_random_1_1,Could you stay here for a sec?,Możesz tu chwilkę zostać?
wanst_alva_stay_random_2_1,Stay right there.,Zostań tam.
wanst_alva_stay_random_3_1,Stay here!,Zostań tu!
wanst_alva_stay_random_4_1,Stop right there.,Stój w miejscu.
wanst_alva_stay_random_5_1,Can you stay here for a bit?,Możesz tu chwilę zostać?
wanst_alva_stay_random_6_1,Stay right here!,Zostań dokładnie tutaj!
wanst_alva_stay_random_7_1,Please keep this position.,"Proszę, zachowaj tę pozycję."
wanst_alva_stay_random_8_1,Stay here.,Zostań tutaj.
wanst_alva_stay_random_9_1,"Don't move, pal.","Ani drgnij, koleżko."
wanst_alva_stay_random_10_1,Hold it!,Stój!
wanst_alva_stay_random_11_1,"Okay, hold this position for a bit, willya?","Dobra, potrzymaj tę pozycję chwilę, dobra?"
wanst_alva_stay_random_12_1,Keep this position.,Zachowaj tę pozycję.
wanst_alva_stay_random_13_1,"Ok, hold it here.","Dobra, przytrzymaj tu."
wanst_alva_stay_random_14_1,"Okay, hold on.","Dobra, poczekaj."
wanst_alva_stay_random_15_1,"Ok, hold it.","Dobra, przytrzymaj."
wanst_alva_stay_random_16_1,"Stay right there, dude!","Zostań tam, ziomek!"
wanst_alva_stay_reply_perfect_1_1,You can trust me!,Możesz mi zaufać!
wanst_alva_stay_reply_perfect_2_1,I'll secure this spot.,Zabezpieczę to miejsce.
wanst_alva_stay_reply_great_1_1,"Done that before, can do it again!","Robiłam to już wcześniej, mogę zrobić to znowu!"
wanst_alva_stay_reply_great_2_1,Stopped!,Zatrzymana!
wanst_alva_stay_reply_good_1_1,Will do just that...,Właśnie to zrobię...
wanst_alva_stay_reply_good_2_1,If that is what you want from me.,Jeśli tego ode mnie chcesz.
wanst_alva_stay_reply_good_3_1,Guess I got some to think.,Chyba mam nad czym pomyśleć.
