key,en,pl
hubert_door_cleared_perfect_1_1,"Alright, I did it! #1.00 But this room doesn't have any reward.","No dobrze, udało się! #1.00 Ale w tym pokoju nie ma żadnej nagrody."
hubert_door_cleared_perfect_2_1,I did it! #0.80 But this room doesn't have any cool loot.,Udało się! #0.80 Ale w tym pokoju nie ma fajnego łupu.
hubert_door_cleared_perfect_3_1,"Uff, cleared the room. #1.80 But there's nothing interesting in there.","Uff, pokój oczyszczony. #1.80 Ale nie ma tam nic ciekawego."
hubert_door_cleared_great_1_1,Turns out this room leads nowhere.,"Okazuje się, że ten pokój prowadzi donikąd."
hubert_door_cleared_great_2_1,Turns out this room leads nowhere.,"Okazuje się, że ten pokój prowadzi donikąd."
hubert_door_cleared_great_3_1,Looks like this room doesn't lead anywhere.,"Wygląda na to, że ten pokój nigdzie nie prowadzi."
hubert_door_cleared_great_4_1,"Phew, I think I'm done. #1.70 Nothing of interest there though...","Uff, chyba skończyłem. #1.70 Nic tam jednak ciekawego nie było..."
hubert_door_cleared_great_5_1,I think I'm done. #1.20 Nothing of interest in the room though...,Chyba skończyłem. #1.20 W pokoju nic ciekawego jednak nie było...
hubert_door_cleared_great_6_1,This room is a dead end.,Ten pokój to ślepy zaułek.
hubert_door_cleared_great_7_1,"This room is a dead end, I think...",Ten pokój to chyba ślepy zaułek...
hubert_door_cleared_great_8_1,This room is a dead end.,Ten pokój to ślepy zaułek.
hubert_door_cleared_good_1_1,There's only danger behind that door. For sure!,Za tymi drzwiami czai się tylko niebezpieczeństwo. Na pewno!
hubert_door_cleared_good_2_1,That was clearly the wrong door...,To zdecydowanie były złe drzwi...
hubert_door_cleared_good_3_1,That was quite tedious. #1.20 For a pointless room like this.,To było dość żmudne. #1.20 Jak na taki bezsensowny pokój.
hubert_door_cleared_medium_1_1,That was a harsh task. #1.40 But it lead to nothing.,To było trudne zadanie. #1.40 Ale do niczego nie doprowadziło.
hubert_door_cleared_medium_2_1,I nearly died in there. #1.90 But I think it's the wrong door...,Prawie tam zginąłem. #1.90 Ale chyba to złe drzwi...
