key,en,pl
wanst_excito_smalltalk_captive_1_1,"This tower got some nice bars, huh?","Ta wieża ma niezłe kraty, co nie?"
wanst_princesspretty_bummed_5_1,"You're in front, and I'm behind. #2.00 Let me out, would you be so kind?","Ty jesteś z przodu, a ja z tyłu. #2.00 Wypuść mnie, bądź tak miły, proszę."
wanst_excito_smalltalk_captive_1_3,Is it rhyme-time my fellow crime spine?,"Czy to czas na rymy, mój przestępczy kręgosłupie?"
wanst_princesspretty_happy_3_1,Could you just hit that lever?,Mógłbyś po prostu pociągnąć tę dźwignię?
wanst_excito_smalltalk_captive_2_1,You know I worked as a bartender once?,"Wiesz, że kiedyś pracowałem jako barman?"
wanst_princesspretty_medium_1_1,I did not. #1.10 The bars in front of me aren't tender though. #3.50 So could you help me break free?,Nie wiedziałem. #1.10 Ale kraty przede mną nie są zbyt czułe. #3.50 Więc pomożesz mi się uwolnić?
wanst_excito_smalltalk_captive_3_1,Are you ready for your next adventure!?,Gotowy na kolejną przygodę!?
wanst_princesspretty_medium_3_1,"I was born ready! #1.20 #1.50 But let me out first, maybe?",Urodziłem się gotowy! #1.20 #1.50 Ale może najpierw mnie wypuścisz?
wanst_excito_smalltalk_captive_3_3,"Okay, but only if you don't get too excited. #2.20 That's my job.","Okej, ale tylko jeśli się zanadto nie podekscytujesz. #2.20 To moja robota."
wanst_princesspretty_bummed_5_1,At this point I agree to anything...,W tym momencie zgodzę się na wszystko...
wanst_excito_smalltalk_captive_4_1,Where were you all my life?,Gdzie byłeś przez całe moje życie?
wanst_princesspretty_happy_1_1,"Well, trapped behind these bars! #1.70 #2.10 And soon it'll be more rage than cure. #4.50 If I don't get out of here...","Cóż, uwięziony za tymi kratami! #1.70 #2.10 A niedługo będzie tu więcej wściekłości niż lekarstwa. #4.50 Jeśli się stąd nie wydostanę..."
wanst_excito_smalltalk_captive_4_3,Mmmm. #0.80 Furious makes me curious.,Mmmm. #0.80 Wściekłość budzi we mnie ciekawość.
wanst_hubert_smalltalk_loyalitycheck_1_1,So... How are you?,No... jak się masz?
wanst_hubert_smalltalk_loyalitycheck_2_1,So...,No...
wanst_hubert_smalltalk_loyalitycheck_3_1,"So, how are you?","No, jak się masz?"
wanst_hubert_smalltalk_loyalitycheck_4_1,So...,No...
wanst_hubert_smalltalk_loyalitycheck_5_1,So...,No...
wanst_princesspretty_smalltalk_regular_1_1,So... #0.70 What's your name?,No... #0.70 jak masz na imię?
wanst_princesspretty_smalltalk_regular_1_3,Umm.... #0.70 Can you spell that for me?,Yy.... #0.70 Przeliterujesz mi to?
wanst_princesspretty_smalltalk_regular_1_5,Hmm. #0.70 I'll just make up a name. #2.00 Is that fine with you?,Hmm. #0.70 Po prostu wymyślę ci imię. #2.00 Pasuje ci to?
wanst_princesspretty_smalltalk_regular_1_7,Cool.,Super.
wanst_princesspretty_smalltalk_regular_2_1,What are your thoughts on the latest #1.50 developments of honk horns?,Co sądzisz o najnowszych #1.50 osiągnięciach w dziedzinie klaksonów?
wanst_princesspretty_happy_1_1,(Random gurgle sound.),(Losowy odgłos bulgotania.)
wanst_princesspretty_smalltalk_regular_2_3,Ok. #0.60 Pretty much my thinking.,"Ok. #0.60 Mniej więcej to, co myślałem."
wanst_princesspretty_smalltalk_regular_3_1,Can you tell me a joke?,Możesz opowiedzieć mi dowcip?
wanst_princesspretty_bummed_2_1,(Random gurgle sound.),(Losowy odgłos bulgotania.)
wanst_princesspretty_smalltalk_regular_3_3,Hahaha! #0.70 So funny!,Hahaha! #0.70 Ale zabawne!
wanst_princesspretty_smalltalk_regular_4_1,Are you a real princess?,Jesteś prawdziwą księżniczką?
wanst_princesspretty_happy_4_1,(Random gurgle sound.),(Losowy odgłos bulgotania.)
wanst_princesspretty_smalltalk_regular_4_3,Seems legit.,Wygląda na prawdziwe.
