key,en,pl
wanst_djinn_spawn_1_1,Alright! #0.80 Party time!,Dobra! #0.80 Czas na imprezę!
wanst_djinn_spawn_2_1,Heyyy! #0.70 Who touched my bottle?,Heeej! #0.70 Kto dotknął mojej butelki?
wanst_djinn_spawn_3_1,Heyyy! #0.60 Who touched my bottle?,Heeej! #0.60 Kto dotknął mojej butelki?
wanst_djinn_spawn_4_1,Free at last!,Nareszcie wolny!
wanst_djinn_spawn_5_1,"Aaah, finally.","Aaach, nareszcie."
wanst_djinn_spawn_repeated_1_1,Do you have a real wish now?,Masz teraz prawdziwe życzenie?
wanst_djinn_spawn_repeated_2_1,I am getting very angry...,Robię się bardzo zły...
wanst_djinn_spawn_repeated_3_1,If you do this one more time...,Jeśli zrobisz to jeszcze raz...
wanst_djinn_spawn_repeated_4_1,If you do this one more time...,Jeśli zrobisz to jeszcze raz...
wanst_djinn_spawn_repeated_5_1,I hope that's not just wishful thinking!,"Mam nadzieję, że to nie tylko pobożne życzenie!"
wanst_djinn_spawn_repeated_6_1,Is it now?!,A może teraz?!
wanst_djinn_spawn_repeated_7_1,YESS??,TAAAK??
wanst_djinn_address_1_1,Hey purple pal. #1.30 Got any spare wishes?,"Hej, fioletowy kolego. #1.30 Masz jakieś zapasowe życzenia?"
wanst_djinn_address_1_2,Right on! #1.20 What shall it be?,No proszę! #1.20 Czego sobie życzysz?
wanst_djinn_address_2_1,You look like a wish-granting ghost thingy.,Wyglądasz jak jakiś duch spełniający życzenia.
wanst_djinn_address_2_2,What is it that you request?,Czego żądasz?
wanst_djinn_address_3_1,"Hey, are you the wish-granting type of ghost?","Hej, jesteś tym typem ducha, co spełnia życzenia?"
wanst_djinn_address_3_2,Yes. I'm listening...,Tak. Słucham...
wanst_djinn_address_4_1,"Hey, are you of the wish-granting-ghost type?","Hej, jesteś typem ducha spełniającego życzenia?"
wanst_djinn_address_4_2,I'll grant you ONE wish.,Spełnię ci JEDNO życzenie.
wanst_djinn_address_5_1,Whoa. How did all of this fit in there?,Ojej. Jak to wszystko się tam zmieściło?
wanst_djinn_address_5_2,With a lot of pain. #2.00 Now what is your wish?,Z wielkim bólem. #2.00 Więc jakie masz życzenie?
wanst_djinn_address_6_1,"Hey, I'm looking for the guy with the wishes. #2.30 Is that you?","Hej, szukam gościa od życzeń. #2.30 To ty?"
wanst_djinn_address_6_2,Yes. Beware and choose wisely.,Tak. Uważaj i wybierz mądrze.
wanst_djinn_address_7_1,"Hey, I'm looking for the guy with the dishes. #2.30 Is that you?","Hej, szukam gościa od naczyń. #2.30 To ty?"
wanst_djinn_address_7_2,Nooo. I'm the guy with the wishes.,Nie no. Jestem gościem od życzeń.
wanst_djinn_address_7_3,Okay. #0.70 That might work as well.,Okej. #0.70 To też może się przydać.
wanst_djinn_address_8_1,Whoa! #0.90 A genius.,Ojej! #0.90 Geniusz.
wanst_djinn_address_8_2,It is called a genie...,To się nazywa dżinn...
wanst_djinn_address_8_3,I was talking about myself.,Mówiłem o sobie.
wanst_djinn_address_again_1_1,Now I have a real wish!,Teraz mam prawdziwe życzenie!
wanst_djinn_address_again_2_1,"Ok, here's my actual wish...","Ok, oto moje prawdziwe życzenie..."
wanst_djinn_address_again_3_1,At last. #0.90 Here goes my serious wish.,Nareszcie. #0.90 Oto moje poważne życzenie.
