key,en,pl
wanst_encounter_doortodoom_1_1,"Err, I think I should leave...","Ekhm, chyba powinienem stąd zniknąć..."
wanst_encounter_doortodoom_2_1,Ermmm...,Eeeee...
wanst_encounter_doortodoom_3_1,Whoooooa.,Ojoooj.
wanst_doortodoom_beat_1_1,Phewww!,Uff!
wanst_doortodoom_beat_2_1,I better not go back in that one!,Lepiej tam więcej nie wracać!
wanst_doortodoom_beat_3_1,Wrong door!,Złe drzwi!
wanst_doortodoom_beat_4_1,It's not fall yet!,To jeszcze nie pora na upadek!
wanst_doortodoom_beat_5_1,Phew! #0.80 Luckily falling down a bottomless abyss is not how #3.30 this story ends...,"Uff! #0.80 Na szczęście spadnięcie w bezdenną otchłań to nie jest sposób, #3.30 w jaki kończy się ta historia..."
wanst_doortodoom_certaindeath_1_1,I'm too handsome to die!,"Jestem zbyt przystojny, by umierać!"
wanst_encounter_gunpowderfuse_1_1,"Aaah, dynamite!!!","Aaa, dynamit!!!"
wanst_encounter_gunpowderfuse_2_1,"Hey, smoking's not allowed indoors!","Hej, palenie w pomieszczeniach jest zabronione!"
wanst_encounter_gunpowderfuse_3_1,I should probably do something about that burning fuse over there...,Chyba powinienem coś zrobić z tym płonącym lontem...
wanst_encounter_gunpowderfuse_4_1,There's a scent of dynamite in the air. #2.50 Reminds me of my late mother.,W powietrzu unosi się zapach dynamitu. #2.50 Przypomina mi moją świętej pamięci matkę.
wanst_encounter_gunpowderfuse_5_1,What's all the fuse about?,Co tu się tak pali?
wanst_encounter_gunpowderfuse_6_1,"Ugh, gross! It smells like #2.00 burnt yoghurt in here.","Fuj, obrzydliwe! Pachnie tu #2.00 spalonym jogurtem."
wanst_powderkeg_beat_1_1,"I wanna get out, but... #1.40 preferably in one piece.","Chcę się stąd wydostać, ale... #1.40 najlepiej w jednym kawałku."
wanst_powderkeg_beat_2_1,Lucky I was here to stop this sabotage!,"Szczęście, że tu byłem, by powstrzymać ten sabotaż!"
wanst_powderkeg_beat_3_1,That was close.,Ale było blisko.
wanst_powderkeg_beat_4_1,"The only gunshell in this tower should be me, baby.","Jedyną petardą w tej wieży powinienem być ja, kochana."
wanst_powderkeg_beat_5_1,The only bomb in this tower should be me.,Jedyną bombą w tej wieży powinienem być ja.
wanst_powderkeg_certaindeath_1_1,Uh oh!,Ojej!
wanst_encounter_hammerguy_1_1,Aaaaaah!,Aaaaaah!
wanst_encounter_hammerguy_2_1,Aaaaaah!,Aaaaaah!
wanst_encounter_hammerguywall_1_1,I have a good feeling about this room.,Mam dobre przeczucia co do tego pokoju.
wanst_hammerguy_beat_1_1,"Ha, you should slow down my friend.","Ha, powinieneś zwolnić, przyjacielu."
wanst_hammerguy_almostkilled_1_1,"I like to get hammered, but not this way.","Lubię czasem być porządnie walnięty, ale niekoniecznie młotem po głowie."
wanst_lightsout_encounter_1_1,It's getting a bit dark in here. #1.80 Maybe I should leave.,Robi się tu trochę ciemno. #1.80 Może powinienem stąd wyjść.
wanst_lightsout_encounter_2_1,"Hey, who turned the light out? #1.90 My beauty can't be overshadowed!","Hej, kto zgasił światło? #1.90 Moja uroda nie może być przyćmiona!"
wanst_lightsout_encounter_3_1,It's getting dark already? #1.70 I'm gonna have to wind my watch...,Już się ściemnia? #1.70 Będę musiał nakręcić zegarek...
wanst_lightsout_encounter_4_1,"Oh, looks like they got a dark room in here...","O, wygląda na to, że mają tu ciemny pokój..."
wanst_lightsout_almostkilled_1_1,I was sensing some strange company in there...,Wyczuwałem tam jakieś dziwne towarzystwo...
wanst_lightsout_certaindeath_1_1,"Hey pal, are you sure that's the right place for your hand?","Hej, kolego, jesteś pewien, że to odpowiednie miejsce dla twojej ręki?"
wanst_lightsout_certaindeath_2_1,"Hold on. #0.70 We just met, okay?","Chwila. #0.70 Dopiero się poznaliśmy, dobra?"
wanst_lightsout_certaindeath_3_1,"Move that arm from my shoulder, wouldya?","Zdejmij tę rękę z mojego ramienia, dobra?"
wanst_encounter_bigband_1_1,Hey! That's not polka! #2.00 Boo!,Hej! To nie jest polka! #2.00 Buuu!
wanst_encounter_bigband_2_1,This band sucks!,Ten zespół jest do niczego!
wanst_encounter_bigband_3_1,What monstrous music!,Co za potworna muzyka!
wanst_encounter_bigband_4_1,Moving to the beat of this band... #1.80 I could dance by unnoticed.,Poruszając się w rytm tego zespołu... #1.80 mógłbym przetańczyć niezauważony.
wanst_bigband_beat_1_1,"Beat it, folks!","Spadajcie stąd, ekipo!"
wanst_bigband_beat_2_1,No more cowbell!,Dość już tego krowiego dzwonka!
wanst_bigband_beat_3_1,Oh and by the way: Your last album sucked!,A tak à propos: wasz ostatni album był do kitu!
wanst_bigband_almostkilled_1_1,Looks like they can't handle fair criticism.,"Widać, że nie umieją znieść uczciwej krytyki."
wanst_encounter_metalpendulum_1_1,"Imagine the cake, when the knife's already this big.","Wyobraźcie sobie tort, skoro nóż jest już taki wielki."
wanst_encounter_metalpendulum_2_1,Reminds me of my days working at the pendulum store.,Przypomina mi czasy pracy w sklepie z wahadłami.
wanst_encounter_metalpendulum_3_1,This ain't a room to easily swing by.,"To nie jest pokój, w którym można się tak po prostu bujać."
wanst_encounter_metalpendulum_4_1,It's very hard to tell the time with this odd clock.,Trudno odczytać czas z tego dziwnego zegara.
wanst_metalpendulum_almostkilled_1_1,I need to watch out for my haircut.,Muszę uważać na moją fryzurę.
wanst_metalpendulum_almostkilled_2_1,I don't want any of these effective short haircuts.,Nie chcę żadnej z tych skutecznie skróconych fryzur.
wanst_metalpendulum_almostkilled_3_1,Didn't I say I need to watch out for my hair?,"Czy nie mówiłem, że muszę uważać na włosy?"
wanst_metalpendulum_almostkilled_4_1,What a refreshing breeze.,Cóż za orzeźwiający powiew.
wanst_encounter_sleeper_1_1,... I better not wake up this fella here...,... lepiej nie budzić tego tutaj delikwenta...
wanst_encounter_sleeper_2_1,... I BETTER NOT MAKE ANY LOUD SOUNDS... #2.30 ...CLOSE TO THIS SLEEPING MONSTER!,...LEPIEJ NIE ROBIĆ ŻADNYCH GŁOŚNYCH DŹWIĘKÓW... #2.30 ...W POBLIŻU TEGO ŚPIĄCEGO POTWORA!
wanst_encounter_sleeper_3_1,This guy looks like he has a onesie for skin.,"Ten gość wygląda, jakby miał piżamkę zamiast skóry."
wanst_encounter_sleeper_4_1,A slumbering person. #2.00 How cute.,Śpiąca osoba. #2.00 Ale słodkie.
wanst_encounter_sleeper_5_1,Wish I could sleep on my job...,Chciałbym móc spać w pracy...
wanst_sleeper_certaindeath_1_1,Free hugs!,Darmowe przytulasy!
wanst_sleeper_almostkilled_1_1,"No touching, please.",Proszę nie dotykać.
wanst_sleeper_almostkilled_2_1,"Wow, this guy's breath smells of danger. #2.50 And garlic...","Ojej, oddech tego gościa pachnie niebezpieczeństwem. #2.50 I czosnkiem..."
wanst_sleeper_almostkilled_3_1,"Dude, no touching!","Ziomek, bez dotykania!"
wanst_sleeper_almostkilled_4_1,"You don't just hug strangers, sheesh.","Nie przytula się tak sobie obcych ludzi, no wiesz."
wanst_sleeper_almostkilled_5_1,"Wash your hands, pal.","Umyj ręce, koleś."
wanst_sleeper_almostkilled_6_1,"You're a free-hug-guy, huh?","Jesteś typem od darmowych przytulasów, co?"
wanst_sleeper_beat_1_1,Now you can sleep again. #1.50 For a long time...,Teraz znowu możesz spać. #1.50 Bardzo długo...
wanst_sleeper_beat_2_1,"You look way better as a corpse, man.","Wyglądasz dużo lepiej jako trup, stary."
wanst_sleeper_beat_3_1,Is that stool part of its body?,Czy ten stołek jest częścią jego ciała?
wanst_sleeper_beat_4_1,Sweet dreams!,Słodkich snów!
wanst_sleeper_beat_5_1,"Sorry, but you left me no choice.","Przykro mi, ale nie zostawiłeś mi wyboru."
wanst_encounter_metalspikes_1_1,Those spikes better not get any closer to my private parts.,Te kolce niech lepiej nie zbliżają się bardziej do moich intymnych okolic.
wanst_encounter_metalspikes_2_1,Those spikes look mostly harmless once they're not moving.,"Te kolce wyglądają dość niegroźnie, kiedy się nie ruszają."
wanst_encounter_metalspikes_3_1,I never really liked spikes.,Nigdy tak naprawdę nie lubiłem kolców.
wanst_encounter_metalspikes_4_1,These needles are a threat!,Te igły stanowią zagrożenie!
wanst_encounter_metalspikes_5_1,These spikes are restless!,Te kolce nie mają chwili spokoju!
wanst_metalspikes_beat_1_1,I feel a tickling sensation on my feet.,Czuję łaskotanie w stopach.
wanst_metalspikes_beat_2_1,This tower holds no challenge for me.,Ta wieża nie stanowi dla mnie żadnego wyzwania.
wanst_metalspikes_beat_3_1,Am I really this good or is the tower just too easy?,"Czy jestem naprawdę aż tak dobry, czy ta wieża jest po prostu za łatwa?"
wanst_metalspikes_beat_4_1,No trap can stop me!,Żadna pułapka mnie nie powstrzyma!
wanst_metalspikes_beat_5_1,I almost got a piercing!,Prawie zrobiłem sobie piercing!
wanst_metalspikes_beat_6_1,I sense a spike in danger around here...,"Czuję nagły, kolczasty wzrost niebezpieczeństwa tutaj..."
wanst_metalspikes_beat_7_1,I almost got a foot massage there.,Omal nie dostałem tam masażu stóp.
wanst_encounter_broomcloset_1_1,Brooms! #1.00 Just what I needed.,Miotły! #1.00 Właśnie tego potrzebowałem.
wanst_encounter_broomcloset_2_1,I can't remember the last time I was excited about brooms.,"Nie pamiętam, kiedy ostatnio miotły tak mnie ekscytowały."
wanst_encounter_broomcloset_3_1,It was worth a try.,Warto było spróbować.
wanst_encounter_broomcloset_4_1,Ermm... #1.00 Okay...,Eee... #1.00 Dobra...
wanst_encounter_broomcloset_5_1,"On the bright side, #1.10 brooms do make good long ranged weapons.","Patrząc na jasną stronę, #1.10 miotły są całkiem niezłą bronią dystansową."
wanst_encounter_broomcloset_6_1,So they DO have a janitor in here.,Czyli JEDNAK mają tu sprzątacza.
wanst_encounter_broomcloset_7_1,What a fraud!,Co za oszustwo!
wanst_encounter_broomcloset_8_1,Why must the God of Treasure cast his die so?,Czemu Bóg Skarbów musi tak rzucać swoją kostką?
