key,en,pl
wanst_sobu_correctdoor_start_1_1,"Hey old chap, can you lead the way?","Hej, stary druhu, poprowadzisz nas?"
wanst_sobu_correctdoor_start_2_1,"Let's hear it, wise one: Which one's the right door?","Wyduś to z siebie, mędrcze: które to właściwe drzwi?"
wanst_sobu_correctdoor_start_3_1,"Can you tell where we need to go, gramps?","Wiesz, dokąd musimy iść, dziadku?"
wanst_sobu_correctdoor_start_4_1,"Old man, it's time to use your wisdom: Which way do we go?","Staruszku, czas użyć swojej mądrości: którędy idziemy?"
wanst_sobu_correctdoor_start_5_1,"We need to hurry: Let us know where to go, pal!","Musimy się spieszyć: powiedz nam, dokąd iść, kolego!"
wanst_sobu_correctdoor_sceptical_bummed_4_1,"Sorry, I'm low on booze and inspiration.","Przykro mi, brakuje mi trunku i natchnienia."
wanst_sobu_correctdoor_sceptical_bummed_5_1,The absence of coins and booze has darkened my prophetic vision.,Brak monet i trunku zaciemnił moją proroczą wizję.
wanst_sobu_correctdoor_sceptical_bummed_6_1,I can't really feel the deal here. Maybe some coins will change that.,Coś mi tu nie gra. Może kilka monet by to zmieniło.
wanst_hubert_enterdoor_start_reply_1_1,"Trust me, pal!","Zaufaj mi, kolego!"
wanst_hubert_enterdoor_start_reply_2_1,It's just a door!,To tylko drzwi!
wanst_sobu_correctdoor_success_perfect_1_1,My senses are tingling.,Moje zmysły mrowieją.
wanst_sobu_correctdoor_success_perfect_2_1,I know just the door for us!,Znam właśnie te drzwi dla nas!
wanst_sobu_correctdoor_success_perfect_3_1,"Navigation escalation, here we go!","Eskalacja nawigacji, jedziemy!"
wanst_sobu_correctdoor_success_perfect_4_1,"If you're feeling bored, it's time to get doored!","Jeśli się nudzisz, czas na drzwi ruszyć!"
wanst_sobu_correctdoor_success_great_1_1,Okay!,Okej!
wanst_sobu_correctdoor_success_great_2_1,"Correct door, coming right up!","Właściwe drzwi, już podaję!"
wanst_sobu_correctdoor_success_great_3_1,Sure!,Jasne!
wanst_sobu_correctdoor_success_great_4_1,"Alright, follow me.","Dobra, chodź za mną."
wanst_sobu_correctdoor_success_good_1_1,"Hmm, let's see.","Hmm, zobaczmy."
wanst_sobu_correctdoor_success_good_2_1,"Mmm, let me think.","Mmm, niech pomyślę."
wanst_sobu_correctdoor_success_good_3_1,I'll see what I can do.,"Zobaczę, co mogę zrobić."
wanst_sobu_correctdoor_success_good_4_1,Mmmmmm...,Mmmmmm...
wanst_sobu_correctdoor_success_medium_1_1,Uhm.,Yy.
wanst_sobu_correctdoor_success_medium_2_1,"Follow me, young fop.","Chodź za mną, młokosie."
wanst_sobu_correctdoor_success_medium_3_1,If it has to be...,Jeśli musi tak być...
wanst_sobu_correctdoor_sceptical_bummed_1_1,"My insights are locked away, awaiting the jingle of coins to set them free.","Moje spostrzeżenia są zamknięte, czekając na brzęk monet, by je uwolnić."
wanst_sobu_correctdoor_sceptical_bummed_2_1,I seem to have forgotten the ancient texts. Maybe some gold will awaken my memory.,"Zdaje się, że zapomniałem starożytne teksty. Może trochę złota obudzi moją pamięć."
wanst_sobu_correctdoor_sceptical_bummed_3_1,"My mind has become empty, like my pouch.","Mój umysł opustoszał, tak jak moja sakiewka."
wanst_sobu_correctdoor_sceptical_bummed_4_1,"Sorry, I'm low on booze and inspiration.","Przykro mi, brakuje mi trunku i natchnienia."
wanst_sobu_correctdoor_sceptical_bummed_5_1,The absence of coins and booze has darkened my prophetic vision.,Brak monet i trunku zaciemnił moją proroczą wizję.
wanst_sobu_correctdoor_sceptical_bummed_6_1,I can't really feel the deal here. Maybe some coins will change that.,Coś mi tu nie gra. Może kilka monet by to zmieniło.
wanst_sobu_correctdoor_sceptical_bummed_7_1,"Stop it, please.","Przestań, proszę."
wanst_sobu_correctdoor_sceptical_angry_1_1,Why don't you go look for yourself?,Czemu sam nie poszukasz?
wanst_sobu_correctdoor_sceptical_angry_2_1,"You are testing my nerves, son.","Wystawiasz moje nerwy na próbę, synu."
wanst_sobu_correctdoor_sceptical_angry_3_1,I'm not feeling it at the moment. Just like the coins I don't feel in my pockets.,"Nie mam teraz na to nastroju. Tak jak monet, których nie czuję w kieszeniach."
wanst_sobu_correctdoor_sceptical_angry_4_1,I'm too low in spirits.,Jestem zbyt przybity na duchu.
wanst_sobu_correctdoor_sceptical_angry_5_1,I'm too tired and thirsty.,Jestem zbyt zmęczony i spragniony.
wanst_sobu_correctdoor_shrug_1_1,"Ok, I get it.","Ok, rozumiem."
wanst_sobu_correctdoor_shrug_2_1,"Ok, Wisenheimer.","Ok, mądralo."
wanst_sobu_correctdoor_shrug_3_1,"I see, you need some extra motivation.","Rozumiem, potrzebujesz dodatkowej motywacji."
wanst_sobu_correctdoor_persuade_1_1,Please! We need to get out of here!,Proszę! Musimy się stąd wydostać!
wanst_sobu_correctdoor_persuade_2_1,Come on! I'm nothing without you!,No dawaj! Jestem niczym bez ciebie!
wanst_sobu_correctdoor_persuade_3_1,"If you don't tell, we're going to hell!","Jeśli nie powiesz, pójdziemy do piekła!"
wanst_sobu_correctdoor_persuade_4_1,What are you carrying that enormous head around for?,"Po co nosisz tę ogromną głowę, jak nie po to?"
wanst_sobu_correctdoor_order_1_1,Correct door! Now!,Właściwe drzwi! Już!
wanst_sobu_correctdoor_order_2_1,Tell meeeeee!!!,Powiedz miiiii!!!
wanst_sobu_correctdoor_order_3_1,"Why not, man. Why nottt!???","Czemu nie, stary. Czemu nieee!???"
wanst_sobu_correctdoor_order_4_1,I need to know!!!!,Muszę wiedzieć!!!!
wanst_sobu_correctdoor_order_5_1,We need to leave! Don't you understand!?,Musimy stąd wyjść! Nie rozumiesz!?
wanst_sobu_correctdoor_order_6_1,"We're not here for a picnic, dude!!!","Nie jesteśmy tu na pikniku, stary!!!"
wanst_sobu_correctdoor_order_7_1,Are you not listening?,Nie słuchasz mnie?
wanst_sobu_correctdoor_order_8_1,What are you in this team for!?,Po co ty w ogóle jesteś w tej drużynie!?
wanst_sobu_correctdoor_success_bummed_1_1,"Ok, ok I'll do it so we can move on.","Ok, ok, zrobię to, żebyśmy mogli iść dalej."
wanst_sobu_correctdoor_success_bummed_2_1,"Ok, before my mind detoriates further...","Ok, zanim mój umysł jeszcze bardziej podupadnie..."
wanst_sobu_correctdoor_success_bummed_3_1,Who taught you the secret persuasion technique of Angus the Annoying?,Kto nauczył cię tajnej techniki perswazji Angusa Denerwującego?
wanst_sobu_correctdoor_success_bummed_4_1,"Ergh, whatever. If it makes you stop jabbering.","Ugh, jak chcesz. Byle przestać z tym gadaniem."
wanst_sobu_correctdoor_ordersuccess_bummed_1_1,"Ooof, calm down, child!","Uff, uspokój się, dziecko!"
wanst_sobu_correctdoor_ordersuccess_bummed_2_1,Ow. Just to make you stop!,Au. Byle cię uciszyć!
wanst_sobu_correctdoor_ordersuccess_bummed_3_1,"Good thing I'm half-deaf, so your gabbling doesn't impair my hearing!","Dobrze, że jestem na wpół głuchy, więc twoje bełkotanie nie szkodzi mojemu słuchowi!"
wanst_sobu_correctdoor_ordersuccess_bummed_4_1,"Take a breath, young one. You're rattling my eardrums!","Weź oddech, młodzieńcze. Rozsadzasz mi bębenki!"
wanst_sobu_correctdoor_success_angry_1_1,"Oooof. One last time, then...",Uuuff. Ten jeden ostatni raz więc...
wanst_sobu_correctdoor_success_angry_2_1,"Ok, but never ask me again!","Ok, ale nigdy więcej mnie nie pytaj!"
wanst_sobu_correctdoor_success_angry_3_1,"You'll never give in, will you?","Nigdy się nie poddasz, co?"
wanst_sobu_correctdoor_success_angry_4_1,"Man, you are stubborn!","Stary, ale jesteś uparty!"
wanst_sobu_correctdoor_ordersuccess_angry_1_1,"Aaaah, my ears!","Aaaach, moje uszy!"
wanst_sobu_correctdoor_ordersuccess_angry_2_1,Enough! Okay! Let's go this way!,Dość! Okej! Idziemy tędy!
wanst_sobu_correctdoor_ordersuccess_angry_3_1,Ouch! Just to protect my sanity! One last time!,Au! Byle ocalić mój rozsądek! Ten ostatni raz!
