key,en,pl
wanst_excito_address_perfect_1_1,Another adventurer?,Kolejny poszukiwacz przygód?
wanst_excito_address_perfect_1_2,"You bet, let's go along together!","A jakże, chodźmy razem!"
wanst_excito_address_perfect_2_1,"Hello there, random person!","Witaj, przypadkowa osobo!"
wanst_excito_address_perfect_2_2,"Finally, someone else! #1.50Let's team up!","Nareszcie, ktoś inny! #1.50Połączmy siły!"
wanst_excito_address_perfect_3_1,"Hey, let's team up!","Hej, połączmy siły!"
wanst_excito_address_perfect_3_2,Hooray!,Hurra!
wanst_excito_address_medium_1_2,I am kind of lost here.,Jestem tu trochę zagubiony.
wanst_excito_address_medium_2_2,Do you have a plan?,Masz jakiś plan?
wanst_excito_address_medium_3_2,I really don't know what to do.,"Naprawdę nie wiem, co robić."
wanst_excito_address_bummed_1_2,I am just a broken man.,Jestem po prostu złamanym człowiekiem.
wanst_excito_address_bummed_2_2,I lost all my hope.,Straciłem całą nadzieję.
wanst_excito_address_bummed_3_2,I think I want to be left alone.,Chyba chcę zostać sam.
wanst_excito_address_angry_1_2,And what are you? #1.10 A bumbling idiot?,A ty co? #1.10 Jakiś oszołom?
wanst_excito_address_angry_2_2,"Well, hello Sillypants! #2.00 What do you want?","No cóż, witaj, Głuptasie! #2.00 Czego chcesz?"
wanst_excito_address_angry_3_2,Why would I want to talk to you?,Czemu miałbym w ogóle z tobą gadać?
wanst_excito_acceptjoin_perfect_1_1,Follow me on my journey!,Podąż za mną w mojej podróży!
wanst_excito_acceptjoin_perfect_1_2,Exciting!,Ekscytujące!
wanst_excito_acceptjoin_perfect_2_1,Be my shadow and follow my lead!,Bądź moim cieniem i podążaj za mną!
wanst_excito_acceptjoin_perfect_2_2,I'm down for adventure!,Jestem gotowy na przygodę!
wanst_excito_acceptjoin_perfect_3_1,Be my shadow and follow my lead!,Bądź moim cieniem i podążaj za mną!
wanst_excito_acceptjoin_perfect_3_2,Let's get going!,Ruszajmy!
wanst_excito_acceptjoin_perfect_4_1,"Alright, let's go!","No dobra, ruszamy!"
wanst_excito_acceptjoin_perfect_4_2,"Okay, let's beat it!","Okej, spadajmy stąd!"
wanst_excito_acceptjoin_medium_1_2,Ok... #1.10 I am a bit scared though.,Okej... #1.10 Chociaż trochę się boję.
wanst_excito_acceptjoin_medium_2_2,Following you?#1.00 #1.50 I'm not sure. #2.40 But let's give it a try.,Iść za tobą?#1.00 #1.50 Nie jestem pewien. #2.40 Ale spróbujmy.
wanst_excito_acceptjoin_medium_3_2,I guess it's better than being alone around here.,Chyba lepsze to niż siedzieć tu samemu.
wanst_excito_acceptjoin_medium_4_2,You promise to be nice?,"Obiecujesz, że będziesz miły?"
wanst_excito_acceptjoin_bummed_1_2,Do I have to? #1.30 Welp.,Muszę? #1.30 No trudno.
wanst_excito_acceptjoin_bummed_2_2,My will is broken anyways.,I tak moja wola jest już złamana.
wanst_excito_acceptjoin_bummed_3_2,I guess I have no choice.,Chyba nie mam wyboru.
wanst_excito_acceptjoin_bummed_4_2,I am a shadow of my former self.,Jestem cieniem samego siebie.
wanst_excito_acceptjoin_angry_1_2,"Ok, it will be fun to see you fail!","Okej, przynajmniej ubawię się, patrząc jak ci nie wychodzi!"
wanst_excito_acceptjoin_angry_2_2,Sure!,Jasne!
wanst_excito_acceptjoin_angry_3_2,I hope that means you go first!,"Mam nadzieję, że to znaczy, że ty idziesz pierwszy!"
wanst_excito_acceptjoin_angry_4_2,Okay big boy!,"Okej, wielkoludzie!"
wanst_excito_addresscaptive_1_1,"Hey, is this the right way out of here?","Hej, czy to jest właściwa droga stąd?"
wanst_excito_addresscaptive_1_2,This side looks like a dead end to me. #1.80 But hit that lever and see for yourself...,Ta strona wygląda na ślepy zaułek. #1.80 Ale pociągnij za tę dźwignię i sam zobacz...
wanst_excito_addresscaptive_2_1,"Uhm, if the lever is out here, how'd you lock yourself up?","Yyy, skoro dźwignia jest tutaj, to jak niby sam się zamknąłeś?"
wanst_excito_addresscaptive_2_2,I'd rather not speak about that. #1.90 But speaking of that lever...,Wolałbym o tym nie mówić. #1.90 Ale skoro mowa o tej dźwigni...
wanst_excito_addresscaptive_3_1,"Locked up, eh?","Zamknięty, co?"
wanst_excito_addresscaptive_3_2,"You're really good with people, I see.","Widzę, że naprawdę umiesz z ludźmi."
wanst_excito_addresscaptive_4_1,Hey. #0.70 Ready to get out of there?,"Hej. #0.70 Gotowy, żeby stąd wyjść?"
wanst_excito_addresscaptive_4_2,Yesss! Can't wait. #2.00Cheers.,Tak jest! Nie mogę się doczekać. #2.00Dzięki.
wanst_excito_addresscaptive_4_3,I'll see what I can do.,"Zobaczę, co da się zrobić."
wanst_excito_addpartycaptive_1_1,Follow me on my journey!,Podąż za mną w mojej podróży!
wanst_excito_addpartycaptive_1_2,I... would...,Ja... bym chętnie...
wanst_excito_addpartycaptive_2_1,Follow me on my quest!,Podąż za mną w mojej wyprawie!
wanst_excito_addpartycaptive_2_2,Only one thing left to do then. #1.90 Rriiight?,Więc zostało zrobić tylko jedno. #1.90 Prawdaaa?
wanst_excito_follow_random_1_1,"Come on, let's go this way.","No chodź, idziemy tędy."
wanst_excito_follow_random_2_1,"Follow me, pal!","Chodź za mną, koleżko!"
wanst_excito_follow_random_3_1,Join me.,Dołącz do mnie.
wanst_excito_follow_random_4_1,"This way, friendo!","Tędy, przyjacielu!"
wanst_excito_follow_random_5_1,"This way, friendo!","Tędy, przyjacielu!"
wanst_excito_follow_random_6_1,"Ok, follow me!","Dobra, chodź za mną!"
wanst_excito_follow_random_7_1,"Ok, follow me!","Dobra, chodź za mną!"
wanst_excito_follow_random_8_1,Come with me!,Chodź ze mną!
wanst_excito_follow_random_9_1,"Alright, let's go.","No dobra, idziemy."
wanst_excito_follow_random_10_1,"Hey, come with me, pal!","Hej, chodź ze mną, koleżko!"
wanst_excito_follow_random_11_1,Come follow!,Chodź za mną!
wanst_excito_follow_random_12_1,"Come along, pal.","Chodź ze mną, koleżko."
wanst_excito_follow_random_13_1,"Come with me, pal!","Chodź ze mną, koleżko!"
wanst_excito_follow_random_14_1,Follow me!,Chodź za mną!
wanst_excito_follow_random_15_1,Follow me!,Chodź za mną!
wanst_excito_follow_random_16_1,Chop chop. Let's go.,"Szybko, szybko. Idziemy."
wanst_excito_follow_random_17_1,Come on!,No chodź!
wanst_excito_follow_random_18_1,"Let's go, pal!","Idziemy, koleżko!"
wanst_excito_follow_reply_perfect_1_1,"Okay, let's do this! Yeah!","Okej, do dzieła! Tak jest!"
wanst_excito_follow_reply_perfect_2_1,"Okay, let's go!","Okej, ruszamy!"
wanst_excito_follow_reply_perfect_3_1,This adventure is nuts!,Ta przygoda jest szalona!
wanst_excito_follow_reply_great_1_1,This. Is. Wild!,To. Jest. Dzikie!
wanst_excito_follow_reply_great_2_1,"I'm right by your side, pal!","Jestem tuż przy tobie, przyjacielu!"
wanst_excito_follow_reply_great_3_1,Huzzah!,Hurra!
wanst_excito_follow_reply_great_4_1,Yee-ha!,Ju-hu!
wanst_excito_follow_reply_great_5_1,Onwards!,Naprzód!
wanst_excito_follow_reply_good_1_1,Chup chup!,Hyc hyc!
wanst_excito_follow_reply_good_2_1,Okay... you seem to have a plan.,"Okej... wygląda na to, że masz plan."
wanst_excito_follow_reply_good_3_1,I am hoping for excitement!,Liczę na trochę emocji!
wanst_excito_follow_reply_good_4_1,Coming...,Już idę...
wanst_excito_follow_reply_medium_1_1,"Oookay. #1.20 You know what you're doing, right?","Okeej. #1.20 Wiesz, co robisz, prawda?"
wanst_excito_follow_reply_medium_2_1,"I'm not sure why, but OK.","Sam nie wiem czemu, ale okej."
wanst_excito_follow_reply_medium_3_1,Uhm. #0.80 What's the plan?,Yyy. #0.80 Jaki jest plan?
wanst_excito_follow_reply_bummed_1_1,Alright. It's getting hard for me to stay excited though...,Dobra. Coraz trudniej mi jednak zachować entuzjazm...
wanst_excito_follow_reply_bummed_2_1,Whatever works for you...,Jak tam sobie chcesz...
wanst_excito_follow_reply_bummed_3_1,I hope for the last time!,"Mam nadzieję, że po raz ostatni!"
wanst_excito_follow_reply_angry_1_1,You're a freak!,Jesteś stukniętym dziwakiem!
wanst_excito_follow_reply_angry_2_1,Really? What for!?,Serio? Po co!?
wanst_excito_follow_reply_angry_3_1,I only follow to see you fail!,"Idę tylko po to, żeby patrzeć, jak ponosisz porażkę!"
wanst_excito_stay_random_1_1,Could you stay here for a sec?,Możesz tu chwilkę zostać?
wanst_excito_stay_random_2_1,Stay right there.,Zostań tam.
wanst_excito_stay_random_3_1,Stay here!,Zostań tu!
wanst_excito_stay_random_4_1,Stop right there.,Stój w miejscu.
wanst_excito_stay_random_5_1,Can you stay here for a bit?,Możesz tu chwilę zostać?
wanst_excito_stay_random_6_1,Stay right here!,Zostań dokładnie tutaj!
wanst_excito_stay_random_7_1,Please keep this position.,"Proszę, zachowaj tę pozycję."
wanst_excito_stay_random_8_1,Stay here.,Zostań tutaj.
wanst_excito_stay_random_9_1,"Don't move, pal.","Ani drgnij, koleżko."
wanst_excito_stay_random_10_1,Hold it!,Stój!
wanst_excito_stay_random_11_1,"Okay, hold this position for a bit, willya?","Dobra, potrzymaj tę pozycję chwilę, dobra?"
wanst_excito_stay_random_12_1,Keep this position.,Zachowaj tę pozycję.
wanst_excito_stay_random_13_1,"Ok, hold it here.","Dobra, przytrzymaj tu."
wanst_excito_stay_random_14_1,"Okay, hold on.","Dobra, poczekaj."
wanst_excito_stay_random_15_1,"Ok, hold it.","Dobra, przytrzymaj."
wanst_excito_stay_random_16_1,"Stay right there, dude!","Zostań tam, ziomek!"
wanst_excito_stay_reply_perfect_1_1,Stayin' and slayin'! #1.50 Here we go.,Zostaję tu i wymiatam! #1.50 No to zaczynamy.
wanst_excito_stay_reply_perfect_2_1,THIS is my favourite spot!,TO jest moje ulubione miejsce!
wanst_excito_stay_reply_perfect_3_1,It's beautiful!,Jest przepiękne!
wanst_excito_stay_reply_great_1_1,Absolutely! #1.10 You know where to find me.,"Absolutnie! #1.10 Wiesz, gdzie mnie szukać."
wanst_excito_stay_reply_great_2_1,Hey-hey! This is my spot!,Hej-hej! To jest moja miejscówka!
