key,en,pl
hubert_idle_generic_1_1,Are we out soon? #1.40 I have to get back to my family.,Wyjdziemy już niedługo? #1.40 Muszę wrócić do rodziny.
hubert_idle_generic_2_1,I wonder how my family is doing... #2.00 They... need me.,"Zastanawiam się, jak radzi sobie moja rodzina... #2.00 Oni... mnie potrzebują."
hubert_idle_generic_3_1,"I've been in here before, you know.","Byłem tu już wcześniej, wiesz."
hubert_idle_generic_4_1,"This job'll be the death of me, but... #2.40 My family really needs the gold.","Ta robota mnie kiedyś wykończy, ale... #2.40 moja rodzina naprawdę potrzebuje złota."
hubert_idle_generic_5_1,Why are we not moving on?,Czemu nie idziemy dalej?
hubert_idle_generic_6_1,This tower feels like it's still under construction,"Ta wieża sprawia wrażenie, jakby wciąż była w budowie"
hubert_idle_generic_7_1,This tower is fearsome!,Ta wieża jest przerażająca!
hubert_idle_generic_8_1,Do we have some kind of plan?,Mamy jakiś plan?
hubert_encounter_goldcoin_1_1,"Uuuh, I spot some gold!","Uuu, widzę złoto!"
hubert_encounter_goldcoin_2_1,"Let's collect these coins, shall we?","Zbierzmy te monety, dobra?"
hubert_encounter_goldcoin_3_1,I could really use a coin or two...,Przydałaby mi się jedna czy dwie monety...
hubert_encounter_potion_1_1,Be careful with these drinks.,Uważaj z tymi trunkami.
hubert_encounter_potion_2_1,That juice looks yucky.,Ten sok wygląda obrzydliwie.
hubert_encounter_potion_3_1,Drinks in funny bottles. #2.30 Odd.,Trunki w zabawnych buteleczkach. #2.30 Dziwne.
hubert_encounter_eye_1_1,"All eyes on you, pal!","Wszystkie oczy na tobie, kolego!"
hubert_encounter_eye_2_1,Ever tasted eyes?,Próbowałeś kiedyś oczu?
hubert_encounter_eye_3_1,Spare eyes. #1.50 How weird is that...,Zapasowe oczy. #1.50 Ale to dziwne...
hubert_encounter_sword_1_1,I prefer my club over these blades. #3.00 But maybe they'll come in handy for you.,Wolę swoją maczugę od tych ostrzy. #3.00 Ale tobie mogą się przydać.
hubert_encounter_sword_2_1,You're the swordsman. #1.50 I enjoy clubbing.,Ty jesteś fechmistrzem. #1.50 Ja lubię maczugować.
hubert_encounter_sword_3_1,That sword might help us get further faster.,Ten miecz może pomóc nam iść dalej szybciej.
hubert_encounter_leek_1_1,Veggies seem to be an important part of the tower.,Warzywa wydają się być ważną częścią tej wieży.
hubert_encounter_leek_2_1,At least we won't die of vitamin deficiency.,Przynajmniej nie umrzemy z niedoboru witamin.
hubert_encounter_leek_3_1,"Did you know tortoise are descendants of leek? #3.00 The color gives it away, you know...","Wiedziałeś, że żółwie pochodzą od pora? #3.00 Kolor to zdradza, wiesz..."
hubert_encounter_mushroom_1_1,"Mushrooms really grow anywhere, #1.60 don't they?","Grzyby naprawdę rosną wszędzie, #1.60 prawda?"
hubert_encounter_mushroom_2_1,Mushrooms are opposite tortoises.,Grzyby to przeciwieństwo żółwi.
hubert_encounter_mushroom_3_1,Are we trying to escape... #1.10 Or are we collecting ingredients for a soup?,Próbujemy uciec... #1.10 czy zbieramy składniki na zupę?
hubert_encounter_gianthammer_1_1,There must be a huge nail here somewhere.,Gdzieś tu musi być ogromny gwóźdź.
hubert_encounter_gianthammer_2_1,I'm afraid of hammers.,Boję się młotów.
hubert_encounter_gianthammer_3_1,That seems too heavy for me. #2.00 But for you...?,To wydaje się zbyt ciężkie dla mnie. #2.00 Ale dla ciebie...?
hubert_encounter_bananapeel_1_1,I heard the most nutrition is in the peel.,"Słyszałem, że najwięcej wartości odżywczych jest w skórce."
hubert_encounter_bananapeel_2_1,Someone really likes bananas. #2.20 Or nasty accidents.,Ktoś naprawdę lubi banany. #2.20 Albo paskudne wypadki.
hubert_encounter_bananapeel_3_1,"Uh oh, peel alert!","O nie, alarm skórkowy!"
hubert_encounter_honkhorn_1_1,The honk horn is such a jolly instrument.,Klakson to taki wesoły instrument.
hubert_encounter_honkhorn_2_1,These things make quite the sound for their size...,Te rzeczy wydają niezły dźwięk jak na swój rozmiar...
hubert_encounter_honkhorn_3_1,I wonder how animals react to that sound...,"Zastanawiam się, jak zwierzęta reagują na ten dźwięk..."
hubert_encounter_mousetrap_1_1,I hope that trap wasn't set for me.,"Mam nadzieję, że ta pułapka nie była zastawiona na mnie."
hubert_encounter_mousetrap_2_1,Any mouse would outsmart that trap.,Każda mysz by przechytrzyła tę pułapkę.
hubert_encounter_mousetrap_3_1,"Watch your toes, buddy.","Uważaj na palce, kolego."
hubert_encounter_rat_1_1,What does the presence of all these rats say about this place?,Co obecność tych wszystkich szczurów mówi o tym miejscu?
hubert_encounter_rat_2_1,Aren't rats just angry mice?,Czy szczury to nie po prostu wściekłe myszy?
hubert_encounter_rat_3_1,"Aww, a rat. #1.80 Cute.","Aww, szczur. #1.80 Uroczy."
hubert_encounter_frog_1_1,I wish I could jump like that frog.,Chciałbym umieć skakać jak ta żaba.
hubert_encounter_frog_2_1,How did that frog end up there?,Jak ta żaba się tam znalazła?
hubert_encounter_frog_3_1,"When i was little, my best friend #1.50 was a frog.","Kiedy byłem mały, moim najlepszym przyjacielem #1.50 była żaba."
hubert_encounter_snail_1_1,Hope that snail isn't our spirit animal.,"Mam nadzieję, że ten ślimak to nie nasze zwierzę totemiczne."
hubert_encounter_snail_2_1,"I feel sympathy for snails. #2.00 Not sure why, though.",Współczuję ślimakom. #2.00 Chociaż nie wiem czemu.
hubert_encounter_snail_3_1,Before you ask: #1.50 We're not related.,Zanim zapytasz: #1.50 nie jesteśmy spokrewnieni.
hubert_encounter_anvil_1_1,What a heavy object.,Ale ciężki przedmiot.
hubert_encounter_anvil_2_1,I won't be able to lift that.,Nie dam rady tego podnieść.
hubert_encounter_anvil_3_1,Lots of anvils around here...,Sporo tu kowadeł...
hubert_encounter_beehive_1_1,Unlike tortoise shells... #1.80 Bee hives fit more than one bee.,W przeciwieństwie do żółwich skorup... #1.80 w ulu mieści się więcej niż jedna pszczoła.
hubert_encounter_beehive_2_1,Five hives for a high five.,Pięć uli na piątkę.
hubert_encounter_beehive_3_1,Bees have an odd taste in archtecture.,Pszczoły mają dziwny gust architektoniczny.
hubert_encounter_metalspikes_1_1,My shell's useless against these spikes.,Moja skorupa jest bezużyteczna przeciwko tym kolcom.
hubert_encounter_metalspikes_2_1,I don't want to end up as a turtle on a stick.,Nie chcę skończyć jako żółw na patyku.
hubert_encounter_metalspikes_3_1,May I point out these spikes look... #2.00 quite dangerous?,"Czy mogę zauważyć, że te kolce wyglądają... #2.00 dość niebezpiecznie?"
hubert_encounter_woodspikes_1_1,There's toothpicks coming out of the floor!,Z podłogi wystają wykałaczki!
hubert_encounter_woodspikes_2_1,These wooden spikes are less dangerous but still nasty.,"Te drewniane kolce są mniej niebezpieczne, ale wciąż paskudne."
hubert_encounter_metalpendulum_1_1,Let's try not to lose our heads over these.,Postarajmy się nie stracić przez nie głów.
hubert_encounter_metalpendulum_2_1,I'd give you my shell to protect your head against these blades. #3.00 But it won't come off. Sorry.,"Oddałbym ci swoją skorupę, żeby ochronić twoją głowę przed tymi ostrzami. #3.00 Ale nie da się jej zdjąć. Wybacz."
hubert_encounter_gunpowderfuse_1_1,Uh-oh. #1.30 That fuse is moving quickly.,O nie. #1.30 Ten lont szybko się pali.
hubert_encounter_gunpowderfuse_2_1,Why would they blow up their own tower?,Czemu mieliby wysadzić własną wieżę?
hubert_encounter_gunpowderfuse_3_1,Explosion incoming!,Nadchodzi wybuch!
hubert_encounter_monsterinwall_1_1,The walls have eyes. #2.00 Yikes!,Ściany mają oczy. #2.00 Ojej!
hubert_encounter_monsterinwall_2_1,This thing in the wall's got quite the mischievous spirit.,To coś w ścianie ma dość psotnego ducha.
hubert_encounter_monsterinwall_3_1,Better not leave anything close to that crack in the wall.,Lepiej nie zostawiać niczego blisko tej szczeliny w ścianie.
hubert_encounter_enemycorpse_1_1,"Sleep well, beast.","Śpij dobrze, bestio."
hubert_encounter_enemycorpse_2_1,Monstrously wasted.,Potwornie zmarnowany.
hubert_encounter_enemycorpse_3_1,That monster looks way less fearsome now.,Ten potwór wygląda teraz dużo mniej przerażająco.
hubert_encounter_traphook_1_1,I'd rather it not be my meat that's hanging from these hooks.,"Wolałbym, żeby to nie moje mięso wisiało na tych hakach."
hubert_encounter_traphook_2_1,These hooks look determined.,Te haki wyglądają na zdeterminowane.
hubert_encounter_traphook_3_1,"Oh, no! #0.90 Hook!",O nie! #0.90 Hak!
hubert_encounter_bee_1_1,These bees make me uneasy.,Te pszczoły mnie niepokoją.
hubert_encounter_bee_2_1,"Buzz off, insect!","Odbzycz się, owadzie!"
hubert_encounter_bee_3_1,Who knew six feet could be so tiny and dangerous...,"Kto by pomyślał, że sześć nóżek może być tak małych i niebezpiecznych..."
hubert_encounter_monster_1_1,These monstrous meanies ain't got nothing on us!,Te potworne złośliwce nic nam nie zrobią!
hubert_encounter_monster_2_1,Monster alert!,Alarm potworowy!
hubert_encounter_monster_3_1,Those nasties are onto us! #2.00 Beware!,Te ohydztwa nas namierzyły! #2.00 Uważaj!
hubert_encounter_monster_4_1,Uh-oh! #0.90 Those folks look like trouble.,O nie! #0.90 Ci goście wyglądają na kłopoty.
hubert_encounter_witch_1_1,These ladies ain't here to have a chat!,Te panie nie przyszły tu na pogawędkę!
hubert_encounter_witch_2_1,These ladies ain't here for tea!,Te panie nie przyszły tu na herbatkę!
hubert_encounter_witch_3_1,These hardcore hoodlums don't tease!,Te twarde chuliganki nie żartują!
hubert_encounter_bigband_1_1,"Well, ain't that a jolly beat.","No proszę, ale wesoły rytm."
hubert_encounter_bigband_2_1,I used to listen to that jam when I was young.,"Słuchałem tego kawałka, jak byłem młody."
hubert_encounter_bigband_3_1,"Uh, they sure got rhythm.","Yy, na pewno mają poczucie rytmu."
hubert_encounter_bigband_4_1,What's the name of that song?,Jak się nazywa ta piosenka?
hubert_encounter_automat_1_1,"Let's not spend it all at once, ok?","Nie wydajmy tego wszystkiego naraz, ok?"
hubert_encounter_automat_2_1,Remember to save some for later. #2.00 For... me.,"Pamiętaj, żeby zostawić coś na później. #2.00 Dla... mnie."
hubert_encounter_automat_3_1,Think hard about whether you really need to spend money on that...,"Zastanów się dobrze, czy naprawdę musisz wydawać na to pieniądze..."
row134,//1,//1
wanst_hubert_address_medium_1_1,Well look at this little guy!,"No proszę, a to co za mały gagatek!"
wanst_hubert_address_medium_1_2_a,I'm lost! #1.00 D-d-do you know the way?,"Zgubiłem się! #1.00 W-w-wiesz, którędy?"
wanst_hubert_address_medium_1_2_b,C-can I join you?,M-mogę się przyłączyć?
row138,//2,//2
wanst_hubert_address_medium_2_1,Hey fellow adventurer!,"Hej, drogi poszukiwaczu przygód!"
wanst_hubert_address_medium_2_2_a,"You're not a baddie, are you?","Nie jesteś złoczyńcą, prawda?"
wanst_hubert_address_medium_2_2_b,"Y-You're a good guy, right? #2.00 You're smiling and everything...","J-jesteś dobrym facetem, prawda? #2.00 Uśmiechasz się i w ogóle..."
row142,//3,//3
wanst_hubert_acceptjoin_medium_1_1,Follow me on my journey!,Podążaj za mną w mej podróży!
wanst_hubert_acceptjoin_medium_1_2,"Ok, you seem confident!","Ok, wydajesz się pewny siebie!"
wanst_hubert_acceptjoin_medium_2_1,Be my shadow and follow my lead!,Bądź moim cieniem i podążaj za mną!
wanst_hubert_acceptjoin_medium_2_2,"Ok, I-I trust you!","Ok, u-ufam ci!"
