key,en,pl
excito_idlecaptive_1_1,"Hey, you! #0.80 #1.20Hey!","Hej, ty! #0.80 #1.20Hej!"
excito_idlecaptive_2_1,Help! Help! #1.20I'm starving here!,Pomocy! Pomocy! #1.20Umieram tu z głodu!
excito_idlecaptive_3_1,"Ah, finally! #1.60 Hey!","Ach, nareszcie! #1.60 Hej!"
excito_liberated_1_1,Cheers mate!,"Dzięki, stary!"
excito_liberated_2_1,"Thank you so much, buff buddy.","Dziękuję ci ogromnie, mięśniaku."
excito_liberated_3_1,Huzzah! It's never too late to escape.,Hurra! Na ucieczkę nigdy nie jest za późno.
excito_liberated_4_1,Let's kick some butts!,Skopmy komuś tyłek!
excito_liberated_5_1,Here we go!,No to jedziemy!
excito_liberated_6_1,Son of a schnitzel!,O w sznycla!
excito_liberated_7_1,"Guess who's back, baby!","Zgadnij, kto wrócił, kochanie!"
excito_liberated_8_1,I'm back on the streets!,Znowu jestem na ulicy!
excito_liberated_9_1,Let's give 'em a good ol' whooping!,Sprawmy im niezłe lanie!
excito_newfloor_perfect_1_1,Eyyyy! #0.90 This adventure is going... #2.20 ...we-hell!,Ejże! #0.90 Ta przygoda idzie... #2.20 ...piekielnie dobrze!
excito_newfloor_perfect_2_1,Okay. Check. #1.40 What's next? #2.40 Try us!,"Okej. Zaliczone. #1.40 Co dalej? #2.40 Śmiało, spróbujcie z nami!"
excito_newfloor_great_1_1,Okay! One more down! #1.70 In a good way!,Okej! Kolejny z głowy! #1.70 W dobrym sensie!
excito_newfloor_great_2_1,Niiiice. #1.30 We're getting somewhere.#2.50 I can already smell the ground floor.,Niiice. #1.30 Robimy postępy.#2.50 Już czuję zapach parteru.
excito_newfloor_great_3_1,I can already feel we're close to... #1.50 ...the next tavern.,"Już czuję, że jesteśmy blisko... #1.50 ...kolejnej karczmy."
excito_newfloor_good_1_1,"Okay, cool. #1.30 But let's not get too comfy in our success.","Okej, spoko. #1.30 Ale nie odpuszczajmy sobie przez ten sukces."
excito_newfloor_good_2_1,"So far, so good!",Jak na razie nieźle!
excito_newfloor_medium_1_1,Are we there yet?,Już prawie jesteśmy?
excito_newfloor_medium_2_1,This is still not the end?,To ciągle nie koniec?
excito_newfloor_bummed_1_1,"Ok, we're moving. #1.40 But this is so tedious.","Okej, idziemy dalej. #1.40 Ale ale to takie żmudne."
excito_newfloor_bummed_2_1,"Ah, man. #0.90 I stopped counting the floors...","Ech, stary. #0.90 Przestałem liczyć piętra..."
excito_takegold_perfect_1_1,Nice! #0.90 I love money!,Ładnie! #0.90 Uwielbiam kasę!
excito_takegold_perfect_2_1,Hot beans! #1.00 Another clank in the bank!,Gorący temat! #1.00 Kolejny brzęk w skarbonce!
