key,en,pl
princesspretty_idlecaptive_1_1,"Hey, you! #0.80 #1.20Hey!","Hej, ty! #0.80 #1.20Hej!"
princesspretty_idlecaptive_2_1,Help! Help! #1.20I'm starving here!,Pomocy! Pomocy! #1.20Umieram tu z głodu!
princesspretty_idlecaptive_3_1,"Ah, finally! #1.60 Hey!","Ach, nareszcie! #1.60 Hej!"
princesspretty_poison_perfect_1_1,"I'm poisoned. #1.00 But it's no problem, really!","Jestem zatruty. #1.00 Ale to żaden problem, serio!"
princesspretty_poison_great_1_1,A little poison is good for the immune system.,Odrobina trucizny dobrze robi na odporność.
princesspretty_poison_good_1_1,"Oh, whoops. #1.30 Can't say I like being poisoned.","Oj, ups. #1.30 Nie powiem, żebym lubił być zatruty."
princesspretty_poison_medium_1_1,"Whoa, I suddenly feel very sick. #2.70Ugh.","Ojej, nagle czuję się bardzo źle. #2.70Ugh."
princesspretty_poison_bummed_1_1,"Help, I've been poisoned!","Pomocy, zostałem zatruty!"
princesspretty_poison_angry_1_1,POISON?! #1.00AARGH!,TRUCIZNA?! #1.00AARGH!
princesspretty_weird_perfect_1_1,That's such a creative idea!,To taki kreatywny pomysł!
princesspretty_weird_great_1_1,A new look? #1.00 Why not!,Nowy wygląd? #1.00 Czemu nie!
princesspretty_weird_good_1_1,I didn't really ask for this.,Właściwie o to nie prosiłem.
princesspretty_weird_medium_1_1,Uhm. What is this for? #2.00 #2.40 You wanna tell me something?,Yy. Do czego to jest? #2.00 #2.40 Chcesz mi coś powiedzieć?
princesspretty_weird_bummed_1_1,"Great, I look weird. #1.60 Bravo!","Świetnie, wyglądam dziwnie. #1.60 Brawo!"
princesspretty_weird_angry_1_1,Don't we have better things to do?!,Nie mamy czegoś lepszego do roboty?!
princesspretty_anti_perfect_1_1,"Well, look at this! #1.10 I feel alright!",No proszę! #1.10 Czuję się dobrze!
princesspretty_anti_perfect_2_1,Thanks! #0.70 I feel smooth!,Dzięki! #0.70 Czuję się gładko!
princesspretty_anti_great_1_1,Eyyyy. I feel healthier than ever!,Ejże. Czuję się zdrowszy niż kiedykolwiek!
princesspretty_anti_good_1_1,Thanks for the medicine!,Dzięki za lekarstwo!
princesspretty_anti_medium_1_1,"Thanks, I appreciate it.","Dzięki, doceniam to."
princesspretty_anti_bummed_1_1,I think I'm supposed to feel better now.,Chyba teraz powinienem się lepiej czuć.
princesspretty_anti_angry_1_1,"Mmm, it's nothing special.","Mmm, nic szczególnego."
princesspretty_speed_1_1,"Fast I go, say no to slow!","Pędzę, pędzę, nie zwalniam nigdy!"
princesspretty_strong_1_1,I feel I can move mountains and punch bears into heaven. Come at me!,"Czuję, że mogę przesuwać góry i wysyłać niedźwiedzie w kosmos jednym ciosem. Dawaj!"
