key,en,pl
excito_door_cleared_perfect_1_1,"Job done.#0.90 But no reward in that chamber, my good sir. #3.50 Sorry!","Zadanie wykonane.#0.90 Ale w tej komnacie nie było żadnej nagrody, mój dobry panie. #3.50 Wybacz!"
excito_door_cleared_perfect_2_1,"Okay, I'm done here! #1.30 #1.50 No loot though, sorry.","Okej, skończyłem tutaj! #1.30 #1.50 Łupów jednak brak, sorki."
excito_door_cleared_great_1_1,Room cleared. #1.00 But nothing useful in there.,Pokój oczyszczony. #1.00 Ale nic tam pożytecznego nie było.
excito_door_cleared_great_2_1,"That was exciting... #1.30 ...and all for nothing, really.","To było ekscytujące... #1.30 ...i to wszystko na darmo, serio."
excito_door_cleared_good_1_1,This room won't get us anywhere or anything.,Ten pokój nas donikąd nie zaprowadzi ani niczego nie da.
excito_door_cleared_good_2_1,What a lame room.,Co za żałosny pokój.
excito_door_cleared_medium_1_1,That was pointless...,To było bez sensu...
excito_door_cleared_medium_2_1,"Phew, that was random and unneccessary.","Uff, to było przypadkowe i niepotrzebne."
excito_door_cleared_bummed_1_1,"All work, no pay...","Cała robota, żadnej zapłaty..."
excito_door_cleared_bummed_2_1,"All cleared, but... yeah. #1.50 Nothing more...","Wszystko oczyszczone, ale... no tak. #1.50 Nic więcej..."
excito_door_cleared_angry_1_1,Ugh. #0.70 Happy now?,Uch. #0.70 Zadowolony teraz?
excito_door_cleared_angry_2_1,Now gimme a break.,Teraz daj mi spokój.
excito_door_exit_perfect_1_1,"Alright, this way pal! #1.50 It's the right door.","Dobra, tędy, ziomek! #1.50 To właściwe drzwi."
excito_door_exit_perfect_2_1,"He-heyyy, lucky us! #1.80 This room leads us further down!","He-hejże, ale mamy szczęście! #1.80 Ten pokój prowadzi nas dalej w dół!"
excito_door_exit_great_1_1,"Okay, all done! #1.10 #1.40 This is the way to go.","Okej, gotowe! #1.10 #1.40 Tędy droga."
excito_door_exit_great_2_1,"I don't want to brag, but...#1.30 ...I found the right way!","Nie chcę się chwalić, ale...#1.30 ...znalazłem właściwą drogę!"
excito_door_exit_good_1_1,"If we want to go on, this is the way.","Jeśli chcemy iść dalej, to tędy."
excito_door_exit_good_2_1,This is the correct door. #1.80 You're welcome.,To są właściwe drzwi. #1.80 Nie ma za co.
excito_door_exit_medium_1_1,"Phew, that was something. #1.50 At least it was the right door.","Uff, to było coś. #1.50 Przynajmniej to były właściwe drzwi."
excito_door_exit_medium_2_1,Done. Let's go. #1.40 That's the way.,Gotowe. Idziemy. #1.40 To ta droga.
excito_door_exit_bummed_1_1,Wanna go? #0.80 This is the right door.,Chcesz iść? #0.80 To są właściwe drzwi.
excito_door_exit_bummed_2_1,At least it was worth it.#1.00 #1.40 This one's correct.,Przynajmniej było warto.#1.00 #1.40 Te są dobre.
excito_door_exit_angry_1_1,"Let's continue here, and never talk to each other again.",Idźmy dalej i już nigdy więcej ze sobą nie rozmawiajmy.
excito_door_exit_angry_2_1,Done! #0.60 Let's go already.,Gotowe! #0.60 Idziemy już.
excito_door_loot_perfect_1_1,It's time for treasure pleasure! #2.00 #2.40 Look at thaaat.,Czas na skarbową zabawę! #2.00 #2.40 Popatrz na toooo.
excito_door_loot_perfect_2_1,"Toot toot, here's the cute loot!","Tu-tu, słodki łup nadciąga tu!"
excito_door_loot_perfect_3_1,Eeeey! #0.80 Check this out!,Ejże! #0.80 Zobacz to!
excito_door_loot_great_1_1,"Hey pal, I got us something!","Hej, ziomek, coś dla nas zdobyłem!"
excito_door_loot_great_2_1,Acute loot for the good mood! #2.00 Et voila!,Fantastyczny łup na dobry humor! #2.00 Et voila!
excito_door_loot_good_1_1,Guess it was worth going!,Chyba warto było tam iść!
excito_door_loot_good_2_1,"Ok, here's what I got.","Okej, oto co znalazłem."
excito_door_loot_medium_1_1,Looking for this?,Tego szukasz?
excito_door_loot_medium_2_1,Just gonna drop this junk here...,Po prostu zostawię ten szmelc tutaj...
excito_door_loot_bummed_1_1,Not gonna carry this further than here...,Dalej tego nie poniosę...
excito_door_loot_bummed_2_1,Uhm... #0.80 Here you go...,Yyy... #0.80 Proszę bardzo...
excito_door_loot_angry_1_1,Here! #0.70Take it already!,Masz! #0.70Bierz to już!
excito_door_loot_angry_2_1,Hujuck!,Hałabała!
excito_door_boring_perfect_1_1,Whoops! #0.60 That was pointless!,Ups! #0.60 To było bez sensu!
excito_door_boring_perfect_2_1,"What a lame room! #1.50 Whatever, right?","Co za żałosny pokój! #1.50 Trudno, nie?"
excito_door_boring_great_1_1,That room. #0.90 What is it good for?,Ten pokój. #0.90 Do czego on się przydaje?
excito_door_boring_great_2_1,Nothing in there to see!,Nic tam nie ma do oglądania!
excito_door_boring_good_1_1,Now that room... has nothing for us.,No i ten pokój... nic dla nas nie ma.
excito_door_boring_good_2_1,What a dull room.,Co za nudny pokój.
excito_door_boring_medium_1_1,"Yeah, that was pointless...","Tak, to było bez sensu..."
excito_door_boring_medium_2_1,Nothing to do there. #1.20 Ugh.,Nic tam nie ma do roboty. #1.20 Uch.
excito_door_boring_bummed_1_1,Wasting more time on pointless rooms. #2.00 #2.50 Cool.,Znowu tracimy czas na bezsensowne pokoje. #2.00 #2.50 Super.
excito_door_boring_bummed_2_1,I feel like this room. #1.70 Empty.,Czuję się jak ten pokój. #1.70 Pusty.
excito_door_boring_angry_1_1,"Yeah, that sucked.","Tak, to było do kitu."
excito_door_boring_angry_2_1,"Stupid room, stupid adventure.","Głupi pokój, głupia przygoda."
excito_door_obstacle_perfect_1_1,"This might be something for your enormous wit, my friend.","To może być coś dla twojego ogromnego rozumu, przyjacielu."
excito_door_obstacle_perfect_2_1,"Hey pal, I really can't help you with that.","Hej, ziomek, tu naprawdę nie mogę ci pomóc."
excito_door_obstacle_great_1_1,Brute force won't get us anywhere here. #2.30 I think we need your smart art.,Brutalna siła nic tu nie da. #2.30 Chyba potrzebujemy twojej mądrości.
