key,en,pl
hubert_idlecaptive_1_1,Help!,Pomocy!
hubert_idlecaptive_2_1,Help!,Pomocy!
hubert_idlecaptive_3_1,Help!,Pomocy!
hubert_idlecaptive_4_1,Help!,Pomocy!
hubert_idlecaptive_5_1,Please help me!,"Proszę, pomóż mi!"
hubert_idlecaptive_6_1,Please! Help me!,Proszę! Pomóż mi!
hubert_idlecaptive_7_1,Help! Please don't leave me here!,"Pomocy! Proszę, nie zostawiaj mnie tutaj!"
hubert_idlecaptive_8_1,Help! Please don't leave me here!,"Pomocy! Proszę, nie zostawiaj mnie tutaj!"
hubert_idlecaptive_9_1,"Help, help! #0.80 Please don't leave me here!","Pomocy, pomocy! #0.80 Proszę, nie zostawiaj mnie tutaj!"
hubert_liberated_1_1,Yay! I'm free! #1.50 Thank you!,Hurra! Jestem wolny! #1.50 Dziękuję!
hubert_liberated_2_1,Yay! I'm free! #1.30 Thank you!,Hurra! Jestem wolny! #1.30 Dziękuję!
hubert_liberated_3_1,"Ah, thank god I'm free!","Ach, dzięki bogom, jestem wolny!"
hubert_liberated_4_1,Free again. #1.50 Thanks stranger.,"Znów wolny. #1.50 Dzięki, nieznajomy."
hubert_liberated_5_1,Hooray! #1.10 You are a true friend!,Hurra! #1.10 Jesteś prawdziwym przyjacielem!
hubert_liberated_6_1,"Hooray! #1.10 Uh, you are a true friend!","Hurra! #1.10 Ee, jesteś prawdziwym przyjacielem!"
hubert_newfloor_perfect_1_1,"Yay, we're such a good team!","Hurra, jaka z nas dobra drużyna!"
hubert_newfloor_perfect_2_1,"Yay, we're such a good team!","Hurra, jaka z nas dobra drużyna!"
hubert_newfloor_perfect_3_1,Yay! #0.80 We're such a good team!,Hurra! #0.80 Jaka z nas dobra drużyna!
hubert_newfloor_perfect_4_1,"Yay, we're such a good team!","Hurra, jaka z nas dobra drużyna!"
hubert_newfloor_perfect_5_1,This is going we-hell! #1.90 Nice.,"To idzie, kurna... świetnie! #1.90 No nieźle."
hubert_newfloor_perfect_6_1,This is going we-hell! #1.80 Nice.,"To idzie, kurna... świetnie! #1.80 No nieźle."
hubert_newfloor_perfect_7_1,Alright! #0.70 I have a very good feeling about this.,No dobra! #0.70 Mam co do tego bardzo dobre przeczucie.
hubert_newfloor_perfect_8_1,Alright! #0.70 I have a very good feeling about this.,No dobra! #0.70 Mam co do tego bardzo dobre przeczucie.
hubert_newfloor_perfect_9_1,Alright! #0.70 I have a very good feeling about this.,No dobra! #0.70 Mam co do tego bardzo dobre przeczucie.
hubert_newfloor_great_1_1,Now this went quite alright. #1.80 Way to go!,No to poszło całkiem nieźle. #1.80 Brawo!
hubert_newfloor_great_2_1,Now this went quite alright. #2.00 Way to go!,No to poszło całkiem nieźle. #2.00 Brawo!
hubert_newfloor_great_3_1,Now this went quite alright. #1.40 Way to go!,No to poszło całkiem nieźle. #1.40 Brawo!
hubert_newfloor_great_4_1,One more down. #1.00 Nice.,Jedno mamy z głowy. #1.00 Nieźle.
hubert_newfloor_great_5_1,One more down. #1.30 Nice.,Jedno mamy z głowy. #1.30 Nieźle.
hubert_newfloor_great_6_1,We did it! #0.80 I feel kinda safe by your side.,Udało się! #0.80 Czuję się przy tobie jakoś bezpieczniej.
hubert_newfloor_great_7_1,We did it! #0.90 I feel kinda safe by your side.,Udało się! #0.90 Czuję się przy tobie jakoś bezpieczniej.
hubert_newfloor_good_1_1,Phew. We made it.,Uff. Udało nam się.
hubert_newfloor_good_2_1,Phew. We made it.,Uff. Udało nam się.
hubert_newfloor_good_3_1,Did you see that? #1.00 We're not dead and getting somewhere. #3.00 Nice.,Widziałeś to? #1.00 Żyjemy i gdzieś to zmierza. #3.00 Nieźle.
hubert_newfloor_good_4_1,Did you see that? #1.00 We're not dead and getting somewhere. #2.80 Nice.,Widziałeś to? #1.00 Żyjemy i gdzieś to zmierza. #2.80 Nieźle.
hubert_newfloor_good_5_1,Did you see that? #0.80 We're getting somewhere and we're not dead. #3.00 Nice.,"Widziałeś to? #0.80 Gdzieś to zmierza, a my wciąż żyjemy. #3.00 Nieźle."
hubert_newfloor_medium_1_1,Okay. #0.80 At least we're still alive and making progress...,No dobra. #0.80 Przynajmniej wciąż żyjemy i robimy postępy...
hubert_newfloor_medium_2_1,Let's see where this goes.,"Zobaczmy, dokąd to zmierza."
