key,en,pl
wanst_hubert_doorinitiative_perfect_1_1,Please let ME go! #1.30 I will protect you!,"Błagam, pozwól iść MNIE! #1.30 Ja cię ochronię!"
wanst_hubert_doorinitiative_perfect_2_1,Please let me me me me me! #1.30 I will protect you!,"Błagam, pozwól mi, mi, mi, mi, mi! #1.30 Ja cię ochronię!"
wanst_hubert_doorinitiative_perfect_3_1,"Uuh, let ME go! #1.00 I will protect you!","Uuu, pozwól iść MNIE! #1.00 Ja cię ochronię!"
wanst_hubert_doorinitiative_perfect_4_1,Please let ME go! #1.30 I will protect you!,"Błagam, pozwól iść MNIE! #1.30 Ja cię ochronię!"
wanst_hubert_doorinitiative_perfect_5_1,Can I go first? #0.80 Please please please please please please!,"Mogę iść pierwszy? #0.80 Proszę, proszę, proszę, proszę, proszę, proszę!"
wanst_hubert_doorinitiative_perfect_6_1,Can I go first? #0.90 Please! Please! Please! Please!,Mogę iść pierwszy? #0.90 Proszę! Proszę! Proszę! Proszę!
wanst_hubert_doorinitiative_perfect_7_1,Can I go first? #1.00 Please! Pleeeease please please!,"Mogę iść pierwszy? #1.00 Proszę! Proszęęę, proszę, proszę!"
wanst_hubert_doorinitiative_perfect_8_1,I will take on the danger! #1.50 Stay back!,Ja stawię czoła niebezpieczeństwu! #1.50 Zostań z tyłu!
wanst_hubert_doorinitiative_perfect_9_1,I will take on the danger! #1.50 Stay back!,Ja stawię czoła niebezpieczeństwu! #1.50 Zostań z tyłu!
wanst_hubert_doorinitiative_perfect_10_1,I will take on the danger! #1.40 Stay back!,Ja stawię czoła niebezpieczeństwu! #1.40 Zostań z tyłu!
wanst_hubert_doorinitiative_high_1_1,Do you want me to go into one of these doors for you?,"Chcesz, żebym wszedł za ciebie do jednych z tych drzwi?"
wanst_hubert_doorinitiative_high_2_1,Do you want me to go into one of these doors for you?,"Chcesz, żebym wszedł za ciebie do jednych z tych drzwi?"
wanst_hubert_doorinitiative_high_3_1,Want me to go into one of these doors?,"Chcesz, żebym wszedł do jednych z tych drzwi?"
wanst_hubert_doorinitiative_high_4_1,Since you are my friend... #1.50 I can go first and check out what's behind these doors!,"Skoro jesteś moim przyjacielem... #1.50 mogę iść pierwszy i sprawdzić, co jest za tymi drzwiami!"
wanst_hubert_doorinitiative_high_5_1,Since you are my friend... #1.30 I can go and check out what's behind these doors!,"Skoro jesteś moim przyjacielem... #1.30 mogę pójść i sprawdzić, co jest za tymi drzwiami!"
wanst_hubert_doorinitiative_high_6_1,Since you are my friend... #1.20 I can go first and check out what's behind these doors!,"Skoro jesteś moim przyjacielem... #1.20 mogę iść pierwszy i sprawdzić, co jest za tymi drzwiami!"
wanst_hubert_doorinitiative_high_7_1,Since you are my friend...  #1.00 I-I can go first and check out what's behind these doors!,"Skoro jesteś moim przyjacielem... #1.00 m-mogę iść pierwszy i sprawdzić, co jest za tymi drzwiami!"
wanst_hubert_doorinitiative_high_8_1,I know you are the greater hero. #1.50 But I can take on the danger behind these doors as well!,"Wiem, że to ty jesteś większym bohaterem. #1.50 Ale ja też mogę stawić czoła niebezpieczeństwu za tymi drzwiami!"
wanst_hubert_doorinitiative_high_9_1,I know you are the greater hero. #1.50 But you can send me in. I can do danger stuff.,"Wiem, że to ty jesteś większym bohaterem. #1.50 Ale możesz wysłać mnie. Ja też potrafię robić niebezpieczne rzeczy."
wanst_hubert_doorinitiative_medium_1_1,"Three doors, eh? #1.30 C-Can you go first?","Trzy drzwi, co? #1.30 M-może ty pójdziesz pierwszy?"
wanst_hubert_doorinitiative_medium_2_1,"Three doors, eh? #1.30 C-Can you go first?","Trzy drzwi, co? #1.30 M-może ty pójdziesz pierwszy?"
wanst_hubert_doorinitiative_medium_3_1,"Three doors, eh? #1.30 C-Can you go first?","Trzy drzwi, co? #1.30 M-może ty pójdziesz pierwszy?"
wanst_hubert_doorinitiative_medium_4_1,Those doors are a bit scary...,Te drzwi są trochę straszne...
wanst_hubert_doorinitiative_medium_5_1,Those doors are a bit scary...,Te drzwi są trochę straszne...
wanst_hubert_doorinitiative_medium_6_1,Mind if I stay back? #1.50 I'm scared of what's behind these doors.,"Nie masz nic przeciwko, żebym został z tyłu? #1.50 Boję się tego, co jest za tymi drzwiami."
wanst_hubert_doorinitiative_medium_7_1,Mind if I stay back? #1.50 I'm scared of what's behind these doors.,"Nie masz nic przeciwko, żebym został z tyłu? #1.50 Boję się tego, co jest za tymi drzwiami."
wanst_hubert_doorinitiative_bummed_1_1,Oh no... #1.00 Another three doors! #2.50 Does this tower ever end?,O nie... #1.00 Kolejne trzy drzwi! #2.50 Czy ta wieża w ogóle się kiedyś skończy?
wanst_hubert_doorinitiative_bummed_2_1,Oh no... #1.00 Three more doors? #2.00 Does this tower ever end?,O nie... #1.00 Jeszcze trzy drzwi? #2.00 Czy ta wieża w ogóle się kiedyś skończy?
wanst_hubert_doorinitiative_bummed_3_1,Oh no. #0.80 Three more doors... #2.00 Does this tower ever end?,O nie. #0.80 Jeszcze trzy drzwi... #2.00 Czy ta wieża w ogóle się kiedyś skończy?
wanst_hubert_doorinitiative_bummed_4_1,Doors again? #1.00 I wish I could hide inside my shell.,Znowu drzwi? #1.00 Chciałbym móc schować się w swojej skorupie.
wanst_hubert_doorinitiative_bummed_5_1,Doors... again? #1.30 I wish I could just hide inside my shell.,Drzwi... #1.30 znowu? Chciałbym po prostu schować się w swojej skorupie.
wanst_hubert_doorinitiative_bummed_6_1,Doors again? #1.30 I wish I could hide inside my shell.,Znowu drzwi? #1.30 Chciałbym móc schować się w swojej skorupie.
wanst_hubert_doorinitiative_bummed_7_1,"Ah, we're still not out of the tower yet.","Ech, nadal nie wydostaliśmy się z tej wieży."
wanst_hubert_doorinitiative_bummed_8_1,"Huh, we're still not out of the tower yet?","Hę, nadal nie wydostaliśmy się z tej wieży?"
wanst_hubert_doorinitiative_bummed_9_1,"Ah, we're still not out of the tower yet?","Ech, nadal nie wydostaliśmy się z tej wieży?"
wanst_hubert_doorinitiative_bummed_10_1,"Uh, we're still not out of the tower yet.","Yy, nadal nie wydostaliśmy się z tej wieży."
wanst_hubert_doorinitiative_positive_1_1,Great thinking. #1.00 Charge!,Świetny plan. #1.00 Szarżuj!
wanst_hubert_doorinitiative_positive_2_1,"Ok, go for it!","Ok, dawaj!"
wanst_hubert_doorinitiative_positive_3_1,Alright. #1.00 I believe in you!,Dobra. #1.00 Wierzę w ciebie!
wanst_hubert_doorinitiative_positive_4_1,Godspeed!,Powodzenia!
wanst_hubert_doorinitiative_positive_5_1,Good idea. #0.80 Go go go!,"Dobry pomysł. #0.80 Dawaj, dawaj, dawaj!"
wanst_hubert_doorinitiative_positive_6_1,Sure. #1.00 I sense a legend in the making.,"Jasne. #1.00 Czuję, że rodzi się legenda."
wanst_hubert_doorinitiative_positive_7_1,Yeah! #1.20 Show these doors they got nothing on us!,"Tak! #1.20 Pokaż tym drzwiom, że nie mają z nami szans!"
wanst_hubert_doorinitiative_negative_1_1,I appreciate your courage. #1.50 But I alone can master this task.,Doceniam twoją odwagę. #1.50 Ale tylko ja mogę sprostać temu zadaniu.
wanst_hubert_doorinitiative_negative_2_1,"Thanks, but... #0.90 I don't want you to die, friend.","Dzięki, ale... #0.90 nie chcę, żebyś zginął, przyjacielu."
wanst_hubert_doorinitiative_negative_3_1,"Stay back, friend. #1.30 The danger is too great.","Zostań z tyłu, przyjacielu. #1.30 Niebezpieczeństwo jest zbyt wielkie."
wanst_hubert_doorinitiative_negative_4_1,That's a great offer. #1.50 But this challenge calls for a knight.,To wspaniała propozycja. #1.50 Ale to wyzwanie wymaga rycerza.
