key,en,pl
wanst_sobu_doorinitiative_perfect_1_1,"Alright, here we are. I can sense which one's the right way. Want my help?","Dobra, jesteśmy na miejscu. Czuję, która droga jest właściwa. Chcesz mojej pomocy?"
wanst_sobu_doorinitiative_perfect_2_1,I know which way to go. Want me to give you a hand?,"Wiem, którędy iść. Chcesz, żebym ci pomógł?"
wanst_sobu_doorinitiative_perfect_3_1,My sharp wit tells me how we can get out. Shall I?,"Mój bystry umysł podpowiada mi, jak się stąd wydostać. Mam pomóc?"
wanst_sobu_doorinitiative_high_1_1,My senses are tingling. Want me to show you the right way?,"Moje zmysły mrowieją. Chcesz, żebym pokazał ci właściwą drogę?"
wanst_sobu_doorinitiative_high_2_1,Want me to tell you which one's the right door?,"Chcesz, żebym powiedział ci, które to właściwe drzwi?"
wanst_sobu_doorinitiative_high_3_1,"I might be old, but my senses of which way to go are spot on. Want a taste?","Może i jestem stary, ale mój zmysł kierunku jest niezawodny. Chcesz spróbować?"
wanst_sobu_doorinitiative_medium_1_1,"Uhm, it's pretty easy, where to go. For me. Need help?","Yy, dla mnie to całkiem proste, dokąd iść. Potrzebujesz pomocy?"
wanst_sobu_doorinitiative_medium_2_1,"I can help here, but only to get out of here faster...","Mogę pomóc, ale tylko po to, żeby szybciej się stąd wydostać..."
wanst_sobu_doorinitiative_medium_3_1,Can't wait to leave this place... Let me show you the right way and get it over with it.,"Nie mogę się doczekać, żeby stąd wyjść... Pokażę ci właściwą drogę i miejmy to już za sobą."
wanst_sobu_doorinitiative_bummed_1_1,"If my purse wasn't that empty, I could tell the right way.","Gdyby moja sakiewka nie była taka pusta, mógłbym wskazać właściwą drogę."
wanst_sobu_doorinitiative_bummed_2_1,"Too bad my inspiration is depleted like my booze, else I could foretell the right door, hehe.","Szkoda, że moje natchnienie wyczerpało się jak i trunek, bo inaczej przepowiedziałbym właściwe drzwi, hehe."
wanst_sobu_doorinitiative_bummed_3_1,"If only my inspiration flowed as freely as wine, I could decipher the right door to choose.","Gdyby tylko moje natchnienie płynęło tak swobodnie jak wino, potrafiłbym rozszyfrować właściwe drzwi."
wanst_sobu_doorinitiative_positive_1_1,"Okay, show me!","Okej, pokaż mi!"
wanst_sobu_doorinitiative_positive_2_1,"Alright, give me a taste of your brains.","Dobra, daj mi skosztować swojego rozumu."
wanst_sobu_doorinitiative_positive_3_1,Good idea! Charge!,Dobry pomysł! Szarżuj!
wanst_sobu_doorinitiative_positive_4_1,Okay Wisenheimer!,"Okej, mądralo!"
wanst_sobu_doorinitiative_negative_1_1,"Thanks, but I don't believe in help.","Dzięki, ale nie wierzę w pomoc."
wanst_sobu_doorinitiative_negative_2_1,"That's a great offer, but I love the danger. Ha ha ha ha!","To wspaniała propozycja, ale uwielbiam niebezpieczeństwo. Cha cha cha cha!"
wanst_sobu_doorinitiative_negative_3_1,"Thanks, but I know the right way as well.","Dzięki, ale ja też znam właściwą drogę."
wanst_sobu_doorinitiative_negative_4_1,My wit will be sufficient for this adventure.,Mój spryt wystarczy na tę wyprawę.
wanst_sobu_doorinitiative_neutral_1_1,Hmmm. I don't mind.,Hmmm. Nie mam nic przeciwko.
wanst_sobu_doorinitiative_neutral_1_2,"Ookayyy, I'll wait for your command then.","No dobrzeee, w takim razie zaczekam na twój rozkaz."
wanst_sobu_doorinitiative_neutral_2_2,"I guess that means ""no"" in today's language.","Zgaduję, że to znaczy „nie” w dzisiejszym języku."
wanst_sobu_doorinitiative_neutral_3_1,Hngggyaawulaahhh!?,Hngggyaawulaahhh!?
wanst_sobu_doorinitiative_neutral_3_2,"Ok, I'll save my brains for later.","Ok, zachowam swój rozum na później."
