key,en,pl
wanst_sobu_smalltalk_captive_1_1,Hey. I'd like a soda. #1.40 Extra large please. #2.50 No sugar.,Hej. Poproszę sodę. #1.40 Extra dużą. #2.50 Bez cukru.
wanst_sobu_smalltalk_captive_1_2,What are you talking about?,O czym ty mówisz?
wanst_sobu_smalltalk_captive_1_3,"Sorry, I was thirsty.","Wybacz, byłem spragniony."
wanst_sobu_smalltalk_captive_1_4,"I am, too! #1.50 Now you made it even worse.",Ja też! #1.50 Teraz zrobiło się jeszcze gorzej.
wanst_sobu_smalltalk_captive_2_1,I happen to know a thing or two about the old days...,Wiem to i owo o dawnych czasach...
wanst_sobu_smalltalk_captive_2_2,They used to slap naughty chums like you...,Kiedyś dawano klapsa takim niegrzecznym kolesiom jak ty...
wanst_sobu_smalltalk_captive_2_3,Good thing you're behind bars.,"Dobrze, że jesteś za kratkami."
wanst_sobu_smalltalk_captive_2_4,I hope not for too long...,"Mam nadzieję, że nie za długo..."
wanst_sobu_smalltalk_captive_3_1,A stick like that will come in handy once we get out.,"Taki kij przyda się, kiedy się stąd wydostaniemy."
wanst_sobu_smalltalk_captive_3_2,Alright. Good to know. #1.70 Waiting on your action then.,Dobra. Dobrze wiedzieć. #1.70 Czekam więc na twoje działanie.
wanst_sobu_smalltalk_captive_3_3,"Okay, let me contemplate the next steps.","Okej, pozwól, że przemyślę kolejne kroki."
wanst_sobu_smalltalk_captive_4_1,I've been thinking about our escape plan.,Myślałem o naszym planie ucieczki.
wanst_sobu_smalltalk_captive_4_2,About time!,Najwyższa pora!
wanst_sobu_smalltalk_captive_4_3,"Patience, my friend. #1.40 It's still a work in progress.","Cierpliwości, przyjacielu. #1.40 To wciąż jest w trakcie opracowywania."
wanst_sobu_smalltalk_captive_4_4,Soon your face will be a work in progress!,Niedługo to twoja twarz będzie w trakcie opracowywania!
wanst_hubert_smalltalk_loyalitycheck_1_1,So... How are you?,No... jak się masz?
wanst_hubert_smalltalk_loyalitycheck_2_1,So...,No...
wanst_hubert_smalltalk_loyalitycheck_3_1,"So, how are you?","No, jak się masz?"
wanst_hubert_smalltalk_loyalitycheck_4_1,So...,No...
wanst_hubert_smalltalk_loyalitycheck_5_1,So...,No...
wanst_sobu_smalltalk_loyalitycheck_perfect_1_1,I'm alive and pumpin'! #1.80 Where do we go next?,Żyję i pełen jestem energii! #1.80 Dokąd idziemy dalej?
wanst_sobu_smalltalk_loyalitycheck_perfect_1_2,"Easy, tiger! #1.00 There's danger lurkin' everywhere here.","Spokojnie, tygrysie! #1.00 Niebezpieczeństwo czai się tu wszędzie."
wanst_sobu_smalltalk_loyalitycheck_perfect_contd_1_1,You're talking about me?,Mówisz o mnie?
wanst_sobu_smalltalk_loyalitycheck_great_1_1,"I'm bold, old, and a sight to behold!","Jestem śmiały, stary i jest na co popatrzeć!"
wanst_sobu_smalltalk_loyalitycheck_great_2_1,"Whoa, easy there, buff daddy.","Ojej, spokojnie, muskularny tatuśku."
wanst_sobu_smalltalk_loyalitycheck_great_contd_1_1,Buff enough to get rough!,"Wystarczająco umięśniony, żeby być szorstkim!"
wanst_sobu_smalltalk_loyalitycheck_good_1_1,I could use a drink at this time of day.,Przydałby mi się drink o tej porze dnia.
wanst_sobu_smalltalk_loyalitycheck_good_1_2,"Yes, it's really hot this summer.","Tak, tego lata jest naprawdę gorąco."
wanst_sobu_smalltalk_loyalitycheck_good_1_3,Yeah... exactly.,Ta... właśnie.
wanst_sobu_smalltalk_loyalitycheck_medium_1_1,"I... thought'd I'd die of a natural cause, but I'm not too sure about that anymore.","Ja... myślałem, że umrę śmiercią naturalną, ale już nie jestem tego taki pewien."
wanst_sobu_smalltalk_loyalitycheck_medium_1_2,I will protect you at all costs!,Będę cię chronił za wszelką cenę!
wanst_sobu_smalltalk_loyalitycheck_medium_1_3,That is what I'm worried about.,To właśnie mnie martwi.
wanst_sobu_smalltalk_loyalitycheck_bummed_1_1,The ancient texts said nothing about this mess.,Starożytne teksty nic nie mówiły o tym bałaganie.
wanst_sobu_smalltalk_loyalitycheck_bummed_2_1,Do they mention me?,Czy wspominają o mnie?
wanst_sobu_smalltalk_loyalitycheck_bummed_3_1,I am sure they do! There's always a chapter about human sacrifice.,"Jestem pewien, że tak! Zawsze jest jakiś rozdział o ofiarach z ludzi."
