key,en,pl
wanst_banker_first_1_1,"Welcome to the bank, sire! #2.20 You look like you just escaped the tower. #4.10 Let me open an account for you, so you can lighten your load.","Witamy w banku, panie! #2.20 Wygląda na to, że właśnie uciekłeś z wieży. #4.10 Pozwól, że założę ci konto, byś mógł odciążyć kieszenie."
wanst_banker_first_1_2,Ok. #1.00 Let's put them coins behind bars.,Dobra. #1.00 Zamknijmy te monety za kratkami.
wanst_banker_first_contd_1_1,"Et voilà. #1.00 You can leave all your riches with me, sir. #3.50 There's a very handsome interest rate here, too. #6.70 Just let the money work for you.","Et voilà. #1.00 Możesz zostawić u mnie całe swoje bogactwo, panie. #3.50 Mamy tu też bardzo przyzwoite oprocentowanie. #6.70 Niech pieniądze pracują za ciebie."
wanst_banker_first_contd_1_2,"Free money! #1.20 Mmm, that's nice for a change.","Darmowa forsa! #1.20 Mmm, miła odmiana."
wanst_banker_first_contd_1_3,Adventurers like you are our best customers! #3.50 All that gold from the tower really helps us to control inflation.,Tacy poszukiwacze przygód jak ty to nasi najlepsi klienci! #3.50 Całe to złoto z wieży naprawdę pomaga nam kontrolować inflację.
wanst_banker_first_contd_1_4,That's reassuring. #1.20 My belly has been making a lot of weird sounds lately.,To pocieszające. #1.20 Mój brzuch ostatnio wydaje dziwne odgłosy.
wanst_banker_first_contd_1_5,We also sell real estate to our best clients. #3.50 Talk to me if you're interested.,"Sprzedajemy też nieruchomości naszym najlepszym klientom. #3.50 Daj znać, jeśli jesteś zainteresowany."
wanst_banker_open_1_1_a,"We are very happy to have you as a customer, sir. #2.40 But this is neither a prison cell nor a hotel room. #5.00 I'd like to inspire you to deposit some cash soon...","Bardzo się cieszymy, że jesteś naszym klientem, panie. #2.40 Ale to ani cela więzienna, ani pokój hotelowy. #5.00 Chciałbym cię zachęcić, żebyś wkrótce coś wpłacił..."
wanst_banker_open_1_1_b,"You have to fill up that account in order to earn interest. #3.00 You know that, right?","Musisz zasilić to konto, żeby zarabiać na odsetkach. #3.00 Wiesz o tym, prawda?"
wanst_banker_open_1_1_c,Don't you trust us? #1.50 You still don't have anything in your bank account. #3.50 Let us know what we're doing wrong...,"Nie ufasz nam? #1.50 Wciąż nie masz nic na koncie. #3.50 Daj znać, co robimy źle..."
wanst_banker_open_1_2_a,I never rush my investments.,Nigdy się nie spieszę z inwestycjami.
wanst_banker_open_1_2_b,"Not sure how I feel about money yet, though.","Chociaż wciąż nie wiem, co czuję do pieniędzy."
wanst_banker_open_1_2_c,Are you a fugger or a mugger?,Sknera czy złodziej?
wanst_banker_interest_1_1_a,"Hey pal. Here's your interest earnings. #2.50 Interesting, eh?","Hej kolego. Oto twoje odsetki. #2.50 Interesujące, co?"
wanst_banker_interest_1_1_b,"Welcome back, sir. #1.50 This is how your earnings grew since your last visit.","Witaj z powrotem, panie. #1.50 Tak urosły twoje zyski od ostatniej wizyty."
wanst_banker_interest_1_1_c,"We added some coins to your account. #2.30 Because who got some will get some, right?","Dodaliśmy trochę monet do twojego konta. #2.30 Bo kto ma trochę, ten dostanie więcej, prawda?"
wanst_banker_interest_1_1_d,"Welcome, sire. Here's your interest.","Witaj, panie. Oto twoje odsetki."
wanst_banker_interest_1_2_a,Nice! #1.00 I'll never have to work again.,Super! #1.00 Już nigdy nie będę musiał pracować.
wanst_banker_interest_1_2_b,I only invest in the best.,"Inwestuję tylko w to, co najlepsze."
wanst_banker_interest_1_2_c,"Finally, I can pay back that trombone rental.",Nareszcie mogę oddać dług za wypożyczenie puzonu.
wanst_banker_interest_1_2_d,I'll rate that interest a whoppin' bling! out of ka-ching!,Oceniam te odsetki na solidne bling! w skali ka-ching!
wanst_banker_interest_1_2_e,Call me the bling king!,Możecie mnie zwać królem blichtru!
wanst_banker_interest_2_1,Welcome back good sir. #1.50 Here's what you earned. #3.00 Deposit or withdraw?,"Witaj z powrotem, dobry panie. #1.50 Oto, co zarobiłeś. #3.00 Wpłacić czy wypłacić?"
wanst_banker_interest_2_2_a,"Sorry, I'm not an artist. I can't draw.","Przepraszam, nie jestem artystą. Nie umiem rysować."
wanst_banker_introendgame_1_1,I congratulate you to your great success! #3.30 The bank really profited from the shortening of the tower. #7.20 We had a feeling it would be a bearish season.,"Gratuluję ci wielkiego sukcesu! #3.30 Bank naprawdę zyskał na skróceniu wieży. #7.20 Mieliśmy przeczucie, że to będzie sezon bessy."
wanst_banker_introendgame_1_2,Aha... I need to careful out in the woods then.,Aha... W takim razie muszę uważać w lesie.
wanst_banker_introendgame_1_3,At least the inflation of gold is now finally under control.,Przynajmniej inflacja złota jest teraz wreszcie pod kontrolą.
wanst_banker_introendgame_1_4,"The inflation of my golden 'do will never stop though, my good man.","Za to inflacja mojej złotej fryzury nigdy się nie zatrzyma, mój drogi."
wanst_banker_introendgame_1_5,The barber will be pleased!,Fryzjer będzie zachwycony!
wanst_banker_randomendgame_1_1,Well so much for the economic value of that tower... #4.00 Coins will be coins though.,"Cóż, tyle w kwestii wartości ekonomicznej tej wieży... #4.00 Ale moneta monetą pozostanie."
wanst_banker_randomendgame_2_1,Your money is still safe with us.,Twoje pieniądze wciąż są u nas bezpieczne.
wanst_banker_randomendgame_3_1,"Keep an eye on your coins, mind you? #2.00 Now that the tower is gone...","Miej oko na swoje monety, dobrze? #2.00 Teraz, kiedy wieży już nie ma..."
wanst_banker_house_1_1_a,"Sir, do you have any real estate vacancies around here?","Panie, czy macie tu jakieś wolne nieruchomości?"
wanst_banker_house_1_1_b,I need a house. #1.00 Got any?,Potrzebuję domu. #1.00 Macie jakiś?
wanst_banker_house_1_1_c,Hey buddy. #0.80 Got any spare houses in the area?,"Hej, kolego. #0.80 Macie tu jakieś wolne domy?"
wanst_banker_house_1_2_a,I have a little shack in a very good area... #3.00 ...near the village entrance for you.,Mam dla ciebie małą chatkę w bardzo dobrej okolicy... #3.00 ...tuż przy wejściu do wioski.
wanst_banker_house_1_2_b,There's a little hut down the road #1.90 at the start of the village.,Jest taka chatka przy drodze #1.90 na początku wioski.
wanst_banker_house_1_2_c,"In fact, #0.80 there's been an opening #1.90 right next to the village entrance.",Właściwie #0.80 zwolniło się miejsce #1.90 tuż przy wejściu do wioski.
wanst_banker_house_1_3_a,Interested?,Zainteresowany?
wanst_banker_house_1_3_b,Deal?,Umowa stoi?
wanst_banker_house_1_3_c,How does that sound?,Jak ci się to podoba?
wanst_banker_upgrade_1_1_a,"I need a bigger house, sir.","Potrzebuję większego domu, panie."
wanst_banker_upgrade_1_1_b,I am ready to expand. #2.00 Got any realer estate?,Jestem gotów się rozwijać. #2.00 Macie coś porządniejszego z nieruchomości?
wanst_banker_upgrade_1_1_c,Any new vacancies? #1.40 I need a bigger crib.,Jakieś nowe wolne lokum? #1.40 Potrzebuję większej chaty.
wanst_banker_upgrade_1_1_d,Do you have a bigger place for me to stay?,Macie dla mnie coś większego do mieszkania?
wanst_banker_upgrade_1_1_e,I'm tired of my house. #2.00 Got a bigger one?,Mam dość mojego domu. #2.00 Macie coś większego?
wanst_banker_upgrade_1_1_f,I need more space! #1.50 Got a bigger place?,Potrzebuję więcej przestrzeni! #1.50 Macie coś większego?
wanst_banker_upgrade_1_2_a,We can upgrade your house easily #2.00 by building another one on top of it.,"Możemy łatwo ulepszyć twój dom, #2.00 dobudowując na nim kolejne piętro."
wanst_banker_upgrade_1_2_b,We gladly assist you in your journey to the top.,Chętnie pomożemy ci w drodze na szczyt.
wanst_banker_upgrade_1_2_c,"Yes. #0.60 I can fix you up with #2.00 a literal palace, my friend!","Tak. #0.60 Mogę ci załatwić #2.00 dosłowny pałac, przyjacielu!"
wanst_banker_upgrade_1_2_d,A great man needs a great house!,Wielki człowiek potrzebuje wielkiego domu!
