key,en,pl
wanst_hubert_enterdoor_start_1_1,I'd like for you to go into that door.,"Chciałbym, żebyś wszedł w te drzwi."
wanst_hubert_enterdoor_start_2_1,"Hey pal, go in that door.","Hej, kolego, wejdź w te drzwi."
wanst_hubert_enterdoor_start_3_1,I want you to go into that door.,"Chcę, żebyś wszedł w te drzwi."
wanst_hubert_enterdoor_start_4_1,"Alright buddy, let's go!","Dobra, ziomek, ruszamy!"
wanst_hubert_enterdoor_start_5_1,I have chosen a door for you: #2.00 Voilá!,Wybrałem dla ciebie drzwi: #2.00 Voilà!
wanst_hubert_enterdoor_start_6_1,Why don't you have a look at what's behind that door?,"Może zerkniesz, co jest za tymi drzwiami?"
wanst_hubert_enterdoor_start_7_1,Go into that door!,Wejdź w te drzwi!
wanst_hubert_enterdoor_start_8_1,"Ok. #0.60 Go into that door, smash everything to bits... #3.20 Disable the traps and steal all of the loot. #6.00 Go go go! I believe in you!","Ok. #0.60 Wejdź w te drzwi, roztrzaskaj wszystko na kawałki... #3.20 Rozbrój pułapki i ukradnij cały łup. #6.00 Dawaj, dawaj, dawaj! Wierzę w ciebie!"
wanst_hubert_enterdoor_start_sceptical_1_1,It looks dangerous!,Wygląda niebezpiecznie!
wanst_hubert_enterdoor_start_sceptical_2_1,That looks dangerous...,To wygląda niebezpiecznie...
wanst_hubert_enterdoor_start_sceptical_3_1,I'm not sure.,Nie jestem pewien.
wanst_hubert_enterdoor_start_reply_1_1,"Trust me, pal!","Zaufaj mi, kolego!"
wanst_hubert_enterdoor_start_reply_2_1,It's just a door!,To tylko drzwi!
wanst_hubert_enterdoor_success_perfect_1_1,Alrightsies! Yay! #1.60 Excitement!,Dobrzutko! Hurra! #1.60 Ekscytacja!
wanst_hubert_enterdoor_success_perfect_2_1,Alrightsies! Yeah! #1.60 Excitement!,Dobrzutko! Tak! #1.60 Ekscytacja!
wanst_hubert_enterdoor_success_perfect_3_1,"Hot new loot, coming up! #2.00 Hold on a sec!","Gorący nowy łup, już się robi! #2.00 Chwileczkę!"
wanst_hubert_enterdoor_success_perfect_4_1,Hot new loot incoming! #2.00 Hold on a sec!,Nadciąga gorący nowy łup! #2.00 Chwileczkę!
wanst_hubert_enterdoor_success_perfect_5_1,"Anything for you, friend!","Wszystko dla ciebie, przyjacielu!"
wanst_hubert_enterdoor_success_perfect_6_1,Shell yeah! #1.00 I want me to go into that door! #3.50 Watch this!,Skorupa tak! #1.00 Sam chcę wejść w te drzwi! #3.50 Patrz na to!
wanst_hubert_enterdoor_success_great_1_1,I always had a thing for doors.,Zawsze miałem słabość do drzwi.
wanst_hubert_enterdoor_success_great_2_1,"Okay, hold on. #1.10 Be right back!","Okej, czekaj. #1.10 Zaraz wracam!"
wanst_hubert_enterdoor_success_great_3_1,Sure thing!,Jasna sprawa!
wanst_hubert_enterdoor_success_great_4_1,Now that was motivational! #1.80 Here I come.,To było motywujące! #1.80 Już idę.
wanst_hubert_enterdoor_success_good_1_1,I'm on my way.,Już idę.
wanst_hubert_enterdoor_success_good_2_1,Okay.,Okej.
wanst_hubert_enterdoor_success_good_3_1,As you say!,Jak sobie życzysz!
