key,en,pl
wanst_attack_sword_1_1,Slashy slashy!,"Tnij, tnij!"
wanst_attack_sword_2_1,Eat steel!,Skosztuj stali!
wanst_attack_sword_3_1,Fear the razor's edge!,Zadrżyj przed ostrzem brzytwy!
wanst_attack_sword_4_1,I'm here to test how sharp this sword is.,"Jestem tu, by sprawdzić, jak ostry jest ten miecz."
wanst_attack_sword_5_1,You fight like a cow!,Walczysz jak krowa!
wanst_drop_sword_1_1,No more violence.,Dość przemocy.
wanst_drop_sword_2_1,I feel weird dropping this.,Dziwnie mi to porzucać.
wanst_pickup_sword_1_1,This sharp blade #1.20 will be my best friend now.,To ostre ostrze #1.20 będzie teraz moim najlepszym przyjacielem.
wanst_pickup_sword_2_1,"Ah, I already feel better.","Ach, już czuję się lepiej."
wanst_pickup_sword_3_1,Now I feel much better.,Teraz czuję się dużo lepiej.
wanst_pickup_sword_4_1,No pen is as mighty as this sword!,Żadne pióro nie jest tak potężne jak ten miecz!
wanst_attack_key_1_1,Gotta practice unlocking!,Trzeba poćwiczyć otwieranie zamków!
wanst_attack_key_2_1,Unlock!,Otwórz się!
wanst_pickup_key_1_1,This weapon is the #1.30 key to my success.#3.60,Ta broń jest #1.30 kluczem do mojego sukcesu.#3.60
wanst_pickup_key_2_1,"Okay, let's see what this funny sword does.","Okej, zobaczmy, co robi ten zabawny miecz."
wanst_attack_bananapeel_1_1,Banana fo-fana!,Banana fo-fana!
wanst_attack_bananapeel_2_1,Feel my peel!,Poczuj moją skórkę!
wanst_drop_bananapeel_1_1,Bomb planted.,Bomba podłożona.
wanst_drop_bananapeel_2_1,Hehe.,Hehe.
wanst_pickup_bananapeel_1_1,Let's put this away...,Odłóżmy to na bok...
wanst_drop_bone_1_1,That'll be one lucky dog.,To będzie jeden szczęśliwy piesek.
wanst_pickup_bone_1_1,I've got a bone to pick with somebody.,Mam z kimś na pieńku.
wanst_attack_broccoli_1_1,This vegetable is lethal!,To warzywo jest śmiercionośne!
wanst_attack_eyes_1_1,There's more to this punch than meets the eye!,"W tym ciosie jest więcej, niż widać gołym okiem!"
wanst_attack_leek_1_1,Call me Bruce Leek!,Nazywajcie mnie Bruce Por!
wanst_pickup_leek_1_1,Ah yes! #1.10 My mightiest weapon!,Ach tak! #1.10 Moja najpotężniejsza broń!
wanst_attack_gianthammer_1_1,Hammertime!,Czas na młot!
wanst_attack_gianthammer_2_1,Nailed it!,"Trafiony, zatopiony!"
wanst_pickup_gianthammer_1_1,"My back hurts, #1.00 but it's totally worth it.","Boli mnie plecy, #1.00 ale całkowicie warto."
wanst_pickup_gianthammer_2_1,This is not heavy at all...,To wcale nie jest ciężkie...
wanst_pickup_gianthammer_3_1,"Oh yeah, NOW we're talking.","O tak, TERAZ to rozmowa."
wanst_attack_keg_1_1,I always stay close to danger to feel alive.,"Zawsze trzymam się blisko niebezpieczeństwa, żeby czuć się żywym."
wanst_attack_keg_2_1,This can't possibly go wrong.,To na pewno nie może się nie udać.
wanst_pickup_keg_1_1,I better be careful with this.,Lepiej być z tym ostrożnym.
wanst_attack_stool_1_1,Don't call it a chair!,Nie nazywaj tego krzesłem!
wanst_drop_stool_1_1,Just turned this place into a #1.50 comfy paradise.,Właśnie zamieniłem to miejsce w wygodny raj. #1.50
wanst_equip_ironarmor_1_1,Abs of steel!,Brzuch ze stali!
wanst_equip_ironarmor_2_1,Now I feel like a proper knight again!,Teraz znów czuję się jak prawdziwy rycerz!
wanst_drop_ironarmor_1_1,"Ugh, I was getting sweaty already.","Ugh, już się zaczynałem pocić."
wanst_drop_ironarmor_2_1,"While the tower's a-glow, # these muscles will show.","Gdy wieża lśni w blasku, #te mięśnie pokażą się w całej krasie."
wanst_drop_goldarmor_1_1,"I'll be right back, my beauty.","Zaraz wrócę, moja piękna."
wanst_equip_goldarmor_1_1,The golden knight is in town!,Złoty rycerz jest w mieście!
wanst_equip_peasantarmor_1_1,I am now disguised as #1.50 a regular peasant.,Jestem teraz przebrany za zwykłego chłopa. #1.50
wanst_equip_peasantarmor_2_1,No one will notice a regular #1.40 guy from the streets.,Nikt nie zwróci uwagi na zwykłego #1.40 gościa z ulicy.
wanst_equip_sackarmor_1_1,I'm not sure this was made to be worn.,"Nie jestem pewien, czy to zrobiono do noszenia."
wanst_equip_sackarmor_2_1,I always wanted to be a miller. #1.90 This comes close.,Zawsze chciałem być młynarzem. #1.90 To się do tego zbliża.
wanst_equip_sackarmor_3_1,This gives me a slight itching sensation.,"To sprawia, że lekko mnie swędzi."
wanst_equip_sackarmor_4_1,Well it's... #0.90 better than nothing I guess.,"Cóż, to... #0.90 lepsze niż nic, jak sądzę."
