key,en,pl
sobu_idlecaptive_1_1,Oh thank god! You've come just in time!,Dzięki bogom! Zjawiłeś się w samą porę!
sobu_idlecaptive_2_1,"Hey, you! You won't leave an old man here in the bin would you?","Hej, ty! Nie zostawisz przecież starca w klatce, co?"
sobu_idlecaptive_3_1,Over here! Can you get me out?,Tutaj! Możesz mnie stąd wyciągnąć?
sobu_idlecaptive_4_1,"Hey pal, come over here! I got something forya!","Hej, kolego, chodź no tu! Mam coś dla ciebie!"
sobu_liberated_1_1,Phew. Thank you so much.,Uff. Dziękuję ci bardzo.
sobu_liberated_2_1,Thanks! That's very kind of you.,Dzięki! To bardzo miłe z twojej strony.
sobu_liberated_3_1,Woo-hoo! Free as a berry bee!,Hop siup! Wolny jak trzmiel na łące!
sobu_newfloor_perfect_1_1,"He-heyyy, look at that! We're on the right track!","He, hejka, patrzcie no! Jesteśmy na dobrej drodze!"
sobu_newfloor_perfect_2_1,Gooooing down! #1.80 #2.50 Which is a good thing. #4.30 Just to make it clear...,W dóóół! #1.80 #2.50 A to akurat dobrze. #4.30 Tak żeby było jasne...
sobu_newfloor_perfect_3_1,"In the mood for success, see us go!","Mamy nastrój na sukces, patrz jak nam idzie!"
sobu_newfloor_great_1_1,Nice. Way to go.,Ładnie. Tak trzymać.
sobu_newfloor_great_2_1,"Smooth as a booth, look at us winging it.","Gładko jak po maśle, a my ledwo to ogarniamy."
sobu_newfloor_great_3_1,Hey! This is going alright.,Hej! Nieźle nam idzie.
sobu_newfloor_great_4_1,Top dog doing a hot job! Woof woof!,"Psia jego mać, niezła robota! Hau hau!"
sobu_newfloor_good_1_1,"Looks like we're on the right track, son.","Wygląda na to, że jesteśmy na dobrym tropie, synu."
sobu_newfloor_good_2_1,Moving on. Good job us.,Idziemy dalej. Nieźle nam poszło.
sobu_newfloor_good_3_1,Phew. A little success in a whole lot of mess.,Uff. Odrobina sukcesu w morzu bałaganu.
sobu_newfloor_medium_1_1,I'm... surprised we're getting somewhere...,"Jestem... zaskoczony, że w ogóle gdzieś dochodzimy..."
sobu_newfloor_medium_2_1,"Phew. At least another chance, to not die...","Uff. Przynajmniej kolejna szansa, żeby nie zginąć..."
sobu_newfloor_medium_3_1,"Oooof. Getting along. What a surprise, with a crybaby like you.","Ooof. Jakoś to leci. Co za niespodzianka, z takim beksą jak ty."
