key,en,pl
quit,Quit,Zakończ
frame,Frame,Ramka
back,Back,Wstecz
button,ButtOn,Guzik
language,Language,Język
subtitles,Subtitles,Napisy
other,Other,Inne
main_play,Play,Graj
main_quickstart,Quickstart,Szybki start
main_credits,Credits,Twórcy
main_settings,Settings,Ustawienia
main_quit,Quit,Zakończ
main_back,Back,Wstecz
main_start,Start,Start
main_tutorial,Tutorial,Samouczek
main_areyousure,Are you sure?,Czy na pewno?
main_tutorialfirst,"You might want to check out the tutorial first, if you haven't played the game before.","Jeśli nie grałeś wcześniej, warto najpierw zajrzeć do samouczka."
main_playtutorial,Play Tutorial,Uruchom samouczek
main_chooseprofile,Choose a profile,Wybierz profil
main_runs,Runs,Podejścia
main_playtime,Playtime,Czas gry
main_emptyslot,Empty slot,Puste miejsce
row35,Save file,Zapis gry
main_deletesave,Delete Save file?,Usunąć zapis gry?
main_confirm,Confirm,Potwierdź
main_ok,Ok,Ok
main_cancel,Cancel,Anuluj
main_nosave,No active save file,Brak aktywnego zapisu
row41,Not available,Niedostępne
row42,Seed,Ziarno
main_controls,Controls,Sterowanie
main_graphics,Graphics,Grafika
main_sound,Sound,Dźwięk
main_other,Other,Inne
main_jump,Jump,Skok
main_attack,Attack,Atak
main_throw,Throw,Rzut
main_pickupdrop,Pick up  / Drop,Podnieś / Upuść
main_switchhand,Switch Hand,Zmień rękę
main_use,Use,Użyj
main_down,Down,Dół
main_up,Up,Góra
main_right,Right,Prawo
main_left,Left,Lewo
main_dialogueop1,Dialogue Option 1,Opcja dialogu 1
main_dialogueop2,Dialogue Option 2,Opcja dialogu 2
main_dialogueop3,Dialogue Option 3,Opcja dialogu 3
main_reset,Reset,Reset
main_choosecontrolscheme,Choose Control Scheme,Wybierz układ sterowania
main_keyboardonly,Keyboard Only,Tylko klawiatura
main_keyboardandmouse,Keyboard and Mouse,Klawiatura i mysz
main_controller,Controller,Kontroler
main_resolution,Resolution,Rozdzielczość
main_keepresolution,Keep Resolution?,Zachować rozdzielczość?
row70,Confirm,Potwierdź
row71,Cancel,Anuluj
main_zoomvalue,Zoom Value,Poziom przybliżenia
main_brightness,Brightness,Jasność
main_screenshakeintense,Screenshake Intensity,Intensywność trzęsienia ekranu
main_ingameonly,Ingame Only,Tylko w grze
main_mastervolume,Master Volume,Głośność główna
main_music,Music,Muzyka
main_soundeffects,Sound Effects,Efekty dźwiękowe
main_dialogues,Dialogue,Dialogi
main_mute,Mute,Wycisz
main_language,Language,Język
main_frame,Frame,Ramka
main_subtitles,Subtitles,Napisy
main_buttonswitch,ButtOn,Włączone
main_buttoffswitch,ButtOff,Wyłączone
main_windowed,Windowed,Okno
row91,Hints,Podpowiedzi
gameover_restart,Restart,Zacznij od nowa
gameover_exittomenu,Exit to menu,Wyjdź do menu
gameover_bugfeedback,Bug / Feedback?,Błąd / Opinia?
gameover_bug,Bug,Błąd
gameover_feedback,Feedback,Opinia
gameover_send,Send,Wyślij
row99,Thank you for sending feedback!,Dziękujemy za przesłanie opinii!
gameover_gameover,Game Over,Koniec gry
gameover_whoopsie,Whoopsie!,Ups!
gameover_tryagain,Try Again!,Spróbuj ponownie!
gameover_youdied,You died,Zginąłeś
gameover_sorry,Sorry!,Przykro nam!
gameover_oopsie,Oopsie-daisy!,Ojej-ojej!
gameover_betterluck,Better luck next time!,Następnym razem się uda!
gameover_rip,R.I.P.,S.P.
ingame_resume,Resume,Wznów
ingame_startnewrun,Start New Run,Zacznij nowe podejście
ingame_discord,Join Our Discord,Dołącz do naszego Discorda
ingame_backtomain,Back To Main Menu,Powrót do menu głównego
row115,Are you sure?,Czy na pewno?
row116,Yes,Tak
row117,No,Nie
credits_developed,Developed by,Wyprodukowano przez
credits_published,Published by,Wydane przez
credits_QALionbridge,Quality Assurance by,Kontrola jakości
credits_Loca49,Localization by,Lokalizacja
credits_LocaNativePrime,Localization and Localization QA by,Lokalizacja i kontrola jakości lokalizacji
credits_SoundDesignMix,Sound Design and Mix by,Udźwiękowienie i miks
credits_AdditionalSoundDesign,Additional Sound Design by,Dodatkowe udźwiękowienie
credits_Music,Music,Muzyka
credits_LegalCounsel,Legal Counsel,Doradztwo prawne
credits_Insurance,Insurance Intermediary,Pośrednik ubezpieczeniowy
credits_Tax,Tax Accountant,Doradca podatkowy
credits_Evolve,Publicity by,Promocja
credits_Trailerfarm,Trailer by,Zwiastun
credits_ArcusKey,Chinese Marketing by,Marketing chiński
credits_CommunityPlaytesters,Community Playtesters,Testerzy społecznościowi
credits_Thanks,Thanks to,Podziękowania dla
credits_MEDIAMFG,Prototype funded with support of the Creative Europe programme - MEDIA and MFG Baden-Württemberg,Prototyp sfinansowany przy wsparciu programu Kreatywna Europa – MEDIA oraz MFG Baden-Württemberg
credits_BundMFG,Production funded with support of the Federal Ministry for Economic Affairs and Climate Action Germany and MFG Baden-Württemberg,Produkcja sfinansowana przy wsparciu Federalnego Ministerstwa Gospodarki i Ochrony Klimatu Niemiec oraz MFG Baden-Württemberg
hint_attack,Attack,Atak
hint_drink,Drink,Pij
hint_atownrisk,(at own risk),(na własne ryzyko)
row147,Eat,Jedz
hint_orpress,Or press,Lub naciśnij
hint_toskip,to skip,aby pominąć
hint_drop,Drop,Upuść
hint_enterdoor,Enter Door,Wejdź przez drzwi
hint_enteralcove,Enter Alcove,Wejdź do wnęki
hint_equiparmordir,Equip Armor Directly,Załóż zbroję od razu
hint_equip,Equip,Załóż
hint_coininsack,Put Coin in Sack,Włóż monetę do worka
hint_shakeoutcoin,Shake out coin,Wytrząśnij monetę
hint_equipdirect,Equip Directly,Załóż od razu
hint_equiptoothdirect,Equip tooth directly,Załóż ząb od razu
hint_grabexchange,Grab / Exchange,Chwyć / Zamień
hint_pickup,Pick Up,Podnieś
hint_headroom,Grab and place an item on to the tip of the tongue.,Chwyć przedmiot i połóż go na czubku języka.
hint_pulllever,Pull Lever,Pociągnij dźwignię
hint_jump,Jump,Skacz
hint_or,or,lub
hint_3x,3x quick,3x szybko
hint_toloot,to loot,aby złupić
hint_move,Move,Ruch
hint_open,Open,Otwórz
hint_swapitems,Swap items,Zamień przedmioty
hint_talk,to talk to people when you stand close to them,"aby rozmawiać z ludźmi, gdy stoisz blisko nich"
row176,or,lub
hint_throwpotion,to throw potion,aby rzucić miksturą
row179,or,lub
hint_throwitem,to throw item,aby rzucić przedmiotem
row182,or,lub
