key,en,pl
wanst_headroom_fish_1_1,A fish.,Ryba.
wanst_headroom_hourglass_1_1,An hourglass.,Klepsydra.
wanst_headroom_prophecyscroll_1_1,A mysterious scroll.,Tajemniczy zwój.
wanst_headroom_pike_1_1,A pike.,Pika.
wanst_headroom_crown_1_1,A crown.,Korona.
wanst_headroom_frogs_1_1,A jar containing frogs.,Słoik z żabami.
wanst_headroom_rats_1_1,A jar containing rats.,Słoik ze szczurami.
wanst_headroom_snails_1_1,A jar containing snails.,Słoik ze ślimakami.
wanst_headroom_lockengoldpotion_1_1,Dr. Lockengold shampoo!,Szampon dr. Lockengolda!
wanst_headroom_goopotion_1_1,A slimey potion.,Śluzowata mikstura.
wanst_headroom_coupon_1_1,A coupon for the local barber.,Kupon do miejscowego golibrody.
wanst_headroom_wansthaircutbust00_1_1,A bust depicting my face and stunning hair.,Popiersie przedstawiające moją twarz i olśniewającą fryzurę.
wanst_headroom_verylongstick_1_1,A very long stick.,Bardzo długi kij.
wanst_headroom_bigdoubleaxe_1_1,A big double axe.,Wielki topór obosieczny.
wanst_headroom_boomerang_1_1,A boomerang.,Bumerang.
wanst_headroom_spear_1_1,A spear.,Włócznia.
wanst_headroom_playingcards_1_1,Some playing cards.,Talia kart.
wanst_headroom_toiletbrush_1_1,A toilet brush.,Szczotka do WC.
wanst_headroom_plumbershelper_1_1,A plumber's helper.,Przepychaczka do rur.
wanst_headroom_heraldicshield_1_1,A heraldic Shield.,Tarcza herbowa.
wanst_headroom_lance_1_1,A jousting Lance.,Kopia turniejowa.
wanst_headroom_barrelarmor_1_1,Some barrel armor.,Zbroja z beczki.
wanst_headroom_barrelhelmet_1_1,A barrel helmet.,Hełm z beczki.
wanst_headroom_scythe_1_1,A scythe.,Kosa.
wanst_headroom_woodensword_1_1,A wooden sword.,Drewniany miecz.
wanst_headroom_baddagger_1_1,A non-poisonous dagger.,Niezatruty sztylet.
wanst_headroom_pickle_1_1,A pickle.,Kiszony ogórek.
wanst_headroom_tongs_1_1,Pliers with hot coal.,Szczypce z rozżarzonym węglem.
wanst_headroom_whip_1_1,A whip.,Bicz.
wanst_headroom_baguette_1_1,A baguette.,Bagietka.
wanst_headroom_fez_1_1,A fez.,Fez.
wanst_headroom_merchantshat_1_1,A merchant's hat.,Kapelusz kupca.
wanst_headroom_undershirt_1_1,An undershirt.,Podkoszulek.
wanst_headroom_knightshelmet_1_1,A knight's helmet.,Hełm rycerski.
wanst_headroom_wig_1_1,A wig.,Peruka.
wanst_headroom_jestersjacket_1_1,A jester's jacket.,Kubrak błazna.
wanst_headroom_jestershat_1_1,A jester's hat.,Czapka błazna.
wanst_headroom_jestersrattle_1_1,A jester's rattle.,Grzechotka błazna.
wanst_headroom_sack_1_1,A sack to put over my face.,Worek do założenia na twarz.
wanst_headroom_pillow_1_1,A pillow,Poduszka.
wanst_headroom_fork_1_1,A fork.,Widelec.
wanst_headroom_spoon_1_1,A spoon.,Łyżka.
wanst_headroom_kitchenknife_1_1,A kitchen knife.,Nóż kuchenny.
wanst_headroom_trident_1_1,A trident.,Trójząb.
wanst_headroom_toothpick_1_1,A toothpick.,Wykałaczka.
wanst_headroom_boxingglove_1_1,A boxing glove.,Rękawica bokserska.
wanst_headroom_ironfist_1_1,A stick with an iron fist.,Kij zakończony żelazną pięścią.
wanst_headroom_statue_1_1,A statue.,Posąg.
wanst_headroom_woodenhammer_1_1,A wooden hammer.,Drewniany młotek.
row66,Some funny wand.,Jakaś śmieszna różdżka.
wanst_headroom_plankwithnail_1_1,A wooden plank with a nail.,Deska z gwoździem.
wanst_headroom_bolas_1_1,Some bolas.,Jakieś bolasy.
wanst_headroom_doublebladedsword_1_1,A double-bladed sword.,Miecz z dwoma ostrzami.
wanst_headroom_spaghettistrainer_1_1,A spaghetti strainer.,Durszlak do spaghetti.
wanst_headroom_shovel_1_1,A shovel.,Łopata.
wanst_headroom_turqoisearmor_1_1,Some torqouise armor.,Turkusowa zbroja.
wanst_headroom_blackarmor_1_1,Black armor.,Czarna zbroja.
wanst_headroom_ghostsword_1_1,A ghost sword.,Miecz-widmo.
wanst_headroom_lute_1_1,A lute.,Lutnia.
wanst_headroom_violin_1_1,A violin.,Skrzypce.
wanst_headroom_trombone_1_1,A trombone.,Puzon.
wanst_headroom_gentlemanlyhat_1_1,A gentlemanly hat.,Dżentelmeński kapelusz.
wanst_headroom_urumi_1_1,An urumi.,Urumi.
wanst_headroom_meatcleaver_1_1,A meat cleaver.,Tasak rzeźniczy.
wanst_headroom_glasssword_1_1,A glass sword.,Szklany miecz.
row82,Some sword.,Jakiś miecz.
row83,Some helmet.,Jakiś hełm.
wanst_headroom_sabre_1_1,A fencing sword.,Szabla szermiercza.
wanst_headroom_merchantsshirt_1_1,A puffy shirt.,Bufiasta koszula.
wanst_headroom_tankard_1_1,A tankard.,Kufel.
wanst_headroom_ratonastick_1_1,A rat on a stick.,Szczur na patyku.
wanst_headroom_diviningrod_1_1,A divining rod.,Różdżka różdżkarska.
wanst_headroom_beekeepershat_1_1,A beekeeper's hat.,Kapelusz pszczelarza.
wanst_headroom_foldingknife_1_1,A folding knife.,Scyzoryk.
wanst_headroom_spikeyarmor_1_1,Some spikey armor.,Kolczasta zbroja.
wanst_headroom_spikeyhelmet_1_1,A spikey helmet.,Kolczasty hełm.
wanst_headroom_frame_1_1,A frame.,Ramka.
wanst_headroom_bycocket_1_1,A bycocket.,Szpiczasty kapelusz.
wanst_headroom_onion_1_1,An onion.,Cebula.
wanst_headroom_featheryhat_1_1,A feathery hat.,Pierzasty kapelusz.
wanst_headroom_propellerhat_1_1,A Propeller Hat.,Czapka ze śmigiełkiem.
wanst_headroom_peasantcap_1_1,A cap.,Czapka.
wanst_headroom_fishermanshat_1_1,A fisherman’s hat.,Kapelusz rybaka.
