key,en,pl
wanst_decoration_chimney_1_1,I wonder if Santa comes here...,"Ciekawe, czy Święty Mikołaj tu zagląda..."
wanst_decoration_chimney_2_1,What an unconventional toilet.,Cóż za niekonwencjonalna toaleta.
wanst_decoration_chimney_3_1,What a weird toilet.,Co za dziwaczna toaleta.
wanst_decoration_fetters_1_1,I hope these aren't for me.,"Mam nadzieję, że to nie dla mnie."
wanst_decoration_fetters_2_1,I hope this wasn't installed for me.,"Mam nadzieję, że nie zainstalowano tego z myślą o mnie."
wanst_decoration_fetters_3_1,It'll take more than chains to hold me!,"Trzeba czegoś więcej niż łańcuchów, by mnie powstrzymać!"
wanst_decoration_hole_1_1,Look at this tiny hole. #1.50 #1.70 Isn't it adorable?,Spójrzcie na tę malutką dziurę. #1.50 #1.70 Czyż nie jest urocza?
wanst_decoration_hole_2_1,If I was tiny I'd definitely live in one of these tiny holes.,"Gdybym był malutki, na pewno mieszkałbym w jednej z tych dziurek."
wanst_decoration_hole_3_1,Only a small animal would fit in here.,Tylko małe zwierzątko by się tu zmieściło.
wanst_decoration_rack_1_1,Get a load of that rack!,Spójrzcie tylko na tę rozciągarkę!
wanst_decoration_rack_2_1,I just don't have time for stretching excercises.,Po prostu nie mam czasu na rozciąganie.
wanst_decoration_web_1_1,Ugh! #0.70 This place needs a better janitor!,Fuj! #0.70 To miejsce potrzebuje lepszego sprzątacza!
wanst_decoration_web_2_1,"Where there's spider webs, there must be spiders. #2.60 #2.80 Delicious!","Gdzie pajęczyny, tam i pająki. #2.60 #2.80 Pychota!"
wanst_decoration_torch_1_1,I don't need this. #1.10 I'm too hot already.,Nie potrzebuję tego. #1.10 I tak jestem wystarczająco gorący.
wanst_decoration_torch_2_1,No way I could take that off.,"Nie ma mowy, żebym to zdjął."
wanst_decoration_torch_3_1,It's tightly attached to the wall.,Jest mocno przytwierdzona do ściany.
wanst_decoration_torch_4_1,Torches are really for beginning adventurers.,Pochodnie są tak naprawdę dla początkujących poszukiwaczy przygód.
wanst_decoration_torch_5_1,What would I do with a torch? #1.45 My future's already bright!,Co bym zrobił z pochodnią? #1.45 Moja przyszłość i tak jest świetlana!
wanst_decoration_window_1_1,"Hey, nice view!","Hej, niezły widok!"
wanst_decoration_window_2_1,Nice view!,Niezły widok!
wanst_decoration_window_3_1,What a picturesque scene!,Co za malowniczy widok!
wanst_decoration_recipe_strength_1_1,Pumpkin plus steel equals muscles? #2.90 #3.30 Now that's not in my workout plan.,Dynia plus stal równa się mięśnie? #2.90 #3.30 Tego nie było w moim planie treningowym.
wanst_decoration_recipe_speed_1_1,"Wood plus banana equals speed? #2.80 Haha, okay. #4.00 Someone must've missed math class.","Drewno plus banan równa się szybkość? #2.80 Haha, no dobra. #4.00 Ktoś chyba opuścił lekcje matematyki."
wanst_decoration_recipe_transformation_1_1,"Mmm. #0.80 ""A brain and an eye #2.70 to become some guy""? #4.70 That's all I can figure out here.","Mmm. #0.80 „Mózg i oko, #2.70 by zmienić się w kogoś z boku”? #4.70 Więcej nie potrafię z tego wyczytać."
wanst_decoration_recipe_death_1_1,A recipe for certain death? #2.10 Nice! #2.90 Seems to involve a rat and... #4.40 #4.90 ...Broccoli! #5.60 Of course!,Przepis na pewną śmierć? #2.10 Świetnie! #2.90 Chyba trzeba szczura i... #4.40 #4.90 ...Brokuła! #5.60 No jasne!
wanst_decoration_recipe_poison_1_1,Mixing mushrooms with frogs seems a bit toxic. #3.00 #3.50 According to this recipe.,Mieszanie grzybów z żabami wydaje się nieco toksyczne. #3.00 #3.50 Przynajmniej według tego przepisu.
wanst_decoration_recipe_antipotion_1_1,A leek and a tooth #1.50 to get a face that looks smooth. #3.00 #3.60 I'm not sure I got that right.,"Por i ząb, #1.50 by twarz zrobić gładką jak jedwab. #3.00 #3.60 Nie jestem pewien, czy dobrze to odczytałem."
