key,en,pl
wanst_excito_enterdoor_start_1_1,I'd like for you to go into that door.,"Chciałbym, żebyś wszedł w te drzwi."
wanst_excito_enterdoor_start_2_1,"Hey pal, go in that door.","Hej, kolego, wejdź w te drzwi."
wanst_excito_enterdoor_start_3_1,I want you to go into that door.,"Chcę, żebyś wszedł w te drzwi."
wanst_excito_enterdoor_start_4_1,"Alright buddy, let's go!","Dobra, ziomek, ruszamy!"
wanst_excito_enterdoor_start_5_1,I have chosen a door for you:,Wybrałem dla ciebie drzwi:
wanst_excito_enterdoor_start_6_1,Why don't you have a look at what's behind that door?,"Może zerkniesz, co jest za tymi drzwiami?"
wanst_excito_enterdoor_start_7_1,Go into that door!,Wejdź w te drzwi!
wanst_excito_enterdoor_start_8_1,"Ok, go into that door, ...","No dobra, wejdź w te drzwi, ..."
wanst_excito_enterdoor_start_sceptical_1_1,It looks dangerous...,Wygląda niebezpiecznie...
wanst_excito_enterdoor_start_sceptical_2_1,I'm not sure...,Nie jestem pewien...
wanst_excito_enterdoor_start_reply_1_1,"Trust me, pal!","Zaufaj mi, kolego!"
wanst_excito_enterdoor_start_reply_2_1,It's just a door!,To tylko drzwi!
wanst_excito_enterdoor_success_perfect_1_1,See how I handle this fella!,"Zobacz, jak sobie z tym poradzę!"
wanst_excito_enterdoor_success_perfect_2_1,Alright! #1.00 Rooms ain't got nothing on me!,Dobra! #1.00 Pokoje nie mają ze mną szans!
wanst_excito_enterdoor_success_perfect_3_1,Yessies! #1.00 Can't wait to see what's behind that door!,"Tasss! #1.00 Nie mogę się doczekać, co jest za tymi drzwiami!"
wanst_excito_enterdoor_success_perfect_4_1,I'll clear this room with a strong broom!,Wyczyszczę ten pokój mocną miotłą!
wanst_excito_enterdoor_success_great_1_1,Okay! #0.70 I'm quite into doors!,Okej! #0.70 Całkiem lubię drzwi!
wanst_excito_enterdoor_success_great_2_1,Sure. #0.60 See you in a bit!,Jasne. #0.60 Do zobaczenia za chwilę!
wanst_excito_enterdoor_success_great_3_1,"Okay! #0.80 Be right back, good sir!","Okej! #0.80 Zaraz wracam, dobry panie!"
wanst_excito_enterdoor_success_great_4_1,"Alright! #0.80 Come at me, stupid door!","Dobra! #0.80 Dawaj, głupie drzwi!"
