key,en,pl
wanst_alva_smalltalk_captive_1_1,"So, what got you behind bars?",No i co cię tu za kratki wpakowało?
wanst_alva_smalltalk_captive_1_2,I drank a teleport potion and wound up here.,Wypiłam miksturę teleportacji i wylądowałam tutaj.
wanst_alva_smalltalk_captive_1_3,"Teleport potion, you say? Should've stuck to ales.","Mikstura teleportacji, powiadasz? Trzeba było trzymać się piwa."
wanst_alva_smalltalk_captive_1_4,"Aye, hindsight's a luxury, isn't it? Now, about that lever...","Ano, mądrość po szkodzie to luksus, prawda? A teraz, co do tej dźwigni..."
wanst_alva_smalltalk_captive_2_1,I really don't understand all this potion jazz.,Naprawdę nie rozumiem tego całego zamieszania z miksturami.
wanst_alva_smalltalk_captive_2_2,"Well, congrats on realizing your intellectual limits.","Cóż, gratuluję odkrycia swoich ograniczeń intelektualnych."
wanst_alva_smalltalk_captive_2_3,"Okay, I want a potion that has my face grow a nose. Do you have a recipe?","Okej, chcę miksturę, dzięki której mojej twarzy wyrośnie nos. Masz taki przepis?"
wanst_alva_smalltalk_captive_2_4,What?,Co?
wanst_alva_smalltalk_captive_2_5,"Well, a knight needs to stand out, you know.","Cóż, rycerz musi się wyróżniać, wiesz."
wanst_alva_smalltalk_captive_2_6,"You do, believe me. Please hit that lever...","Wyróżniasz się, uwierz mi. Proszę, pociągnij tę dźwignię..."
wanst_alva_smalltalk_captive_3_1,"So, recipe? How do we whip up this nose masterpiece?","Więc, przepis? Jak sklecimy to nosowe arcydzieło?"
wanst_alva_smalltalk_captive_3_2,We just need a spritz of eternal optimism and a hit of that lever.,Potrzebujemy tylko odrobiny wiecznego optymizmu i pociągnięcia tej dźwigni.
wanst_alva_smalltalk_captive_3_3,"Ah, bummer, I don't have those. Time to leave.","Ach, szkoda, nie mam tego. Czas iść."
wanst_alva_smalltalk_captive_3_4,What!?,Co!?
wanst_alva_smalltalk_captive_4_1,I keep returning to the notion of that nose potion...,Ciągle wracam do myśli o tej nosowej miksturze...
wanst_alva_smalltalk_captive_4_2,I keep reminding you about that lever...,Ciągle przypominam ci o tej dźwigni...
wanst_alva_smalltalk_loyalitycheck_1_1,So... How are you?,No... jak się masz?
wanst_alva_smalltalk_loyalitycheck_2_1,So...,No...
wanst_alva_smalltalk_loyalitycheck_3_1,"So, how are you?","No, jak się masz?"
wanst_alva_smalltalk_loyalitycheck_4_1,So...,No...
wanst_alva_smalltalk_loyalitycheck_5_1,So...,No...
wanst_alva_smalltalk_loyalitycheck_perfect_1_1,"Imagine me as a cauldron, swirling with joyous ingredients...","Wyobraź sobie mnie jako kocioł, wirujący radosnymi składnikami..."
wanst_alva_smalltalk_loyalitycheck_perfect_1_2,"Great, now I'm hungry.","Świetnie, teraz zgłodniałem."
wanst_alva_smalltalk_loyalitycheck_perfect_1_3,"...joyous, deadly ingredients...","...radosnymi, śmiercionośnymi składnikami..."
wanst_alva_smalltalk_loyalitycheck_great_1_1,I'm good! #1.30 Just thinking of new recipes while we're here... #4.00 maybe I could do something with those rats.,"Mam się dobrze! #1.30 Właśnie myślę o nowych przepisach, skoro tu jesteśmy... #4.00 może zrobiłabym coś z tych szczurów."
wanst_alva_smalltalk_loyalitycheck_great_1_2,I'm expecting it to be of radical taste.,"Spodziewam się, że smak będzie radykalny."
wanst_alva_smalltalk_loyalitycheck_great_1_3,It might tickle a bit.,Może trochę łaskotać.
wanst_alva_smalltalk_loyalitycheck_good_1_1,I'm starting to have doubts...,Zaczynam mieć wątpliwości...
wanst_alva_smalltalk_loyalitycheck_good_1_2,"Ah c'mon... #1.00 when in doubt, #2.00 shout it out! #3.00 Like this... #4.00 AAAAHHH!","Ach, dawaj... #1.00 kiedy masz wątpliwości, #2.00 wykrzycz je! #3.00 O tak... #4.00 AAAAHHH!"
wanst_alva_smalltalk_loyalitycheck_good_1_3,"Good lord, stop it!","Dobry Boże, przestań!"
wanst_alva_smalltalk_loyalitycheck_medium_1_1,I'm feeling good... #1.50 just right below par.,Czuję się dobrze... #1.50 tak tuż poniżej normy.
wanst_alva_smalltalk_loyalitycheck_medium_1_2,So... #0.80 can I call you Birdie?,No więc... #0.80 mogę cię nazywać Ptaszkiem?
wanst_alva_smalltalk_loyalitycheck_medium_1_3,"If you do, #0.80 I'll make sure to smack #2.00 a hole in one of your eyesockets.","Jeśli to zrobisz, #0.80 zadbam, żeby wybić dziurę w jednym z twoich oczodołów. #2.00"
wanst_alva_smalltalk_loyalitycheck_bummed_1_1,"I'd rather not talk right now, thanks.","Wolałabym teraz nie rozmawiać, dzięki."
wanst_alva_smalltalk_loyalitycheck_bummed_1_2,What about... #1.00 clicking noises? #2.00,A może... #1.00 jakieś klikające dźwięki? #2.00
wanst_alva_smalltalk_loyalitycheck_bummed_1_3,What about noiseless noises?,A może bezgłośne dźwięki?
wanst_alva_smalltalk_loyalitycheck_angry_1_1,Got any more funtime recipes?,Masz jeszcze jakieś zabawowe przepisy?
wanst_alva_smalltalk_loyalitycheck_angry_1_2,Only got one left for a tight slap on the night cap.,Zostało mi tylko jedno na porządny klaps w czapkę nocną.
wanst_alva_smalltalk_loyalitycheck_angry_1_3,Uhm... #0.80 seems like a brew too hot to handle for me.,"Yy... #0.80 wygląda na wywar zbyt gorący, bym go ogarnął."
wanst_alva_smalltalk_regular_1_1,What's your name?,Jak masz na imię?
wanst_alva_smalltalk_regular_1_2,Alva.,Alva.
wanst_alva_smalltalk_regular_1_3,Can I call you Al?,Mogę mówić do ciebie Al?
wanst_alva_smalltalk_regular_1_4,"You can call me #1.10 Alva III. #2.30 Keeper of Potion Magic, #4.30 Daughter of Judas Patoodas.","Możesz nazywać mnie #1.10 Alva Trzecia. #2.30 Strażniczka Magii Mikstur, #4.30 Córka Judasza Patudasa."
wanst_alva_smalltalk_regular_1_5,... or... #1.00 Al for short?,... albo... #1.00 w skrócie Al?
wanst_alva_smalltalk_regular_1_6,Uhmmmm....,Yyyy...
wanst_alva_smalltalk_regular_2_1,"So, how'd you get here?","No więc, jak tu trafiłaś?"
wanst_alva_smalltalk_regular_2_2,I drank a teleport-potion. #2.30 But somehow all teleportation seems to #4.90 end in this grim tower.,Wypiłam miksturę teleportacji. #2.30 Ale jakoś każda teleportacja kończy się #4.90 w tej ponurej wieży.
wanst_alva_smalltalk_regular_2_3,It's only grim if you can't grin.,"Jest ponuro tylko wtedy, gdy nie potrafisz się uśmiechać."
wanst_alva_smalltalk_regular_2_4,You sure can!,A ty na pewno potrafisz!
wanst_alva_smalltalk_regular_3_1,"Hey, I heard the market is developing towards a potion-explotion.","Hej, słyszałem, że rynek zmierza ku miksturowej koniunkturze."
wanst_alva_smalltalk_regular_3_2,"Uhm, where'd you get that potion notion?","Yyy, a skąd żeś wziął tę miksturową bzdurę?"
wanst_alva_smalltalk_regular_3_3,I... don't no... -tion.,Ja... nie mam... pojęc-ia.
wanst_alva_smalltalk_regular_4_1,So.... what's your profession?,No więc.... jaki masz zawód?
wanst_alva_smalltalk_regular_4_2,I'm a witch and a carpenter.,Jestem czarownicą i cieślą.
wanst_alva_smalltalk_regular_4_3,"Ah, nice. #1.30 Which one do you like more?","Ach, miło. #1.30 Który bardziej lubisz?"
wanst_alva_smalltalk_regular_4_4,Witch.,Czarownica.
wanst_alva_smalltalk_regular_4_5,"Yeah, which one.","No właśnie, który."
wanst_alva_smalltalk_regular_4_6,I told you which.,Powiedziałam ci który.
wanst_alva_smalltalk_regular_4_7,No you didn't.,Wcale nie.
wanst_alva_smalltalk_regular_4_8,Uhm...,Yy...
wanst_alva_smalltalk_regular_4_9,"Well, I don't need to know everything.","Cóż, nie muszę wiedzieć wszystkiego."
