key,en,pl
wanst_pipefitter_intro_1_1,Umm... #1.00 what's happening here?,Umm... #1.00 co tu się dzieje?
wanst_pipefitter_intro_1_2,Hullo! #0.90 We're the Pipefitter Sisters!,Witaj! #0.90 Jesteśmy Siostrami Hydrauliczkami!
wanst_pipefitter_intro_1_3,How's business going? #1.40 All pipin'?,Jak interesy? #1.40 Wszystko rurowo?
wanst_pipefitter_intro_1_4,"Not good, actually. #1.50 Pit latrines are making a comeback... #3.50 and putting a squeeze on our business. #5.50 I have a splendid idea though, hehe. #8.30 Want to hear it?","Właściwie niedobrze. #1.50 Dołki kloaczne wracają do łask... #3.50 i przyciskają nasz biznes. #5.50 Mam jednak wspaniały pomysł, hehe. #8.30 Chcesz go usłyszeć?"
wanst_pipefitter_intro_1_5,Sure!,Jasne!
wanst_pipefitter_intro_1_6,"We could tap into the tower's pipe system, #2.30 so it can be used to send goods outside! #4.80 But the pipes in the tower are all wrecked, #7.50 and we need someone to fix them from the inside...","Mogłybyśmy podpiąć się do systemu rur w wieży, #2.30 żeby wysyłać towary na zewnątrz! #4.80 Ale rury w wieży są całe rozwalone, #7.50 i potrzebujemy kogoś, kto naprawi je od środka..."
wanst_pipefitter_intro_1_7,They call me the plumber's helper!,Mówią na mnie pomocnik hydraulika!
wanst_pipefitter_intro_1_8,"Marvelous, sir! Thank you, hehe. #3.50 Once you're done, we'll make a delicious profit from the tower!","Cudownie, panie! Dziękujemy, hehe. #3.50 Gdy skończysz, zbijemy na tej wieży przepyszny zysk!"
wanst_pipefitter_intro_1_9,Let's turn this pipe dream into a pipe scheme!,Zmieńmy to rurowe marzenie w rurowy przekręt!
wanst_pipefitter_intro_1_10,Take this gasket to fix the first pipe — #2.70 and come back when you need more.,"Weź tę uszczelkę, żeby naprawić pierwszą rurę — #2.70 i wróć, kiedy będziesz potrzebował więcej."
wanst_pipefitter_gasketreturn_1_1_a,Any luck fixing the pipes yet?,Jakieś postępy z naprawą rur?
wanst_pipefitter_gasketreturn_1_1_b,Do you need directions? #1.80 You can see the tower from basically anywhere...,Potrzebujesz wskazówek? #1.80 Wieżę widać właściwie z każdego miejsca...
wanst_pipefitter_gasketreturn_1_1_c,Maybe a drink at the tavern #1.70 will boost your confidence to go back in?,"Może drink w tawernie #1.70 doda ci odwagi, żeby wrócić do środka?"
wanst_pipefitter_gasketreturn_1_2_a,"Take good care of that gasket, though.",Tylko dobrze dbaj o tę uszczelkę.
