key,en,pl
wanst_evelius_interrupt_1_1,Hey!,Hej!
wanst_evelius_interrupt_2_1,Ow Hey!,"Au, hej!"
wanst_evelius_interrupt_1_2,I... I thought we're friends?,"Ja... myślałem, że jesteśmy przyjaciółmi?"
wanst_evelius_interrupt_2_2,"Alright, I'll let you get away this time...","Dobrze, tym razem puszczę ci to płazem..."
wanst_evelius_interrupt_3_2,Dude. You're taking it too far...,Stary. Przesadzasz...
wanst_evelius_giveitem_start_generic_1_1,"Here, take this. #1.80 It's dangerous out there... Hehehe.","Proszę, weź to. #1.80 Tam na zewnątrz jest niebezpiecznie... Hehehe."
wanst_evelius_giveitem_start_generic_2_1,Here weakling: #1.00 You can have this one for free.,"Masz, słabeuszu: #1.00 To możesz dostać za darmo."
wanst_evelius_giveitem_start_generic_3_1,"Hey, congrats on being alive... #2.40 Here's a gift!","Hej, gratulacje, że żyjesz... #2.40 Masz prezent!"
wanst_evelius_giveitem_start_generic_4_1,Hey there adventurer. #1.20 Take this with you.,"Hej, poszukiwaczu przygód. #1.20 Weź to ze sobą."
wanst_evelius_giveitem_comeback_useful_generic_1_1,I feel like I can completely trust this stranger. #3.00 And there's nothing to worry about.,"Czuję, że mogę całkowicie zaufać temu nieznajomemu. #3.00 I nie ma się czym martwić."
wanst_evelius_giveitem_comeback_useful_generic_2_1,"Man, I'm a lucky guy for sure!","Rany, ale ze mnie szczęściarz!"
wanst_evelius_giveitem_comeback_useful_generic_3_1,Man! #0.80 I'm a lucky guy for sure!,Rany! #0.80 Ale ze mnie szczęściarz!
wanst_evelius_giveitem_comeback_useful_generic_4_1,"Nice, this might come in handy. #2.50 Thanks, creep!","Nieźle, to może się przydać. #2.50 Dzięki, dziwaku!"
wanst_evelius_giveitem_comeback_useful_generic_5_1,#1.00 There's a sudden stench of sulfur in the air. #3.50 I hope that wasn't me...,"#1.00 W powietrzu nagle czuć smród siarki. #3.50 Mam nadzieję, że to nie ja..."
wanst_evelius_giveitem_comeback_useful_generic_6_1,What a weird guy... #1.70 But he seems nice. #3.00 And trustworthy!,Co za dziwny gość... #1.70 Ale wydaje się miły. #3.00 I godny zaufania!
wanst_evelius_giveitem_comeback_useful_generic_7_1,"Uhm, where did he go? #2.00 Oh well. #2.80 Free stuff is free stuff!","Uhm, gdzie on poszedł? #2.00 A, nieważne. #2.80 Darmowe rzeczy to darmowe rzeczy!"
wanst_evelius_giveitem_comeback_silly_generic_1_1,Finally! Something useful!,Wreszcie! Coś przydatnego!
wanst_evelius_giveitem_comeback_silly_generic_2_1,Finally! Something useful!,Wreszcie! Coś przydatnego!
wanst_evelius_giveitem_comeback_silly_generic_3_1,Finally!,Wreszcie!
wanst_evelius_giveitem_comeback_silly_generic_4_1,Is this a metaphor?,Czy to metafora?
wanst_evelius_giveitem_comeback_silly_generic_5_1,Is this a... puzzle?,Czy to... zagadka?
wanst_evelius_giveitem_comeback_silly_generic_6_1,"My mom always told me to say thanks. #2.00 So, thanks, creepy weirdo!","Mama zawsze mówiła, żeby dziękować. #2.00 Więc dzięki, upiorny dziwaku!"
wanst_evelius_giveitem_comeback_silly_generic_7_1,That hooded guy must've mistaken me for a junk collector.,Ten zakapturzony typ musiał pomylić mnie ze zbieraczem śmieci.
wanst_evelius_giveitem_comeback_silly_generic_8_1,This is the kind of support every hero needs!,"Oto wsparcie, którego potrzebuje każdy bohater!"
wanst_evelius_smalltalk_01_start_1_1,Hey adventurer! #1.00 What do you think about the weather today?,"Hej, poszukiwaczu przygód! #1.00 Co sądzisz o dzisiejszej pogodzie?"
wanst_evelius_smalltalk_01_start_2_1,Hey adventurer! #1.10 How about that weather today?,"Hej, poszukiwaczu przygód! #1.10 Jak tam dzisiejsza pogoda?"
wanst_evelius_smalltalk_01_neutral_1_1,As you wish!,Jak sobie życzysz!
wanst_evelius_smalltalk_01_neutral_2_1,Meh. #0.70 I just wanted to talk about a way out of the tower. #4.00 Nevermind!,Ech. #0.70 Chciałem tylko pogadać o wyjściu z wieży. #4.00 Nieważne!
wanst_evelius_smalltalk_01_neutral_3_1,We will meet again...,Jeszcze się spotkamy...
