key,en,pl
wanst_excito_smalltalk_captive_1_1,"This tower got some nice bars, huh?","Ta wieża ma niezłe kraty, co nie?"
wanst_excito_smalltalk_captive_1_2,"You're in front, and I'm behind. #2.00 Let me out, would you be so kind?","Ty jesteś na czele, ja z tyłu ląduję. #2.00 Wypuść mnie, bardzo to uszanuję!"
wanst_excito_smalltalk_captive_1_3,Is it rhyme-time my fellow crime spine?,"Czy to pora na rymy, mój zbóju, z którym rozkręcam te dymy?"
wanst_excito_smalltalk_captive_1_4,Could you just hit that lever?,Mógłbyś po prostu pociągnąć tę dźwignię?
wanst_excito_smalltalk_captive_2_1,You know I worked as a bartender once?,"Wiesz, że kiedyś pracowałem jako barman?"
wanst_excito_smalltalk_captive_2_2,I did not. #1.10 The bars in front of me aren't tender though. #3.50 So could you help me break free?,Nie wiedziałem. #1.10 Ale kraty przede mną nie są zbyt czułe. #3.50 Więc pomożesz mi się uwolnić?
wanst_excito_smalltalk_captive_3_1,Are you ready for your next adventure!?,Gotowy na kolejną przygodę!?
wanst_excito_smalltalk_captive_3_2,"I was born ready! #1.20 #1.50 But let me out first, maybe?",Urodziłem się gotowy! #1.20 #1.50 Ale może najpierw mnie wypuścisz?
wanst_excito_smalltalk_captive_3_3,"Okay, but only if you don't get too excited. #2.20 That's my job.","Okej, ale tylko jeśli się zanadto nie podekscytujesz. #2.20 To moja robota."
wanst_excito_smalltalk_captive_3_4,At this point I agree to anything...,W tym momencie zgodzę się na wszystko...
wanst_excito_smalltalk_captive_4_1,Where were you all my life?,Gdzie byłeś przez całe moje życie?
wanst_excito_smalltalk_captive_4_2,"Well, trapped behind these bars! #1.70 #2.10 And soon it'll be more rage than cure. #4.50 If I don't get out of here...","Cóż, uwięziony za tymi kratami! #1.70 #2.10 A niedługo będzie tu więcej wściekłości niż lekarstwa. #4.50 Jeśli się stąd nie wydostanę..."
wanst_excito_smalltalk_captive_4_3,Mmmm. #0.80 Furious makes me curious.,"Mmmm. #0.80 Gdy złość mnie rozpiera, ciekawość we mnie dociera."
wanst_excito_smalltalk_loyalitycheck_1_1,So... How are you?,No... jak się masz?
wanst_excito_smalltalk_loyalitycheck_2_1,So...,No...
wanst_excito_smalltalk_loyalitycheck_3_1,"So, how are you?","No, jak się masz?"
wanst_excito_smalltalk_loyalitycheck_4_1,So...,No...
wanst_excito_smalltalk_loyalitycheck_5_1,So...,No...
wanst_excito_smalltalk_loyalitycheck_perfect_1_1,I'm gooooood. #1.40 Hell yeah. #2.40 See me jam!,"Mam się śwoooognie. #1.40 Kurde, tak. #2.40 Patrz, jak daję czadu!"
wanst_excito_smalltalk_loyalitycheck_perfect_1_2,Jam it!,Daj czadu!
wanst_excito_smalltalk_loyalitycheck_perfect_1_3,Huuargh!,Huuargh!
wanst_excito_smalltalk_loyalitycheck_great_1_1,I can't wait to kick some butts. #1.50 And deliver the goods!,"Nie mogę się doczekać, żeby komuś skopać tyłek. #1.50 I dostarczyć towar!"
wanst_excito_smalltalk_loyalitycheck_great_1_2,Ok. #1.00 Deliver them to me.,Ok. #1.00 Dostarcz go mnie.
wanst_excito_smalltalk_loyalitycheck_good_1_1,Uhm... #0.80 I'm ok.,Yy... #0.80 W porządku jestem.
wanst_excito_smalltalk_loyalitycheck_good_1_2,Ok plus or...#1.50 ...ok minus?,Ok plus czy... #1.50 ...ok minus?
wanst_excito_smalltalk_loyalitycheck_good_1_3,Just ok.,Po prostu ok.
wanst_excito_smalltalk_loyalitycheck_good_1_4,Ok.,Ok.
wanst_excito_smalltalk_loyalitycheck_medium_1_1,I'm... #0.80 ...a little worried.,Jestem... #0.80 ...trochę zmartwiony.
wanst_excito_smalltalk_loyalitycheck_medium_1_2,Big time or...  #1.50 ...only a little bittle?,Bardzo czy... #1.50 ...tylko troszeczkę?
wanst_excito_smalltalk_loyalitycheck_medium_1_3,A little bittle. #1.10 But you're not making it better.,Troszeczkę. #1.10 Ale ty tego nie poprawiasz.
wanst_excito_smalltalk_loyalitycheck_bummed_1_1,"Uff. #0.70 Can we just get on with it, please?","Uff. #0.70 Możemy po prostu kontynuować, proszę?"
wanst_excito_smalltalk_loyalitycheck_bummed_1_2,"I'll file that under... #1.30 #1.80 ""Bummed""",Zaklasyfikuję to jako... #1.30 #1.80 „Przybity”
wanst_excito_smalltalk_loyalitycheck_angry_1_1,Shut your sausage face!,Zamknij tę swoją kiełbasianą gębę!
wanst_excito_smalltalk_regular_1_1,"Sooo, random fella. #1.50 Where's the exit of this thing?","Noo, przypadkowy gościu. #1.50 Gdzie jest wyjście z tego czegoś?"
wanst_excito_smalltalk_regular_1_2,"When in doubt, just follow your nose!","W razie wątpliwości, po prostu idź za nosem!"
wanst_excito_smalltalk_regular_1_3,My what?,Za czym?
wanst_excito_smalltalk_regular_1_4,Umm... #0.70 You know what? #1.40 Just walk somewhere.,Yy... #0.70 Wiesz co? #1.40 Po prostu idź gdzieś.
wanst_excito_smalltalk_regular_2_1,"So, how did you get here?","No więc, jak tu trafiłeś?"
