key,en,pl
wanst_hubert_address_random_1_1,"Well, look at this little guy!","No proszę, a cóż to za maluch!"
wanst_hubert_address_random_2_1,"Hey, fellow adventurer!","Hej, towarzyszu przygód!"
wanst_hubert_address_reply_1_1,"Hi there, let's escape together!","Witaj, uciekajmy stąd razem!"
wanst_hubert_address_reply_2_1,"Hi there, wanna escape together?","Witaj, może uciekniemy stąd razem?"
wanst_hubert_address_reply_3_1,"Finally, someone else! #1.70 Let's team up!","Nareszcie, ktoś jeszcze! #1.70 Połączmy siły!"
wanst_hubert_addresscaptive_reply_1_1,I'm so hungry! #1.80 Please help me.,"Jestem strasznie głodny! #1.80 Błagam, pomóż mi."
wanst_hubert_addresscaptive_reply_2_1,Finally! #1.00 Someone to rescue me!,"Nareszcie! #1.00 Ktoś, kto mnie uratuje!"
wanst_hubert_addparty_random_1_1,Follow me on my quest!,Chodź ze mną w tę wyprawę!
wanst_hubert_addparty_random_2_1,"Be my shadow, and follow my lead!",Bądź moim cieniem i idź w moje ślady!
wanst_hubert_addparty_random_3_1,Follow me on my journey!,Podążaj ze mną w tę podróż!
wanst_hubert_addparty_reply_1_1,I will follow you everywhere!,Podążę za tobą wszędzie!
wanst_hubert_addparty_reply_2_1,I will follow you anywhere!,Pójdę za tobą wszędzie!
wanst_hubert_addparty_reply_3_1,I will follow you anywhere!,Pójdę za tobą wszędzie!
wanst_hubert_addparty_reply_4_1,"Sure, friend!","Jasne, przyjacielu!"
wanst_hubert_addparty_reply_5_1,"You got it, friend!","Załatwione, przyjacielu!"
wanst_hubert_addpartycaptive_reply_1_1,"Sure, you just need to set me free...","Jasne, tylko musisz mnie najpierw uwolnić..."
wanst_hubert_addpartycaptive_reply_2_1,"Sure, just set me free...","Jasne, po prostu mnie uwolnij..."
wanst_hubert_addpartycaptive_reply_3_1,"Sure, you just need to set me free!","Jasne, wystarczy, że mnie uwolnisz!"
wanst_hubert_askjoin_1_1,Can I be your companion?,Czy mogę być twoim towarzyszem?
wanst_hubert_askjoin_2_1,Can I be your companion?,Czy mogę być twoim towarzyszem?
wanst_hubert_askjoin_3_1,Can we team up?,Możemy połączyć siły?
wanst_hubert_askjoin_4_1,Can we team up?,Możemy połączyć siły?
wanst_hubert_askjoin_5_1,Can I follow you?,Mogę iść z tobą?
wanst_hubert_askjoin_6_1,Can I follow you?,Mogę iść z tobą?
wanst_hubert_askjoin_7_1,Can I follow you?,Mogę iść z tobą?
wanst_hubert_askjoin_8_1,Hey! #0.60 Let's join forces.,Hej! #0.60 Połączmy siły.
wanst_hubert_askjoin_9_1,"Hey, let's join forces.","Hej, połączmy siły."
wanst_hubert_askjoin_10_1,"Hey, let's join forces.","Hej, połączmy siły."
wanst_hubert_askjoin_11_1,"Hey, let's join forces.","Hej, połączmy siły."
wanst_hubert_rejectjoin_random_1_1,"It's every man and turtle for themselves, pal.","Każdy człowiek i żółw dla siebie, koleżko."
wanst_hubert_rejectjoin_random_2_1,"Sorry, but I'm more of a lone warrior.","Wybacz, ale jestem raczej samotnym wojownikiem."
wanst_hubert_rejectjoin_random_3_1,"Sorry pal, I've got plans.","Wybacz koleżko, mam plany."
wanst_hubert_rejectjoin_random_4_1,"There's no ""Wanst"" in team. Sorry.","W słowie """"drużyna"""" nie ma """"Wanst"""". Wybacz."
wanst_hubert_rejectjoin_reply_1_1,I understand. Go alone then.,Rozumiem. W takim razie idź sam.
wanst_hubert_rejectjoin_reply_2_1,I understand. Go alone then.,Rozumiem. W takim razie idź sam.
wanst_hubert_rejectjoin_reply_3_1,I... I understand. Go alone then.,Ja... Rozumiem. W takim razie idź sam.
wanst_hubert_rejectjoin_reply_4_1,"Oh, okay. Nice meeting you, though.","Ach, dobrze. I tak miło było cię poznać."
wanst_hubert_rejectjoin_reply_5_1,"Oh, okay. Nice meeting you, I guess.","Ach, dobrze. Miło było cię poznać, chyba."
wanst_hubert_rejectjoin_reply_6_1,That's... that's okay. I'm a strong tortoise.,To... to nic. Jestem silnym żółwiem.
wanst_hubert_rejectjoin_reply_7_1,That's... that's okay. I'm a strong tortoise. Yeah. Yes I am.,To... to nic. Jestem silnym żółwiem. Tak. Naprawdę.
wanst_hubert_rejectjoin_reply_8_1,That's... that's okay. I'm a strong tortoise. Yeah. Yes I am.,To... to nic. Jestem silnym żółwiem. Tak. Naprawdę.
wanst_hubert_rejectjoin_reply_9_1,I'm a strong tortoise. I'm a strong tortoise. I don't... I don't even need you.,Jestem silnym żółwiem. Jestem silnym żółwiem. Wcale... wcale cię nie potrzebuję.
wanst_hubert_rejectjoin_reply_10_1,Okay... I'll go back into my shell then and work on a plan.,"Dobrze... W takim razie wracam do skorupy, żeby obmyślić plan."
wanst_hubert_rejectjoin_reply_11_1,Okay... I'll go back into my shell then and work on a plan.,"Dobrze... W takim razie wracam do skorupy, żeby obmyślić plan."
wanst_hubert_acceptjoin_random_1_1,Alright!,No dobra!
wanst_hubert_acceptjoin_random_2_1,Yuss!,Tasss!
wanst_hubert_acceptjoin_reply_1_1,Great!,Świetnie!
wanst_hubert_acceptjoin_reply_2_1,Great!,Świetnie!
wanst_hubert_acceptjoin_reply_3_1,Great!,Świetnie!
wanst_hubert_acceptjoin_reply_4_1,So happy!,Ale jestem szczęśliwy!
wanst_hubert_acceptjoin_reply_5_1,So happy!,Ale jestem szczęśliwy!
wanst_hubert_acceptjoin_reply_6_1,So happy!,Ale jestem szczęśliwy!
wanst_hubert_follow_perfect_1_2,"More like, fol-HIGH!","Raczej PODĄŻ, i to na full gazu!"
wanst_hubert_follow_good_1_2,I'm a tortoise.,Jestem żółwiem.
wanst_hubert_follow_good_1_3,"More like, smartoise!",Raczej żółwiedzący!
wanst_hubert_follow_good_2_1,Can you follow?,Potrafisz iść za mną?
wanst_hubert_follow_good_2_2,Follow what?,Iść za czym?
wanst_hubert_follow_good_2_3,"Like, follow me, you know?","No wiesz, iść za mną, kumasz?"
wanst_hubert_follow_good_2_4,Aaaah! #1.10 Your sentence was missing the object.,Aaaa! #1.10 W twoim zdaniu brakowało dopełnienia.
wanst_hubert_follow_good_2_5,"Dude, if you don't stop this... #1.80 My next punch won't miss... #4.20 ITS object.","Ziomek, jeśli tego nie przestaniesz... #1.80 mój następny cios nie zabraknie... #4.20 SWOJEGO dopełnienia."
wanst_hubert_follow_random_1_1,Come on. #0.80 Let's go this way.,Chodź. #0.80 Idziemy tędy.
wanst_hubert_follow_random_2_1,"Follow me, pal!","Chodź za mną, koleżko!"
wanst_hubert_follow_random_3_1,Join me.,Dołącz do mnie.
wanst_hubert_follow_random_4_1,"Follow me, turtleboy.","Chodź za mną, żółwiku."
wanst_hubert_follow_random_5_1,"This way, friendo!","Tędy, przyjacielu!"
wanst_hubert_follow_random_6_1,"Ok, follow me!","Dobra, chodź za mną!"
wanst_hubert_follow_random_7_1,"Ok, follow me!","Dobra, chodź za mną!"
wanst_hubert_follow_random_8_1,Come with me!,Chodź ze mną!
wanst_hubert_follow_random_9_1,"Alright, let's go.","No dobra, idziemy."
wanst_hubert_follow_random_10_1,"Hey, come with me, pal!","Hej, chodź ze mną, koleżko!"
wanst_hubert_follow_random_11_1,Come follow!,Chodź za mną!
wanst_hubert_follow_random_12_1,"Come along, pal.","Chodź ze mną, koleżko."
wanst_hubert_follow_random_13_1,"Come with me, pal!","Chodź ze mną, koleżko!"
wanst_hubert_follow_random_14_1,Follow me!,Chodź za mną!
wanst_hubert_follow_random_15_1,Follow me!,Chodź za mną!
wanst_hubert_follow_random_16_1,Chop chop. Let's go.,"Szybko, szybko. Idziemy."
wanst_hubert_follow_random_17_1,Come on!,No chodź!
wanst_hubert_follow_random_18_1,"Let's go, pal!","Idziemy, koleżko!"
wanst_hubert_follow_reply_perfect_1_1,So happy together!,Ale jesteśmy razem szczęśliwi!
wanst_hubert_follow_reply_perfect_2_1,So happy together!,Ale jesteśmy razem szczęśliwi!
wanst_hubert_follow_reply_great_1_1,"Alright, yes!","No dobra, tak!"
wanst_hubert_follow_reply_great_2_1,"Yeah, alright!","Tak, dobra!"
wanst_hubert_follow_reply_great_3_1,"Alright, yes Sir!","Tak jest, panie!"
wanst_hubert_follow_reply_great_4_1,Thank you so much for choosing me.,"Bardzo dziękuję, że mnie wybrałeś."
wanst_hubert_follow_reply_great_5_1,Nice! #0.80 Thanks for choosing me.,"Super! #0.80 Dzięki, że mnie wybrałeś."
wanst_hubert_follow_reply_great_6_1,Nice! #1.30 Thanks for choosing me.,"Super! #1.30 Dzięki, że mnie wybrałeś."
wanst_hubert_follow_reply_great_7_1,Alrightsies!,Dobrziutko!
wanst_hubert_follow_reply_great_8_1,Yeeees!,Taaak!
wanst_hubert_follow_reply_good_1_1,Sure!,Jasne!
wanst_hubert_follow_reply_good_2_1,"Right on, I'm a tortoise... #1.40 That's my special skill.","No jasne, jestem żółwiem... #1.40 To moja specjalna umiejętność."
wanst_hubert_follow_reply_good_3_1,Oookay.,Nooo dobra.
wanst_hubert_follow_reply_good_4_1,Alright...,Dobra...
wanst_hubert_follow_reply_medium_1_1,"Well, you are my friend after all...","Cóż, w końcu jesteś moim przyjacielem..."
wanst_hubert_follow_reply_medium_2_1,"Well, you are my friend after all...","Cóż, w końcu jesteś moim przyjacielem..."
wanst_hubert_follow_reply_medium_3_1,"Well, y-y-you are my friend after all...","Cóż, w-w-w końcu jesteś moim przyjacielem..."
wanst_hubert_follow_reply_medium_4_1,It's not leading to any harm... #2.00 is it?,To nie prowadzi do niczego złego... #2.00 prawda?
wanst_hubert_follow_reply_medium_5_1,"You're not leading me into harm's way, right?","Nie prowadzisz mnie prosto w niebezpieczeństwo, prawda?"
wanst_hubert_follow_reply_medium_6_1,"Please be nice, ok?","Bądź dla mnie miły, dobrze?"
wanst_hubert_follow_reply_bummed_1_1,I'm surprised I'm still doing this... #1.90 but okay.,"Sam się dziwię, że wciąż to robię... #1.90 no ale dobra."
wanst_hubert_follow_reply_bummed_2_1,Ugh not again... #2.00 Oh well.,"Uch, znowu to... #2.00 No trudno."
wanst_hubert_follow_reply_bummed_3_1,"Ugh, again!? #1.30 Oh well.","Uch, znowu!? #1.30 No trudno."
wanst_hubert_follow_reply_bummed_4_1,Uh I can't stand this anymore. #2.10 Whatever.,"Uch, już tego nie zniosę. #2.10 A, mniejsza."
wanst_hubert_follow_reply_bummed_5_1,I can't stand this anymore. #2.00 But whatever.,"Już tego nie zniosę. #2.00 Ale, mniejsza."
wanst_hubert_follow_reply_bummed_6_1,Man you demand quite a bit!,Ale z ciebie wymagający typ!
wanst_hubert_follow_reply_bummed_7_1,"Man you're demanding and demanding, jeez! #3.50 So many demands...","No i wymagasz, i wymagasz, rety! #3.50 Same wymagania..."
wanst_hubert_follow_reply_angry_1_1,"Alright, whatever. #1.30 Can't get any worse anyway...","No dobra, mniejsza. #1.30 I tak gorzej być nie może..."
