key,en,pl
wanst_evelius_carry_weight_1_1,"You're going too fast! #2.20 Do not lose that weight until the next floor, ok?","Ho, ho, nie tak szybko! #2.20 Nie zgub tego ciężaru, zanim dotrzesz na następne piętro, dobrze?"
wanst_evelius_carry_weight_2_1,Hey. #1.00 How about you take this massive weight... #3.20 ...and bring it back to me?,"Hej. #1.00 Co powiesz na to, żeby wziąć ten ogromny ciężar... #3.20 ...i przynieść mi go z powrotem?"
wanst_evelius_carry_weight_3_1,"Hey, I really need this on the next floor. #2.50 Take it with you, ok?","Hej, naprawdę potrzebuję tego na następnym piętrze. #2.50 Weź to ze sobą, dobra?"
wanst_evelius_carry_weight_4_1,May I... #1.30 ...weigh in? #2.00 #2.40 Carry this to the next floor for me please.,"Czy mogę... #1.30 ...coś zaważyć w tej sprawie? #2.00 #2.40 Zanieś to na następne piętro, dobrze?"
wanst_evelius_carry_weight_5_1,Whoa pal. #1.50 Slow down! #2.50 #3.00 Let's see how fast you'll go with this juggernaut... #5.20 ...until the next floor.,"Wolnego, koleżko. #1.50 Zwolnij! #2.50 #3.00 Zobaczmy, jak szybko pobiegniesz z tym kolosem... #5.20 ...aż do następnego piętra."
wanst_evelius_carry_weight_1_2,A comically large weight...#1.90 #2.20 But I'm not laughing.,Komicznie wielki ciężar...#1.90 #2.20 Ale wcale mi nie do śmiechu.
wanst_evelius_carry_weight_2_2,This seems a bit...#1.00 #1.40 ...heavy handed.,Ta sprawa wydaje się trochę...#1.00 #1.40 ...przytłaczająca. Dosłownie.
wanst_evelius_carry_weight_3_2,I always wanted to be a weighter.,Zawsze chciałem być kimś ważkim.
wanst_evelius_carry_weight_4_2,See how I juggle this baby!,"Patrz, jak żongluję tym maluchem!"
wanst_evelius_carry_weight_success_1_1,Careful!,Ostrożnie!
wanst_evelius_carry_weight_success_2_1,Uh la la!,Uh la la!
wanst_evelius_carry_weight_drop_1_1,Enough working out for today.,Wystarczy ćwiczeń jak na dziś.
wanst_evelius_carry_weight_leave_1_1,No! I'm never gonna lose weight!,Nie! Nigdy nie zrzucę tej wagi!
wanst_evelius_carry_weight_leave_wrapup_1_1,I can see that...,Widzę to wyraźnie...
wanst_evelius_carry_weight_fail_1_1,"Uhm, you got the weight?","Hmm, masz ten ciężar?"
wanst_evelius_carry_weight_fail_1_2,Wait for what?,Jaki znowu ciężar?
wanst_evelius_carry_weight_fail_1_3,Imbecile!,Imbecylu!
wanst_evelius_carry_mingvase_1_1_a,Okay. #1.00 Let's teach you a little sensitivity.,Dobra. #1.00 Nauczmy cię odrobiny wrażliwości.
wanst_evelius_carry_mingvase_1_1_b,Carry this delicate vase to the next floor.,Zanieś ten delikatny wazon na następne piętro.
wanst_evelius_carry_mingvase_1_1_c,Carry this delicate vase to the next floor.,Zanieś ten delikatny wazon na następne piętro.
wanst_evelius_carry_mingvase_1_2_a,Alright! #0.80 #1.10 Break it 'til you make it!,"Dobra! #0.80 #1.10 Tłucz, aż osiągniesz sukces!"
wanst_evelius_carry_mingvase_1_2_b,Alright! #0.80 #1.10 Break it 'til you make it!,"Dobra! #0.80 #1.10 Tłucz, aż osiągniesz sukces!"
wanst_evelius_carry_mingvase_1_2_c,Alright! #0.80 #1.10 Break it 'til you make it!,"Dobra! #0.80 #1.10 Tłucz, aż osiągniesz sukces!"
wanst_evelius_carry_mingvase_success_1_1,Nice. #0.90 #1.30 I thought you'd break your promise.,"Ładnie. #0.90 #1.30 Myślałem, że złamiesz obietnicę."
wanst_evelius_carry_mingvase_success_1_2,Vase that a subtle insult right there?,Ten komplement miał chyba rysę.
wanst_evelius_mingvase_break_1_1_a,What the...?! #1.10 I haven't even left yet!,Co jest...?! #1.10 Jeszcze nawet nie wyszedłem!
wanst_evelius_mingvase_break_1_1_b,What the...?! I haven't even left yet!,Co jest...?! Jeszcze nawet nie wyszedłem!
