key,en,pl
evilwanst_wanst_1_1_f,Nice style. Shame I wear it better.,"Niezły styl. Szkoda, że na mnie leży lepiej."
evilwanst_wanst_1_1_g,This is confusing. I vote we fight.,To jest mylące. Głosuję za walką.
evilwanst_wanst_1_1_h,Blasphemy!,Bluźnierstwo!
evilwanst_wanst_1_2_g,I was about to say the same!,Właśnie miałem powiedzieć to samo!
wanst_finalfight_heartdestroy_1_1,Whoa!,Łoł!
wanst_finalfight_heartdestroy_2_1,That's it!,To tyle!
wanst_finalfight_heartdestroy_3_1,Done!,Zrobione!
wanst_finalfight_heartdestroy_4_1,Done!,Zrobione!
wanst_encounter_finaltower_grim00_1_1,Huh?,Hę?
wanst_encounter_finaltower_grim01_1_1,"Mmm, I see... #2.00 immortality sure is nice, but... #4.30 a true hero must make the greatest sacrifice #7.20 to gain ultimate virtue. #9.50 For honor!","Mmm, rozumiem... #2.00 nieśmiertelność jest oczywiście miła, ale... #4.30 prawdziwy bohater musi złożyć największą ofiarę, #7.20 aby zdobyć najwyższą cnotę. #9.50 Za honor!"
wanst_encounter_finaltower_grim02_1_1,Dying wasn't something I was ever good at. #2.50 But thanks for the warning!,Umieranie nigdy nie było moją mocną stroną. #2.50 Ale dzięki za ostrzeżenie!
wanst_encounter_finaltower_grim03_1_1,There are no more traps in this tower... #2.60 Right?,W tej wieży nie ma już pułapek... #2.60 Prawda?
wanst_encounter_finaltower_grim04_1_1,I never knew what fear was... #2.30 Guess I learned a thing today.,"Nigdy nie wiedziałem, czym jest strach... #2.30 Chyba dziś się czegoś nauczyłem."
wanst_encounter_finaltower_grim05_1_1,I don't believe in death. #1.50 Never happened to me.,Nie wierzę w śmierć. #1.50 Nigdy mi się nie przytrafiła.
wanst_encounter_finaltower_grim06_1_1,"I always thought my quest was about #2.00 becoming immortal, but... #4.30 that's why I never make any plans.","Zawsze myślałem, że moja misja polega na #2.00 zostaniu nieśmiertelnym, ale... #4.30 właśnie dlatego nigdy niczego nie planuję."
wanst_encounter_finaltower_grim07_1_1,"At last, there's only one life #2.30 and one Wanst left - #4.50 My true self! #6.70 Better not die now, though.",Nareszcie zostało tylko jedno życie #2.30 i jeden Wanst - #4.50 moje prawdziwe ja! #6.70 Lepiej teraz nie umrzeć.
wanst_encounter_finaltower_grim08_1_1,"With the evil magic gone, #2.00 there're no second chances. #4.00 Better watch my step.","Gdy zła magia zniknęła, #2.00 nie ma drugich szans. #4.00 Lepiej patrzeć pod nogi."
wanst_encounter_finaltower_grim09_1_1,True immortality lies in being remembered. #3.50 Right?,Prawdziwa nieśmiertelność tkwi w byciu zapamiętanym. #3.50 Prawda?
wanst_encounter_finaltower_grim09_1_2,True mortality is being dismembered.,Prawdziwa śmiertelność to bycie rozczłonkowanym.
wanst_encounter_finaltower_grim10_1_1,"I usually never think ahead, but... #2.30 Today I'll make an exception.","Zwykle nigdy nie myślę naprzód, ale... #2.30 Dziś zrobię wyjątek."
wanst_encounter_finaltower_grim11_1_1,Immortality needs me #1.80 more than I need it.,Nieśmiertelność potrzebuje mnie #1.80 bardziej niż ja jej.
barkeeper_evelius_resurrect_1_1,Master! #1.20 I stole one of these drinks to bring you back to life! #5.00 Take this!,"Panie! #1.20 Ukradłem jeden z tych napojów, żeby przywrócić cię do życia! #5.00 Weź to!"
wanst_barkeeper_first_evelius_1_1,"Master! #1.20 You grace your faithful servant with your presence, hehe! #5.00 Want to inspect the teleporters?","Panie! #1.20 Zaszczycasz wiernego sługę swoją obecnością, hehe! #5.00 Chcesz obejrzeć teleportery?"
wanst_barkeeper_acceptdrink_evelius_1_1,"Yes, let me check if everything is still... #3.70 ...in order.","Tak, sprawdzę, czy wszystko nadal jest... #3.70 ...w porządku."
wanst_barkeeper_rejectdrink_evelius_1_1,No. #0.60 Just enjoying some time off work.,Nie. #0.60 Po prostu cieszę się wolnym od pracy.
wanst_topoftower_38_1,Hey! #0.90 I still need to wash my hands!,Hej! #0.90 Nadal muszę umyć ręce!
wanst_topoftower_39_1,You think I'm locked in this tower with you? #2.80 You're locked in here with me!,"Myślisz, że jestem zamknięty w tej wieży z tobą? #2.80 To ty jesteś tu zamknięty ze mną!"
wanst_topoftower_40_1,Sometimes it feels like #1.40 I spend more time here than at home.,"Czasem mam wrażenie, #1.40 że spędzam tu więcej czasu niż w domu."
wanst_topoftower_41_1,Just a hole in the floor? #1.90 I thought more highly of this tavern.,Tylko dziura w podłodze? #1.90 Miałem o tej karczmie lepsze mniemanie.
wanst_topoftower_42_1,To plunder!,Na plądrowanie!
wanst_topoftower_43_1,I was teleported? #1.90 Good. #2.50 Because I think I clogged the toilet.,Zostałem teleportowany? #1.90 Dobrze. #2.50 Bo chyba zatkałem toaletę.
wanst_topoftower_44_1,"Ugh, I'm never gonna drink again! #3.20 Except for big holidays. #5.00 And when invited. #6.50 And - well... #7.50 There will be exceptions.","Ugh, nigdy więcej nie piję! #3.20 Poza wielkimi świętami. #5.00 I gdy mnie zaproszą. #6.50 I - no cóż... #7.50 Będą wyjątki."
wanst_topoftower_45_1,I should really stop completely undressing #2.80 before going to the bathroom.,Naprawdę powinienem przestać całkiem się rozbierać #2.80 przed pójściem do łazienki.
wanst_topoftower_46_1,In the flesh!,We własnej osobie!
wanst_topoftower_47_1,"Gee, I hope my waste didn’t teleport anywhere close by... #3.30 I feel like I lost five pounds!","Rety, mam nadzieję, że moje odpady nie teleportowały się gdzieś blisko... #3.30 Czuję się lżejszy o pięć funtów!"
wanst_topoftower_48_1,Sigh… #1.20 I wish Dr. Lockengold was here…. #3.50 He’d know exactly what to do,"Ech... #1.20 Szkoda, że nie ma tu doktora Lockengolda... #3.50 On wiedziałby dokładnie, co robić"
wanst_topoftower_49_1,Never fear! #1.10 Von Wanst is here!,Nie lękajcie się! #1.10 Von Wanst zjawił się!
wanst_topoftower_50_1,I thought that lever flushed...,"Myślałem, że ta dźwignia spuszcza wodę..."
wanst_topoftower_51_1,Wow! #0.90 A toilet that turns into a tower. #3.00 So cutting edge!,"Wow! #0.90 Toaleta, która zmienia się w wieżę. #3.00 Ale nowoczesność!"
wanst_topoftower_52_1,Out of the smell. #1.20 Into the stench!,Ze smrodu. #1.20 W odór!
wanst_topoftower_53_1,I'm going to take #1.00 two stars off of my review #3.00 due to the bathroom experience!,Odejmę #1.00 dwie gwiazdki w recenzji #3.00 za doświadczenie łazienkowe!
wanst_topoftower_54_1,I think my nostril hairs have switched places.,Chyba włosy w moich nozdrzach zamieniły się miejscami.
wanst_topoftower_55_1,Where did this underwear come from? #2.30 I always go commando!,Skąd się wzięła ta bielizna? #2.30 Ja zawsze chodzę bez!
wanst_topoftower_peasant_8_1,You know what farmers do best? #2.00 They reap.,"Wiesz, co rolnicy robią najlepiej? #2.00 Zbierają plony."
row56,//new item names!,//nowe nazwy przedmiotów!
row57,A fruity halberd.,Owocowa halabarda.
row58,A fruity spear.,Owocowa włócznia.
row59,An eggplant.,Bakłażan.
row60,A turnip.,Rzepa.
row61,A carrot.,Marchewka.
row62,A pineapple.,Ananas.
row63,A banana.,Banan.
wanst_headroom_vest_1_1,A vest.,Kamizelka.
row65,A shirt with a cape.,Koszula z peleryną.
row66,A suit of two-colored armor with a cloak.,Dwukolorowa zbroja z płaszczem.
wanst_headroom_knightarmor_1_1,A suit of checkered armor.,Zbroja w szachownicę.
row68,A suit of black and white armor.,Czarno-biała zbroja.
row69,A suit of black and red armor.,Czarno-czerwona zbroja.
row70,A suit of black and green armor.,Czarno-zielona zbroja.
row71,A suit of black and yellow armor.,Czarno-żółta zbroja.
row72,A suit of black and purple armor.,Czarno-fioletowa zbroja.
row73,A suit of black and blue armor.,Czarno-niebieska zbroja.
row74,A suit of red and blue armor.,Czerwono-niebieska zbroja.
row75,A suit of red and white armor.,Czerwono-biała zbroja.
wanst_headroom_knighthelmet_1_1,A helmet with a plume.,Hełm z pióropuszem.
row77,A helmet with a white plume.,Hełm z białym pióropuszem.
row78,A helmet with a green plume.,Hełm z zielonym pióropuszem.
row79,A helmet with a yellow plume.,Hełm z żółtym pióropuszem.
row80,A helmet with a purple plume.,Hełm z fioletowym pióropuszem.
row81,A helmet with a blue plume.,Hełm z niebieskim pióropuszem.
wanst_headroom_knightshield_1_1,A shield with a two-colored cross.,Tarcza z dwukolorowym krzyżem.
row83,A winged helmet.,Skrzydlaty hełm.
wanst_headroom_scimitar_1_1,A scimitar.,Bułat.
row85,A leg of meat.,Udziec mięsa.
row86,A leather shield.,Skórzana tarcza.
row87,A leather helmet.,Skórzany hełm.
wanst_headroom_sapphire_1_1,A sapphire.,Szafir.
wanst_headroom_topaz_1_1,A topaz.,Topaz.
wanst_headroom_amethyst_1_1,An amethyst.,Ametyst.
wanst_headroom_cleardiamond_1_1,A clear diamond.,Przezroczysty diament.
wanst_headroom_blackdiamond_1_1,A black diamond.,Czarny diament.
wanst_headroom_emerald_1_1,An emerald.,Szmaragd.
row94,//small disc(wanst- headroom),//mały dysk (Wanst - headroom)
row95,//medium disc(wanst- headroom),//średni dysk (Wanst - headroom)
row96,//big disc(wanst- headroom),//duży dysk (Wanst - headroom)
row97,//eyes jar(wanst- headroom),//słoik z oczami (Wanst - headroom)
row98,//teeth jar(wanst- headroom),//słoik z zębami (Wanst - headroom)
wanst_headroom_monsterarmorrusty_1_1,A green chainmail shirt.,Zielona koszula z kolczugi.
row100,//box of explosives (wanst- headroom),//pudełko materiałów wybuchowych (Wanst - headroom)
row101,A broccoli mace.,Brokułowa buława.
row137,"Good choice, hehe.","Dobry wybór, hehe."
row138,Hehehe...,Hehehe...
row139,"Thanks, hehe.","Dzięki, hehe."
row140,Mjamm!,Mniam!
row143,//Short Evelius Punishment,//Krótka kara Eveliusa
wanst_evelius_punish_good_4_1,Get going!,Ruszaj!
wanst_evelius_punish_good_5_1,Enough!,Dość!
wanst_evelius_punish_good_6_1,I'm out!,Odpadam!
