key,en,pl
wanst_topoftower_1_1,Oh great. #0.80 ...a cold and deadly tower is just the place #3.00I love to start my adventures in.,"O świetnie. #0.80 ...zimna i śmiercionośna wieża to dokładnie takie miejsce, #3.00w którym uwielbiam zaczynać swoje przygody."
wanst_topoftower_2_1,"I just got randomly teleported into this #2.30 dark dungeon. #3.20 Might as well just jump down this hole right here, huh?","Właśnie zostałem losowo #2.30 teleportowany do tego mrocznego lochu. #3.20 Równie dobrze mogę skoczyć w ten oto otwór, co nie?"
wanst_topoftower_3_1,Hmmm... #1.10 A creepy #2.00 dark hole.#2.80 I have no armor #4.10 and not even a stick to protect me...#6.00 What could possibly go wrong?,"Hmmm... #1.10 Upiorna #2.00 mroczna dziura.#2.80 Nie mam zbroi #4.10 ani nawet kija, by się bronić...#6.00 Co może pójść nie tak?"
wanst_topoftower_4_1,"I uh... #1.00 Don't remember taking off any of my clothes. #3.50 No matter, #4.30 my strength comes from deep within. #6.50 Come at me, mysteriously dangerous tower!","Ja yy... #1.00 Nie pamiętam, żebym zdejmował ubranie. #3.50 Nieważne, #4.30 moja siła płynie z głębi duszy. #6.50 Dawaj, tajemniczo niebezpieczna wieżo!"
wanst_topoftower_5_1,Oh look. #0.80 A creepy hole. #2.00 I bet there's nothing bad down here.,"O, patrzcie. #0.80 Upiorna dziura. #2.00 Założę się, że nic złego tu na dole nie ma."
wanst_topoftower_6_1,Oh wow. #0.80 Cold. #1.60  Dank. #2.20 Roomy. #3.20 Just my kind of place...,O rety. #0.80 Zimno. #1.60 Wilgotno. #2.20 Przestronnie. #3.20 Dokładnie w moim typie...
wanst_topoftower_7_1,"Alright, I'm ready! #2.00   #3.00 Uhmm, uh. #4.30 Yeah whatever! #5.00Who needs gear?","Dobra, jestem gotowy! #2.00 #3.00 Yyym, yy. #4.30 No i co z tego! #5.00Kto potrzebuje ekwipunku?"
wanst_topoftower_8_1,"Erm, is it cold in here #1.50 or is it just me? #2.40  #3.00 Oh, it is just me... #4.60 No matter, I'm sure there's something around here to protect my #8.00 powerful physique. #9.50 Have at me, creepy tower!","Yy, czy tu jest zimno, #1.50 czy tylko mi się wydaje? #2.40 #3.00 A, to tylko mi się wydaje... #4.60 Nieważne, na pewno znajdzie się tu coś, co osłoni moją #8.00 potężną fizyczność. #9.50 Dawaj, upiorna wieżo!"
wanst_topoftower_9_1,Alright! #1.00 Let's do this! #2.00 Where's the dressing room?,Dobra! #1.00 Zróbmy to! #2.00 Gdzie jest przebieralnia?
wanst_topoftower_10_1,"Okey dokey, time to get pokey! #2.70 But first, where's the dressing room?","Oki-doki, czas podziurawić im boki! #2.70 Ale najpierw, gdzie jest przebieralnia?"
wanst_topoftower_11_1,"Okey, order up for Mr. Slap and Tickle. #3.30 Several punches and jabs - extra tight delivery. #7.00 Where do you want this knuckle sandwich?","Okej, zamówienie dla Pana Klapsa i Łaskotki. #3.30 Kilka ciosów i sierpowych - dostawa w ekspresowym tempie. #7.00 Gdzie dostarczyć tę kanapkę z pięścią?"
wanst_topoftower_12_1,It's times like this I am very glad I spend #2.25 hours every day getting in shape for #4.50 the next adventure. #5.50 My hair is a very delicate thing #7.00 and takes ages to look right.,"To właśnie w takich chwilach cieszę się, że spędzam #2.25 godziny każdego dnia na dbaniu o formę przed #4.50 kolejną przygodą. #5.50 Moje włosy to bardzo delikatna sprawa #7.00 i zajmuje wieki, zanim wyglądają jak trzeba."
wanst_topoftower_13_1,"Since I'm starting at the top, #1.40 it can't be too hard to get to the bottom. #3.60 #4.20 Right?","Skoro zaczynam na szczycie, #1.40 nie może być zbyt trudno dostać się na dół. #3.60 #4.20 Prawda?"
wanst_topoftower_14_1,At least they didn't take my haircut. #2.00 It's where my strength comes from. #4.00 And my beauty...,Przynajmniej nie zabrali mi fryzury. #2.00 To z niej płynie moja siła. #4.00 I uroda...
wanst_topoftower_15_1,I was born ready. # And without clothes... # Bring it on!,Urodziłem się gotowy. # I bez ubrania... # Dawajcie!
wanst_topoftower_16_1,"It seems like a bad decision brought me here, # but I'm not really sure what.","Wygląda na to, że jakaś zła decyzja mnie tu sprowadziła, # ale nie jestem pewien jaka."
wanst_topoftower_17_1,Hey I wonder whatever happened to that guy #1.80 whose beard I stole.,"Hej, zastanawiam się, co się stało z tym gościem, #1.80 któremu ukradłem brodę."
wanst_topoftower_18_1,Aw snap! # Here we go again...,A niech to! # Znowu to samo...
wanst_topoftower_19_1,"Ah man, # I hate it when this happens.","Ech, stary, # nienawidzę, kiedy to się dzieje."
wanst_topoftower_20_1,I came here to kick spines and spit lines. #3.20 And I'm all out of spines...,"Przyszedłem tu, żeby kopać kręgosłupy i rzucać tekstami. #3.20 A skończyły mi się kręgosłupy..."
wanst_topoftower_21_1,When I get out of here #1.20 I'm gonna publish my theory #2.70 about why I'm here #3.60 and become the world leading #5.25 metaphysississt. #6.70 Meta...physs.... #8.00 Science!,"Kiedy się stąd wydostanę, #1.20 opublikuję swoją teorię #2.70 o tym, czemu tu jestem #3.60 i zostanę czołowym na świecie #5.25 metafizycznologiem. #6.70 Meta...fizy.... #8.00 Nauka!"
wanst_topoftower_22_1,Neato towereato!,Fajniasta wieżasta!
wanst_topoftower_23_1,And so my quest continues. #2.60 I will accept nothing less than eternal glory #5.00 as my reward.,I tak oto moja wyprawa trwa dalej. #2.60 Nie przyjmę niczego mniej niż wieczną chwałę #5.00 jako nagrodę.
wanst_topoftower_24_1,A shifty place calls for a nifty face!,Ciemna okolica wymaga sprytnego lica!
wanst_topoftower_25_1,I smell the stench of high adventure #2.30 in this moldy tower!,Czuję smród wielkiej przygody #2.30 w tej spleśniałej wieży!
wanst_topoftower_26_1,"You can take my clothes, #1.60 but you will never, #3.00 ever, #3.60 take my hair!","Możecie zabrać mi ubranie, #1.60 ale nigdy, #3.00 przenigdy, #3.60 nie zabierzecie mi włosów!"
wanst_topoftower_27_1,Whoa! #0.70 What a twist!,Ojej! #0.70 Co za zwrot akcji!
wanst_topoftower_28_1,This might be one of few situations #2.40 where my yodeling diploma #4.80 is rendered useless.,"To może być jedna z niewielu sytuacji, #2.40 w których mój dyplom z jodłowania #4.80 okazuje się bezużyteczny."
wanst_topoftower_29_1,That teleport company better have good customer support!,Ta firma teleportacyjna lepiej niech ma dobrą obsługę klienta!
wanst_topoftower_30_1,Cool beans! #2.10 Where are my pants?,Ale klawo! #2.10 Gdzie moje spodnie?
wanst_topoftower_31_1,"Damn, #1.00 I fell for that old teleport prank again!","Cholera, #1.00 znowu dałem się nabrać na ten stary kawał z teleportem!"
