key,en,pl
wanst_riddlemaster_start_1_1,Hold it! #0.90 Only those of greatest wit shall pass!,Stój! #0.90 Tylko najtęższe umysły przejdą tędy!
wanst_riddlemaster_start_2_1,Not so fast. #2.00 A riddle must be solved to pass!,"Nie tak szybko. #2.00 Musisz rozwiązać zagadkę, by przejść!"
wanst_riddlemaster_start_3_1,Wait! #0.70 Solve a riddle and you shall proceed.,"Czekaj! #0.70 Rozwiąż zagadkę, a będziesz mógł iść dalej."
wanst_riddlemaster_start_4_1,"Hey, if you're more than a kiddle, #2.20 you'll solve this riddle:","Hej, jeśli twój łepek to nie pustka gładka, #2.20 poradzisz sobie z tą oto zagadką."
wanst_riddlemaster_start_5_1,"Hold on! #1.00 Only if you know, you go.","Czekaj! #1.00 Tylko ten, kto wie, ruszy w dalszą drogę."
wanst_riddlemaster_start_6_1,"Hold on! #1.50 Only if you know, you go.","Czekaj! #1.50 Tylko ten, kto wie, ruszy w dalszą drogę."
wanst_riddlemaster_start_7_1,Wait! #0.70 You must prove yourself worthy of this path first!,"Czekaj! #0.70 Najpierw musisz udowodnić, że zasługujesz na tę drogę!"
wanst_riddlemaster_start_8_1,I have a riddle for you. #2.10 Find the answer to pass through.,"Mam dla ciebie zagadkę. #2.10 Znajdź odpowiedź, by przejść dalej."
wanst_riddlemaster_address_1_1,Alright. #0.70 Give it to me!,Dobra. #0.70 Dawaj tę zagadkę!
wanst_riddlemaster_address_2_1,Easy! #0.80 What's your riddle?,Łatwizna! #0.80 Jaka to zagadka?
wanst_riddlemaster_address_3_1,With my enormous wit. #2.20 Of this riddle I'll get... #4.10 rid.,"Dzięki memu ogromnemu sprytowi, #2.20 zagadka nie oprze się... #4.10 mojemu dowcipowi."
wanst_riddlemaster_address_4_1,"Meet your master, Riddle Blaster!",Poznaj swojego mistrza - Zagadkowego Łomcę!
wanst_riddlemaster_address_5_1,"Meet your master, Riddle Blaster!",Poznaj swojego mistrza - Zagadkowego Łomcę!
wanst_riddlemaster_success_1_1,Yesss... Impressive!,Taaak... Imponujące!
wanst_riddlemaster_success_2_1,Yesss... Impressive!,Taaak... Imponujące!
wanst_riddlemaster_success_3_1,Well done.,Dobra robota.
wanst_riddlemaster_success_4_1,Well done.,Dobra robota.
wanst_riddlemaster_success_5_1,Alright! #1.30 Top dart on the smart chart. #3.90 Cheers.,"Świetnie! #1.30 Strzał w dziesiątkę, sprytna głowo. #3.90 Brawo."
wanst_riddlemaster_success_6_1,Very well! #1.20 Off you go.,Bardzo dobrze! #1.20 Możesz iść.
wanst_riddlemaster_fail_1_1,No one has ever given a dumber answer!,Nikt nigdy nie udzielił głupszej odpowiedzi!
wanst_riddlemaster_fail_2_1,Nooo. #1.00 That is an insult to my riddle.,Nooo. #1.00 To zniewaga dla mojej zagadki.
wanst_riddlemaster_fail_3_1,Wrong!,Źle!
wanst_riddlemaster_played_1_1,"Alright, here's another riddle: #1.80 How the hell could you get this far?","Dobra, oto kolejna zagadka: #1.80 Jak, do diabła, udało ci się zajść aż tak daleko?"
wanst_riddlemaster_played_2_1,Only one try per person!,Jedna próba na osobę!
wanst_riddlemaster_played_3_1,This is not your place. #2.10 Learn to live with your shame.,To nie jest miejsce dla ciebie. #2.10 Naucz się żyć z tym wstydem.
wanst_riddlemaster_played_4_1,They say the simple-minded live happier lives. #3.20 Enjoy!,Podobno prostacy żyją szczęśliwiej. #3.20 Ciesz się życiem!
wanst_riddlemaster_annoyed_1_1,You're still around? #1.50 Get on with it fleshbag!,"Ciągle tu jesteś? #1.50 Rusz się, worku mięsa!"
wanst_riddlemaster_annoyed_2_1,"You are not the only adventurer in this tower, you know?","Wiesz, że nie jesteś jedynym śmiałkiem w tej wieży?"
wanst_riddlemaster_annoyed_3_1,"Ok, you won, #1.80 no need to rub it in.","Ok, wygrałeś, #1.80 nie musisz się nad tym tak rozwodzić."
wanst_riddlemaster_annoyed_4_1,"Move on, #1.00 you are scaring new customers away.","Idź dalej, #1.00 płoszysz mi nowych klientów."
wanst_riddlemaster_riddle_ironarmor_1_1,"This object sounds like love, but was made for war. How iron-ic, eh? What do I mean?","Brzmię jak coś, czym prasuje się koszule, ale wykuto mnie do wojny. Że-lazny to żart, co? O czym mówię?"
wanst_riddlemaster_answer_ironarmor_1_1,An iron armor you amorous poet.,"Zbroja z żelaza, ty zakochany poeto."
wanst_riddlemaster_answer_ironarmor_2_1,An iron armor you amorous poet.,"Zbroja z żelaza, ty zakochany poeto."
