key,en,pl
wanst_encounter_brains_1_1,Anyone need some spare brains? #2.50 I got plenty already. #3.70 So I'm gonna be generous here...,Komuś przydałby się zapasowy mózg? #2.50 Ja już mam ich pod dostatkiem. #3.70 Więc tym razem będę hojny...
wanst_encounter_brains_2_1,"Mmmm, brains!","Mmmm, mózgi!"
wanst_encounter_brains_3_1,"Mmmm, brains! #1.50 Just like mom used to make.","Mmmm, mózgi! #1.50 Dokładnie takie, jakie robiła mama."
wanst_encounter_brains_4_1,"I wonder if I'll absorb the knowledge of the tower #2.80 if I eat those brains. #4.60 Mmm, better not risk it...","Zastanawiam się, czy wchłonę wiedzę tej wieży, #2.80 jeśli zjem te mózgi. #4.60 Mmm, lepiej nie ryzykować..."
wanst_encounter_brains_5_1,I didn't know people put their brains in jars when they go to sleep...,"Nie wiedziałem, że ludzie chowają mózgi do słoików, kiedy idą spać..."
wanst_encounter_brains_6_1,I wonder if the people they got these brains from #2.40 are living a more unburdened life now?,"Zastanawiam się, czy ludzie, którym zabrano te mózgi, #2.40 żyją teraz beztroskim życiem?"
wanst_encounter_broccoli_1_1,Broccoli! #1.00 My worst enemy! #3.30 So we meet again...,Brokuły! #1.00 Mój najgorszy wróg! #3.30 A więc znów się spotykamy...
wanst_encounter_broccoli_2_1,I hate broccoli!,Nienawidzę brokułów!
wanst_encounter_eyes_1_1,Hey pal... #0.90 Eyes up here!,"Hej, koleś... #0.90 Oczy tutaj, na górze!"
wanst_encounter_eyes_2_1,I know I'm handsome... #1.70 But I wish those creepy eyes #3.20 wouldn't stare at me like that.,"Wiem, że jestem przystojny... #1.70 Ale wolałbym, żeby te przerażające oczy #3.20 tak się we mnie nie wpatrywały."
wanst_encounter_eyes_3_1,"Get a good look, boys. #1.50 It's the most handsome thing you're going to see today.","Napatrzcie się, chłopcy. #1.50 To najprzystojniejsza rzecz, jaką zobaczycie dzisiaj."
wanst_encounter_eyes_4_1,I spy with my little eye.,"Widzę, widzę, co widzę."
wanst_encounter_frog_1_1,'sup frog!,"Co tam, żabo!"
wanst_encounter_frog_2_1,Did you know all amphibians have toxic skin? #3.40 I found out the hard way...,"Wiedzieliście, że wszystkie płazy mają toksyczną skórę? #3.40 Przekonałem się o tym na własnej skórze..."
wanst_encounter_frog_3_1,"If I lick you, do you turn into a prince? #2.70 Or do I just hallucinate?","Jeśli cię polizę, zmienisz się w księcia? #2.70 Czy po prostu zacznę mieć halucynacje?"
wanst_encounter_frog_4_1,Hello Mr Frog. #1.50 I wonder what your legs taste like...,"Witaj, panie żabo. #1.50 Zastanawiam się, jak smakują twoje udka..."
wanst_encounter_frogcorpse_1_1,Are these... edible?,Czy to jest... jadalne?
wanst_encounter_frogcorpse_2_1,Poor frog...,Biedna żabka...
wanst_encounter_goldarmor_1_1,Wow! #0.90 An armor as golden as my hair!,Wow! #0.90 Zbroja tak złota jak moje włosy!
wanst_encounter_goldarmor_2_1,Alright! #0.80 Armor as golden as my hair.,No proszę! #0.80 Zbroja złota jak moje włosy.
wanst_encounter_goldarmor_3_1,This armor is the perfect accessory to accentuate my golden locks.,Ta zbroja to idealny dodatek podkreślający moje złote loki.
wanst_encounter_goldarmor_4_1,"Gold armor, gold hair? #2.10 Call me Goldilocks! #4.30 Uh, wait...","Złota zbroja, złote włosy? #2.10 Mówcie mi Złotowłosy! #4.30 Ej, czekajcie..."
wanst_encounter_peasantarmor_1_1,Oh. Peasant armor. #1.70 But I'm not a peasant.,Och. Chłopska zbroja. #1.70 Ale ja nie jestem chłopem.
wanst_encounter_sackarmor_1_1,An empty flour sack. #1.50 What could I do with this?,Pusty worek po mące. #1.50 Co ja bym z tym zrobił?
wanst_encounter_heart_1_1,This stone heart could replace my own. #3.70 It'll surely break less easily.,To kamienne serce mogłoby zastąpić moje własne. #3.70 Na pewno trudniej byłoby je złamać.
wanst_encounter_heart_2_1,A stone heart might just be a metaphor for something. #2.80 Not sure what though...,Kamienne serce to pewnie jakaś metafora czegoś. #2.80 Chociaż nie jestem pewien czego...
wanst_encounter_heart_3_1,Somewhere out there is a statue looking for love.,Gdzieś tam jest posąg szukający miłości.
wanst_encounter_mushroom_1_1,Mushroom mushroom!,Grzybek grzybek!
wanst_encounter_mushroom_2_1,Some heroes need performance-enhancing mushrooms. #4.00  Not me...,Niektórzy bohaterowie potrzebują grzybków poprawiających wydolność. #4.00 Ale nie ja...
wanst_encounter_mushroom_3_1,I don't know anyone that doesn't love mushrooms!,"Nie znam nikogo, kto nie kochałby grzybów!"
wanst_encounter_mushroom_4_1,Looks like there's a fungus among us.,"Wygląda na to, że mamy tu grzybowego intruza."
wanst_encounter_rat_1_1,This tower has quite the rat problem.,Ta wieża ma spory problem ze szczurami.
wanst_encounter_rat_2_1,Fun fact: #1.00 Rats make a great flail and a pinch.,"Ciekawostka: #1.00 Szczury świetnie sprawdzają się jako cep, a w ostateczności też jako szczypce."
wanst_encounter_rat_3_1,These rats really make the tower feel more alive. #2.90 And a little gross...,"Te szczury naprawdę sprawiają, że wieża wydaje się bardziej żywa. #2.90 I odrobinę obrzydliwa..."
wanst_encounter_rat_4_1,"Uh, nice. #1.00 My plans just got ratified!","Ojej, świetnie. #1.00 Moje plany właśnie zostały... zaszczurzone!"
wanst_encounter_rat_5_1,Rats are the smartest of all insects.,Szczury są najinteligentniejsze spośród wszystkich owadów.
wanst_encounter_ratcorpse_1_1,A dead rat. #1.40 What a tragedy!,Martwy szczur. #1.40 Co za tragedia!
wanst_encounter_hammerguycorpse_1_1,Flat as a flounder!,Płaski jak naleśnik!
wanst_encounter_hammerguycorpse_2_1,Running face first into a wall is rarely a good idea. #4.00 I know what I'm talking about.,"Wpadanie twarzą prosto na ścianę rzadko bywa dobrym pomysłem. #4.00 Wiem, co mówię."
wanst_encounter_hammerguycorpse_3_1,Wo-ho! #0.90 Somebody got pancaked here.,Ojoj! #0.90 Ktoś tu się porządnie spłaszczył.
wanst_encounter_witchcorpse_1_1,Ding dong the witch is dead.,"Dzyń dzyń, czarownica już nie żyje."
wanst_encounter_hubertcorpse_1_1,"Your magnificent shell couldn't protect you. #3.20 I'm sorry, my friend.","Twój wspaniały pancerz nie zdołał cię ochronić. #3.20 Przykro mi, przyjacielu."
wanst_encounter_hubertcorpse_2_1,My trusty friend! #2.20 I will avenge you!,Mój wierny przyjacielu! #2.20 Pomszczę cię!
wanst_encounter_enemycorpse_1_1,Deader than a very... dead thing.,Bardziej martwy niż bardzo... martwa rzecz.
wanst_encounter_enemycorpse_2_1,Dead as a doornail.,Martwy jak kołek.
wanst_encounter_enemycorpse_3_1,"Uh, sorry.","Eh, przepraszam."
wanst_encounter_enemycorpse_4_1,"Sorry, it wasn't anything personal.","Wybacz, to nie było nic osobistego."
wanst_encounter_enemycorpse_5_1,"Sorry, pal.","Wybacz, koleś."
wanst_encounter_enemycorpse_6_1,"Uh, that must've hurt!","O, to musiało zaboleć!"
wanst_encounter_enemycorpse_7_1,They made the mistake of challenging me.,"Popełnili błąd, rzucając mi wyzwanie."
wanst_encounter_enemycorpse_8_1,This person seems to have died. #1.80 Shocking.,"Wygląda na to, że ta osoba zmarła. #1.80 Szokujące."
wanst_encounter_enemycorpse_9_1,What is life but a fleeting moment? #2.00 Sorry for killing you.,"Czymże jest życie, jeśli nie ulotną chwilą? #2.00 Przepraszam, że cię zabiłem."
wanst_encounter_teeth_1_1,How many teeth make a smiley face?,Ile zębów potrzeba na uśmiechniętą buźkę?
wanst_encounter_teeth_2_1,"Teeth! #0.70 Can't have enough of 'em, right?","Zęby! #0.70 Nigdy za wiele, co nie?"
wanst_encounter_teeth_3_1,What are teeth other than funny shaped bones?,"Czymże są zęby, jeśli nie śmiesznie wyglądającymi kośćmi?"
wanst_encounter_pumpkin_1_1,Pumpkins. #0.90 I prefer them in their soup state.,Dynie. #0.90 Wolę je w formie zupy.
wanst_encounter_pumpkin_2_1,I'm not surprised they got pumpkins here in this scary ass tower.,"Wcale mnie nie dziwi, że w tej upiornej wieży trzymają dynie."
wanst_encounter_pumpkin_3_1,What are pumpkins other than boring oranges?,"Czymże są dynie, jeśli nie nudnymi pomarańczami?"
wanst_encounter_bananapeel_1_1,"I guess it's ok to litter in this place, right?","Chyba można tu śmiecić, co nie?"
wanst_encounter_bananapeel_2_1,Mmmm... #1.00 Nutrition!,Mmmm... #1.00 Odżywcze!
wanst_encounter_bananapeel_3_1,What an apeeling sight!,"Co za powalający widok! Dosłownie, o mało się nie wywinąłem."
